csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
ibm,botocore,items[].created_at,item.created_at,string,No,ibm.botocore.get_name,read_get,Yes,ibm.botocore.get_name,ibm.botocore.get_name,1,0,ibm.botocore.get_name[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,botocore,items[].crn,item.crn,string,Yes,ibm.botocore.get_name,read_get,Yes,ibm.botocore.get_name,ibm.botocore.get_name,1,0,ibm.botocore.get_name[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,botocore,items[].id,item.id,string,Yes,ibm.botocore.get_name,read_get,Yes,ibm.botocore.get_name,ibm.botocore.get_name,1,0,ibm.botocore.get_name[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,botocore,items[].name,item.name,string,Yes,ibm.botocore.get_name,read_get,Yes,ibm.botocore.get_name,ibm.botocore.get_name,1,0,ibm.botocore.get_name[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,botocore,items[].status,item.status,string,No,ibm.botocore.get_name,read_get,Yes,ibm.botocore.get_name,ibm.botocore.get_name,1,0,ibm.botocore.get_name[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,botocore,items[].tags,item.tags,array,No,ibm.botocore.get_name,read_get,Yes,ibm.botocore.get_name,ibm.botocore.get_name,1,0,ibm.botocore.get_name[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].created_at,item.created_at,string,No,ibm.case_management.add_watchlist,read_get,Yes,ibm.case_management.add_watchlist,ibm.case_management.add_watchlist,1,0,ibm.case_management.add_watchlist[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].created_at,item.created_at,string,No,ibm.case_management.get_authenticator,read_get,Yes,ibm.case_management.get_authenticator,ibm.case_management.get_authenticator,1,0,ibm.case_management.get_authenticator[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].created_at,item.created_at,string,No,ibm.case_management.get_case,read_get,Yes,ibm.case_management.get_case,ibm.case_management.get_case,1,0,ibm.case_management.get_case[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].created_at,item.created_at,string,No,ibm.case_management.get_cases,read_get,Yes,ibm.case_management.get_cases,ibm.case_management.get_cases,1,0,ibm.case_management.get_cases[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].created_at,item.created_at,string,No,ibm.case_management.get_enable_gzip_compression,read_get,Yes,ibm.case_management.get_enable_gzip_compression,ibm.case_management.get_enable_gzip_compression,1,0,ibm.case_management.get_enable_gzip_compression[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].created_at,item.created_at,string,No,ibm.case_management.get_http_client,read_get,Yes,ibm.case_management.get_http_client,ibm.case_management.get_http_client,1,0,ibm.case_management.get_http_client[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].created_at,item.created_at,string,No,ibm.case_management.remove_watchlist,read_get,Yes,ibm.case_management.remove_watchlist,ibm.case_management.remove_watchlist,1,0,ibm.case_management.remove_watchlist[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].crn,item.crn,string,Yes,ibm.case_management.add_watchlist,read_get,Yes,ibm.case_management.add_watchlist,ibm.case_management.add_watchlist,1,0,ibm.case_management.add_watchlist[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].crn,item.crn,string,Yes,ibm.case_management.get_authenticator,read_get,Yes,ibm.case_management.get_authenticator,ibm.case_management.get_authenticator,1,0,ibm.case_management.get_authenticator[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].crn,item.crn,string,Yes,ibm.case_management.get_case,read_get,Yes,ibm.case_management.get_case,ibm.case_management.get_case,1,0,ibm.case_management.get_case[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].crn,item.crn,string,Yes,ibm.case_management.get_cases,read_get,Yes,ibm.case_management.get_cases,ibm.case_management.get_cases,1,0,ibm.case_management.get_cases[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].crn,item.crn,string,Yes,ibm.case_management.get_enable_gzip_compression,read_get,Yes,ibm.case_management.get_enable_gzip_compression,ibm.case_management.get_enable_gzip_compression,1,0,ibm.case_management.get_enable_gzip_compression[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].crn,item.crn,string,Yes,ibm.case_management.get_http_client,read_get,Yes,ibm.case_management.get_http_client,ibm.case_management.get_http_client,1,0,ibm.case_management.get_http_client[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].crn,item.crn,string,Yes,ibm.case_management.remove_watchlist,read_get,Yes,ibm.case_management.remove_watchlist,ibm.case_management.remove_watchlist,1,0,ibm.case_management.remove_watchlist[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].id,item.id,string,Yes,ibm.case_management.add_watchlist,read_get,Yes,ibm.case_management.add_watchlist,ibm.case_management.add_watchlist,1,0,ibm.case_management.add_watchlist[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].id,item.id,string,Yes,ibm.case_management.get_authenticator,read_get,Yes,ibm.case_management.get_authenticator,ibm.case_management.get_authenticator,1,0,ibm.case_management.get_authenticator[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].id,item.id,string,Yes,ibm.case_management.get_case,read_get,Yes,ibm.case_management.get_case,ibm.case_management.get_case,1,0,ibm.case_management.get_case[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].id,item.id,string,Yes,ibm.case_management.get_cases,read_get,Yes,ibm.case_management.get_cases,ibm.case_management.get_cases,1,0,ibm.case_management.get_cases[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].id,item.id,string,Yes,ibm.case_management.get_enable_gzip_compression,read_get,Yes,ibm.case_management.get_enable_gzip_compression,ibm.case_management.get_enable_gzip_compression,1,0,ibm.case_management.get_enable_gzip_compression[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].id,item.id,string,Yes,ibm.case_management.get_http_client,read_get,Yes,ibm.case_management.get_http_client,ibm.case_management.get_http_client,1,0,ibm.case_management.get_http_client[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
ibm,case_management,items[].id,item.id,string,Yes,ibm.case_management.remove_watchlist,read_get,Yes,ibm.case_management.remove_watchlist,ibm.case_management.remove_watchlist,1,0,ibm.case_management.remove_watchlist[items[].created_at|items[].crn|items[].id|items[].name|items[].status|items[].tags],"contains, equals, exists, in, not_equals",exists,,
