Function,Rule_ID,Match_Type,Confidence,Source,Service,Resource
alicloud.accessanalyzer.enabled.without_findings,alicloud.accessanalyzer.enabled.without_findings,exact,1.0000,generated,accessanalyzer,enabled
alicloud.ack.backup.encryption_enabled,alicloud.ack.backup.encryption_enabled,exact,1.0000,generated,ack,backup
alicloud.ack.certificates.expiration_check,alicloud.ack.certificates.expiration_check,exact,1.0000,generated,ack,certificates
alicloud.ack.cluster.approved_container_registries_check,alicloud.ack.cluster.approved_container_registries_enforced,high_similarity,0.8767,catalog_similarity,ack,cluster
alicloud.ack.cluster.audit_logging_remote_enabled,alicloud.ack.cluster.audit_logging_remote_enforced,high_similarity,0.8772,catalog_similarity,ack,cluster
alicloud.ack.cluster.basic_auth_disabled,alicloud.ack.cluster.basic_auth_disabled_enforced,high_similarity,0.8085,catalog_similarity,ack,cluster
alicloud.ack.cluster.cloudmonitor_status_check,alicloud.ack.cluster.cloud_monitoring_enabled,medium_similarity,0.6122,catalog_similarity,ack,cluster
alicloud.ack.cluster.control_plane_private_access_and_ip_allowlist_check,alicloud.ack.cluster.control_plane_private_access_ip_allowlist_enforced,high_similarity,0.8713,catalog_similarity,ack,cluster
alicloud.ack.cluster.created_with_private_nodes,alicloud.ack.cluster.private_nodes_only,medium_similarity,0.5909,catalog_similarity,ack,cluster
alicloud.ack.cluster.dashboard_check,alicloud.ack.cluster.dashboard_access_restricted,medium_similarity,0.6190,catalog_similarity,ack,cluster
alicloud.ack.cluster.endpoint_private_enabled_public_disabled,alicloud.ack.cluster.endpoint_private_access_enforced,medium_similarity,0.5833,catalog_similarity,ack,cluster
alicloud.ack.cluster.health_check_weekly_status,alicloud.ack.cluster.weekly_health_checks_enabled,medium_similarity,0.5556,catalog_similarity,ack,cluster
alicloud.ack.cluster.kms_cmk_encryption_in_secrets_enabled,alicloud.ack.cluster.kms_cmk_encryption_in_secrets_enabled,exact,1.0000,generated,ack,cluster
alicloud.ack.cluster.log_service_status_check,alicloud.ack.cluster.logging_service_enabled,medium_similarity,0.5957,catalog_similarity,ack,cluster
alicloud.ack.cluster.network_plugin_terway_compliance_check,alicloud.ack.cluster.network_plugin_terway_compliance_enforced,high_similarity,0.8861,catalog_similarity,ack,cluster
alicloud.ack.cluster.network_policy_enabled,alicloud.ack.cluster.network_policy_enforced,high_similarity,0.8444,catalog_similarity,ack,cluster
alicloud.ack.cluster.nodes_private_ip_enforced,alicloud.ack.cluster.nodes_private_ip_required,high_similarity,0.8400,catalog_similarity,ack,cluster
