unique_compliance_id,technology,compliance_framework,framework_id,framework_version,requirement_id,requirement_name,requirement_description,section,service,total_checks,automation_type,confidence_score,references,source_file,k8s_checks
canada_pbmm_moderate_multi_cloud_CCCS_AC-2_0002,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-2,CCCS AC-2: Account Management,,CCCS,IAM,15,automated,,,CANADA_PBMM_controls_with_checks.csv,k8s_rbac_service_account_inactive_cleanup; k8s_rbac_unused_role_cleanup; k8s_rbac_user_access_review_scheduled
canada_pbmm_moderate_multi_cloud_CCCS_AC-5_0005,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-5,CCCS AC-5: Separation of Duties,,CCCS,IAM,9,automated,,,CANADA_PBMM_controls_with_checks.csv,k8s_rbac_no_cluster_admin_binding; k8s_rbac_least_privilege_enforcement; k8s_rbac_separation_of_duties_enforced
canada_pbmm_moderate_multi_cloud_CCCS_AC-6_0006,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-6,CCCS AC-6: Least Privilege,,CCCS,IAM,21,automated,,,CANADA_PBMM_controls_with_checks.csv,k8s_rbac_no_cluster_admin_binding; k8s_rbac_least_privilege_enforcement; k8s_rbac_role_binding_least_privilege
canada_pbmm_moderate_multi_cloud_CCCS_AC-17_0013,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-17,CCCS AC-17: Remote Access,,CCCS,Multiple,63,automated,,,CANADA_PBMM_controls_with_checks.csv,k8s_networkpolicy_default_deny_ingress; k8s_networkpolicy_restrict_public_ip_access; k8s_service_type_loadbalancer_restricted; k8s_ingress_tls_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AC-20_0016,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-20,CCCS AC-20: Use of External Systems,,CCCS,,3,manual,,,CANADA_PBMM_controls_with_checks.csv,k8s_rbac_service_account_inactive_cleanup; k8s_rbac_unused_role_cleanup; k8s_rbac_user_access_review_scheduled
canada_pbmm_moderate_multi_cloud_CCCS_AC-21_0017,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-21,CCCS AC-21: Information Sharing,,CCCS,,3,manual,,,CANADA_PBMM_controls_with_checks.csv,k8s_rbac_service_account_inactive_cleanup; k8s_rbac_unused_role_cleanup; k8s_rbac_user_access_review_scheduled
canada_pbmm_moderate_multi_cloud_CCCS_AC-22_0018,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-22,CCCS AC-22: Publicly Accessible Content,,CCCS,,3,manual,,,CANADA_PBMM_controls_with_checks.csv,k8s_rbac_service_account_inactive_cleanup; k8s_rbac_unused_role_cleanup; k8s_rbac_user_access_review_scheduled
canada_pbmm_moderate_multi_cloud_CCCS_AU-2_0024,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-2,CCCS AU-2: Event Logging,,CCCS,Multiple,59,automated,,,CANADA_PBMM_controls_with_checks.csv,k8s_audit_logging_enabled; k8s_audit_log_retention_configured; k8s_audit_policy_captures_metadata
canada_pbmm_moderate_multi_cloud_CCCS_AU-3_0025,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-3,CCCS AU-3: Content of Audit Records,,CCCS,Multiple,60,automated,,,CANADA_PBMM_controls_with_checks.csv,k8s_audit_logging_enabled; k8s_audit_policy_metadata_capture; k8s_audit_log_retention_configured; k8s_audit_log_format_json
canada_pbmm_moderate_multi_cloud_CCCS_AU-6_0028,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-6,"CCCS AU-6: Audit Record Review, Analysis, and Reporting",,CCCS,CLOUDWATCH,16,automated,,,CANADA_PBMM_controls_with_checks.csv,k8s_audit_logging_enabled; k8s_audit_log_analysis_configured; k8s_audit_log_retention_configured; k8s_audit_log_alerts_configured
canada_pbmm_moderate_multi_cloud_CCCS_AU-8_0030,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-8,CCCS AU-8: Time Stamps,,CCCS,Multiple,58,automated,,,CANADA_PBMM_controls_with_checks.csv,k8s_audit_logging_enabled; k8s_audit_policy_timestamps_included
canada_pbmm_moderate_multi_cloud_CCCS_AU-9_0031,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-9,CCCS AU-9: Protection of Audit Information,,CCCS,CLOUDTRAIL,10,automated,,,CANADA_PBMM_controls_with_checks.csv,k8s_audit_logging_enabled; k8s_audit_log_integrity_verification_enabled; k8s_audit_log_retention_configured; k8s_audit_policy_captures_metadata
canada_pbmm_moderate_multi_cloud_CCCS_AU-12_0033,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-12,CCCS AU-12: Audit Record Generation,,CCCS,Multiple,59,automated,,,CANADA_PBMM_controls_with_checks.csv,k8s_audit_logging_enabled; k8s_audit_log_retention_configured; k8s_audit_policy_metadata_captured
canada_pbmm_moderate_multi_cloud_CCCS_CA-2_0035,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-2,CCCS CA-2: Control Assessments,,CCCS,Multiple,15,automated,,,CANADA_PBMM_controls_with_checks.csv,k8s_audit_logging_enabled; k8s_audit_policy_metadata_capture_enabled; k8s_admission_controller_security_policy_enabled; k8s_admission_webhook_security_policy_configured
canada_pbmm_moderate_multi_cloud_CCCS_CA-7_0039,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-7,CCCS CA-7: Continuous Monitoring,,CCCS,Multiple,81,automated,,,CANADA_PBMM_controls_with_checks.csv,k8s_audit_logging_enabled; k8s_audit_log_retention_configured; k8s_networkpolicy_monitoring_enabled; k8s_apiserver_audit_policy_configured
canada_pbmm_moderate_multi_cloud_CCCS_CA-9_0040,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-9,CCCS CA-9: Internal System Connections,,CCCS,Multiple,28,automated,,,CANADA_PBMM_controls_with_checks.csv,k8s_networkpolicy_internal_traffic_restricted; k8s_ingress_tls_enabled; k8s_service_mesh_mtls_enabled; k8s_apiserver_tls_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CM-2_0042,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-2,CCCS CM-2: Baseline Configuration,,CCCS,Multiple,40,automated,,,CANADA_PBMM_controls_with_checks.csv,k8s_rbac_least_privilege_enforcement; k8s_networkpolicy_default_deny_ingress; k8s_etcd_encryption_enabled; k8s_apiserver_audit_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CM-3_0043,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-3,CCCS CM-3: Configuration Change Control,,CCCS,Multiple,15,automated,,,CANADA_PBMM_controls_with_checks.csv,k8s_admission_controller_change_control_enabled; k8s_rbac_change_control_role_defined; k8s_audit_configuration_change_logged
canada_pbmm_moderate_multi_cloud_CCCS_CM-6_0046,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-6,CCCS CM-6: Configuration Settings,,CCCS,Multiple,70,automated,,,CANADA_PBMM_controls_with_checks.csv,k8s_apiserver_secure_configuration_enabled; k8s_etcd_encryption_enabled; k8s_audit_logging_enabled; k8s_rbac_least_privilege_enforcement
