suggested_rule_id,csp,rule_type,missing_check_name,compliance_count,framework_count,frameworks,priority,sample_title,compliance_ids,validation_status,validation_match,validation_note,review_status,review_note
alicloud.actiontrail.activity_log.critical_gap,alicloud,ciem,alicloud_actiontrail_activity_log_critical_gap,1,1,PCI_DSS,,Detect critical event gaps in ActionTrail and anomalous RAM privileged actions,PCI_DSS/10.2.2,truly_new,alicloud.actiontrail.log_file_integrity_validation_enabled.configured,best_jaccard=0.20,KEEP,Detects critical event gaps and anomalous privileged actions.
alicloud.actiontrail.activity_log.review_anomaly,alicloud,ciem,alicloud_actiontrail_activity_log_review_anomaly,1,1,PCI_DSS,,Identify anomalies in log review activity and detect unauthorized role assumption chains in ActionTrail and RAM logs.,PCI_DSS/10.4.2.1,truly_new,alicloud.actiontrail.log_file_integrity_validation_enabled.configured,best_jaccard=0.20,KEEP,Identifies anomalies in log review and unauthorized role assumption.
alicloud.ecs.activity_log.auditd_kill,alicloud,ciem,alicloud_ecs_activity_log_auditd_kill,0,1,CSPM_BEST_PRACTICE,,Detect ECS instance auditd process kill events and OOS executions that modify or stop auditd service,CSPM_BEST_PRACTICE,truly_new,alicloud.ecs.instance.managed,best_jaccard=0.14,KEEP,Detects auditd kill and OOS executions modifying/stopping audit.
alicloud.ecs.activity_log.modify_time_service,alicloud,ciem,alicloud_ecs_activity_log_modify_time_service,1,1,NIST_800_171,,Detect actions that disable or modify time services on ECS instances and disabling or pausing ActionTrail trails that could affect audit timestamp gen,NIST_800_171/3.3.7,truly_new,alicloud.ecs.compute_service.vm_imds_hardened,best_jaccard=0.20,KEEP,Detects disabling/modifying time services on ECS instances.
alicloud.ecs.audit.create_image,alicloud,ciem,alicloud_ecs_audit_create_image,1,1,NIST_800_171,,Monitor ECS custom image creation and OOS template executions that could introduce untested diagnostic programs.,NIST_800_171/3.7.4,truly_new,alicloud.ecs.custom_image.image_encrypted_cmek,best_jaccard=0.29,KEEP,Monitors custom image creation and OOS executions.
alicloud.ecs.audit.enable_nested_virtualization,alicloud,ciem,alicloud_ecs_audit_enable_nested_virtualization,0,1,CSPM_BEST_PRACTICE,,Track ECS instance type modifications or explicit actions enabling nested virtualization.,CSPM_BEST_PRACTICE,truly_new,alicloud.ecs.security_group.launch_wizard_security_group_audit,best_jaccard=0.22,KEEP,Tracks actions enabling nested virtualization.
alicloud.ecs.audit.patch_override,alicloud,ciem,alicloud_ecs_audit_patch_override,0,1,CSPM_BEST_PRACTICE,,Detect ECS instance patch state tampering or OOS template executions designed to circumvent patching.,CSPM_BEST_PRACTICE,truly_new,alicloud.ecs.patch.compliance,best_jaccard=0.40,KEEP,Detects patch state tampering or OOS executions to circumvent.
alicloud.ecs.audit.stop_security_agent,alicloud,ciem,alicloud_ecs_audit_stop_security_agent,1,1,CIS_ALICLOUD,,Detect stopping of Security Center agents and chained deletion of ActionTrail logs related to malware alerts.,CIS_ALICLOUD/6.6.2,truly_new,alicloud.ecs.security_group.launch_wizard_security_group_audit,best_jaccard=0.38,KEEP,Detects stopping Security Center agents and ActionTrail log deletion.
alicloud.ecs.audit.uninstall_cloudmonitor,alicloud,ciem,alicloud_ecs_audit_uninstall_cloudmonitor,1,1,CANADA_PBMM,,Detect uninstalling CloudMonitor agent or chaining uninstall with instance stop to evade monitoring,CANADA_PBMM/SI-3(2),truly_new,alicloud.ecs.security_group.launch_wizard_security_group_audit,best_jaccard=0.25,KEEP,Detects uninstalling CloudMonitor agent or evasion via instance stop.
alicloud.oos.audit.execute_template,alicloud,ciem,alicloud_oos_audit_execute_template,1,1,NIST_800_171,,Detect ECS instance launches and OOS template executions to enforce software whitelisting/blacklisting policies.,NIST_800_171/3.4.8,truly_new,,best_jaccard=0.00,KEEP,Detects ECS launches and OOS executions for software whitelisting enforcement.
alicloud.ram.activity_log.console_login_inactive_user,alicloud,ciem,alicloud_ram_activity_log_console_login_inactive_user,0,1,CSPM_BEST_PRACTICE,,"Detect console login by RAM user inactive >90 days, and chained policy attachment to dormant account",CSPM_BEST_PRACTICE,truly_new,,best_jaccard=0.00,KEEP,Detects console login by long-inactive user with policy attachment.
alicloud.ram.activity_log.login_attempt_limit,alicloud,ciem,alicloud_ram_activity_log_login_attempt_limit,1,1,NIST_800_171,,Detect when RAM user login failures exceed a defined threshold within a monitoring window.,NIST_800_171/3.1.8,truly_new,,best_jaccard=0.00,KEEP,Detects excessive login failures within a time window.
alicloud.ram.activity_log.replay_detection,alicloud,ciem,alicloud_ram_activity_log_replay_detection,1,1,NIST_800_171,,Detect replay attempts in RAM audit logs and anomalous chains of authentication actions.,NIST_800_171/3.5.4,truly_new,,best_jaccard=0.00,KEEP,Detects log replay attempts and anomalous authentication chains.
alicloud.ram.audit.privileged_anomaly,alicloud,ciem,alicloud_ram_audit_privileged_anomaly,1,1,PCI_DSS,,Detect critical event gaps in ActionTrail and anomalous RAM privileged actions,PCI_DSS/10.2.2,truly_new,,best_jaccard=0.00,KEEP,Detects ActionTrail gaps and anomalous privileged RAM actions.
alicloud.ram.audit.user_login_profile_reactivate,alicloud,ciem,alicloud_ram_audit_user_login_profile_reactivate,1,1,PCI_DSS,,Detect RAM user login profile reactivation after review disable and chained RAM policy updates to retain privileges,PCI_DSS/7.2.4,truly_new,,best_jaccard=0.00,KEEP,Detects login profile reactivation after disable with chained policy updates.
alicloud.resourcemanager.audit.folder_change,alicloud,ciem,alicloud_resourcemanager_audit_folder_change,1,1,NIST_800_171,,Track RAM (Resource Access Management) policy changes and resource directory folder modifications to log system changes.,NIST_800_171/3.4.3,truly_new,,best_jaccard=0.00,KEEP,singleton
alicloud.sas.activity_log.backup_policy_delete,alicloud,ciem,alicloud_sas_activity_log_backup_policy_delete,1,1,PCI_DSS,,"Detect deletion of Security Center (SAS) vulnerability backup policies or stopping of ActionTrail audit trails, indicating attempts to disrupt vulnera",PCI_DSS/6.3.1,truly_new,,best_jaccard=0.00,KEEP,Detects deletion of vulnerability backup policies or stopping of activity logs.
alicloud.sas.audit.disable,alicloud,ciem,alicloud_sas_audit_disable,1,1,CSPM_BEST_PRACTICE,,Detect disabling of Security Center (SAS) or RAM privilege escalation chains aimed at evading external attack surface detection.,CSPM_BEST_PRACTICE,truly_new,,best_jaccard=0.00,KEEP,Detects disabling of Security Center or RAM privilege escalation chains.
alicloud.sas.audit.stop_anti_bot,alicloud,ciem,alicloud_security_audit_stop_anti_bot,1,1,CANADA_PBMM,,Detect stopping of Anti-Bot Service or RAM policy deletions that remove malware protection entitlements.,CANADA_PBMM/SI-3(1),truly_new,,best_jaccard=0.00,KEEP,"Detects stopping of Anti-Bot service or RAM policy deletions, a different security event."
alicloud.securitycenter.audit.disable_scan,alicloud,ciem,alicloud_securitycenter_audit_disable_scan,1,1,CANADA_PBMM,,Identify actions to disable Security Center vulnerability scanning and modifications to ECS security groups that restrict scanner IPs.,CANADA_PBMM/RA-5(2),truly_new,,best_jaccard=0.00,KEEP,"Detects disabling of vulnerability scanning, distinct from rule 1's audit focus."
