csp,service,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,python_call,http_path,produced_fields,fields_types,fields_operators,resource_type,resource_id_field,resource_id_param,rule_count,check_rule_yaml,is_active,updated_at
ibm,case_management,ibm.case_management.get-authenticator,read_list,Yes,ibm.case_management.get-authenticator,ibm.case_management.get-authenticator,1,0,ibm.case_management.get-authenticator[authenticator_id|authenticator_name|crn|authenticator_status|created_at|tags],ibm_platform_services.case_management.CaseManagementV1().get_authenticator().get_result(),,authenticator.authenticator_id|authenticator.authenticator_name|crn|authenticator.authenticator_status|authenticator.created_at|authenticator.tags,authenticator.authenticator_id:string|authenticator.authenticator_name:string|crn:string|authenticator.authenticator_status:string|authenticator.created_at:string|authenticator.tags:array,"authenticator.authenticator_id:equals, not_equals, contains, in|authenticator.authenticator_name:equals, not_equals, contains, in|crn:equals, not_equals, contains, in|authenticator.authenticator_status:equals, not_equals, contains, in|authenticator.created_at:equals, not_equals, contains, in|authenticator.tags:equals, not_equals, contains, in",,crn,,0,,true,2026-04-17T12:08:17Z
ibm,case_management,ibm.case_management.get-case,read_list,Yes,ibm.case_management.get-case,ibm.case_management.get-case,1,0,ibm.case_management.get-case[case_id|case_name|case_status|created_at|tags],ibm_platform_services.case_management.CaseManagementV1().get_case().get_result(),,case.case_id|case.case_name|case.case_status|case.created_at|case.tags|status,case.case_id:string|case.case_name:string|case.case_status:string|case.created_at:string|case.tags:array|status:string,"case.case_id:equals, not_equals, contains, in|case.case_name:equals, not_equals, contains, in|case.case_status:equals, not_equals, contains, in|case.created_at:equals, not_equals, contains, in|case.tags:equals, not_equals, contains, in|status:equals, not_equals, contains, in",,case.case_id,,0,,true,2026-04-17T12:08:17Z
ibm,case_management,ibm.case_management.get-cases,read_list,Yes,ibm.case_management.get-cases,ibm.case_management.get-cases,1,0,ibm.case_management.get-cases[cas_id|cas_name|cas_status|created_at|tags],ibm_platform_services.case_management.CaseManagementV1().get_cases().get_result(),,cas.cas_id|cas.cas_name|cas.cas_status|cas.created_at|cas.tags|status,cas.cas_id:string|cas.cas_name:string|cas.cas_status:string|cas.created_at:string|cas.tags:array|status:string,"cas.cas_id:equals, not_equals, contains, in|cas.cas_name:equals, not_equals, contains, in|cas.cas_status:equals, not_equals, contains, in|cas.created_at:equals, not_equals, contains, in|cas.tags:equals, not_equals, contains, in|status:equals, not_equals, contains, in",,cas.cas_id,,0,,true,2026-04-17T12:08:17Z
ibm,case_management,ibm.case_management.get-enable-gzip-compression,read_list,Yes,ibm.case_management.get-enable-gzip-compression,ibm.case_management.get-enable-gzip-compression,1,0,ibm.case_management.get-enable-gzip-compression[enable_gzip_compression_id|enable_gzip_compression_name|enable_gzip_compression_status|created_at|tags],ibm_platform_services.case_management.CaseManagementV1().get_enable_gzip_compression().get_result(),,enable_gzip_compression.enable_gzip_compression_id|enable_gzip_compression.enable_gzip_compression_name|enable_gzip_compression.enable_gzip_compression_status|enable_gzip_compression.created_at|enable_gzip_compression.tags,enable_gzip_compression.enable_gzip_compression_id:string|enable_gzip_compression.enable_gzip_compression_name:string|enable_gzip_compression.enable_gzip_compression_status:string|enable_gzip_compression.created_at:string|enable_gzip_compression.tags:array,"enable_gzip_compression.enable_gzip_compression_id:equals, not_equals, contains, in|enable_gzip_compression.enable_gzip_compression_name:equals, not_equals, contains, in|enable_gzip_compression.enable_gzip_compression_status:equals, not_equals, contains, in|enable_gzip_compression.created_at:equals, not_equals, contains, in|enable_gzip_compression.tags:equals, not_equals, contains, in",,enable_gzip_compression.enable_gzip_compression_id,,0,,true,2026-04-17T12:08:17Z
ibm,case_management,ibm.case_management.get-http-client,read_list,Yes,ibm.case_management.get-http-client,ibm.case_management.get-http-client,1,0,ibm.case_management.get-http-client[http_client_id|http_client_name|http_client_status|created_at|tags],ibm_platform_services.case_management.CaseManagementV1().get_http_client().get_result(),,http_client.http_client_id|http_client.http_client_name|http_client.http_client_status|http_client.created_at|http_client.tags,http_client.http_client_id:string|http_client.http_client_name:string|http_client.http_client_status:string|http_client.created_at:string|http_client.tags:array,"http_client.http_client_id:equals, not_equals, contains, in|http_client.http_client_name:equals, not_equals, contains, in|http_client.http_client_status:equals, not_equals, contains, in|http_client.created_at:equals, not_equals, contains, in|http_client.tags:equals, not_equals, contains, in",,http_client.http_client_id,,0,,true,2026-04-17T12:08:17Z
ibm,catalog_management,ibm.catalog_management.get-authenticator,read_list,Yes,ibm.catalog_management.get-authenticator,ibm.catalog_management.get-authenticator,1,0,ibm.catalog_management.get-authenticator[crn|authenticator_id|authenticator_name|authenticator_status|created_at|tags],ibm_platform_services.catalog_management.CatalogManagementV1().get_authenticator().get_result(),,crn|authenticator.authenticator_id|authenticator.authenticator_name|authenticator.authenticator_status|authenticator.created_at|authenticator.tags,crn:string|authenticator.authenticator_id:string|authenticator.authenticator_name:string|authenticator.authenticator_status:string|authenticator.created_at:string|authenticator.tags:array,"crn:equals, not_equals, contains, in|authenticator.authenticator_id:equals, not_equals, contains, in|authenticator.authenticator_name:equals, not_equals, contains, in|authenticator.authenticator_status:equals, not_equals, contains, in|authenticator.created_at:equals, not_equals, contains, in|authenticator.tags:equals, not_equals, contains, in",,authenticator.authenticator_id,,0,,true,2026-04-17T12:08:17Z
ibm,catalog_management,ibm.catalog_management.get-catalog,read_list,Yes,ibm.catalog_management.get-catalog,ibm.catalog_management.get-catalog,1,0,ibm.catalog_management.get-catalog[catalog_id|catalog_name|catalog_status|created_at|tags],ibm_platform_services.catalog_management.CatalogManagementV1().get_catalog().get_result(),,catalog.catalog_id|catalog.catalog_name|catalog.catalog_status|catalog.created_at|catalog.tags|status,catalog.catalog_id:string|catalog.catalog_name:string|catalog.catalog_status:string|catalog.created_at:string|catalog.tags:array|status:string,"catalog.catalog_id:equals, not_equals, contains, in|catalog.catalog_name:equals, not_equals, contains, in|catalog.catalog_status:equals, not_equals, contains, in|catalog.created_at:equals, not_equals, contains, in|catalog.tags:equals, not_equals, contains, in|status:equals, not_equals, contains, in",,catalog.catalog_id,,0,,true,2026-04-17T12:08:17Z
ibm,catalog_management,ibm.catalog_management.get-catalog-account,read_list,Yes,ibm.catalog_management.get-catalog-account,ibm.catalog_management.get-catalog-account,1,0,ibm.catalog_management.get-catalog-account[catalog_account_id|catalog_account_name|catalog_account_status|created_at|tags],ibm_platform_services.catalog_management.CatalogManagementV1().get_catalog_account().get_result(),,catalog_account.catalog_account_id|catalog_account.catalog_account_name|catalog_account.catalog_account_status|catalog_account.created_at|catalog_account.tags|status,catalog_account.catalog_account_id:string|catalog_account.catalog_account_name:string|catalog_account.catalog_account_status:string|catalog_account.created_at:string|catalog_account.tags:array|status:string,"catalog_account.catalog_account_id:equals, not_equals, contains, in|catalog_account.catalog_account_name:equals, not_equals, contains, in|catalog_account.catalog_account_status:equals, not_equals, contains, in|catalog_account.created_at:equals, not_equals, contains, in|catalog_account.tags:equals, not_equals, contains, in|status:equals, not_equals, contains, in",,catalog_account.catalog_account_id,,0,,true,2026-04-17T12:08:17Z
ibm,catalog_management,ibm.catalog_management.get-catalog-account-audit,read_list,Yes,ibm.catalog_management.get-catalog-account-audit,ibm.catalog_management.get-catalog-account-audit,1,0,ibm.catalog_management.get-catalog-account-audit[catalog_account_audit_id|catalog_account_audit_name|catalog_account_audit_status|created_at|tags],ibm_platform_services.catalog_management.CatalogManagementV1().get_catalog_account_audit().get_result(),,catalog_account_audit.catalog_account_audit_id|catalog_account_audit.catalog_account_audit_name|catalog_account_audit.catalog_account_audit_status|catalog_account_audit.created_at|catalog_account_audit.tags|status,catalog_account_audit.catalog_account_audit_id:string|catalog_account_audit.catalog_account_audit_name:string|catalog_account_audit.catalog_account_audit_status:string|catalog_account_audit.created_at:string|catalog_account_audit.tags:array|status:string,"catalog_account_audit.catalog_account_audit_id:equals, not_equals, contains, in|catalog_account_audit.catalog_account_audit_name:equals, not_equals, contains, in|catalog_account_audit.catalog_account_audit_status:equals, not_equals, contains, in|catalog_account_audit.created_at:equals, not_equals, contains, in|catalog_account_audit.tags:equals, not_equals, contains, in|status:equals, not_equals, contains, in",,catalog_account_audit.catalog_account_audit_id,,0,,true,2026-04-17T12:08:17Z
ibm,catalog_management,ibm.catalog_management.get-catalog-account-filters,read_list,Yes,ibm.catalog_management.get-catalog-account-filters,ibm.catalog_management.get-catalog-account-filters,1,0,ibm.catalog_management.get-catalog-account-filters[catalog_account_filter_id|catalog_account_filter_name|catalog_account_filter_status|created_at|tags],ibm_platform_services.catalog_management.CatalogManagementV1().get_catalog_account_filters().get_result(),,catalog_account_filter.catalog_account_filter_id|catalog_account_filter.catalog_account_filter_name|catalog_account_filter.catalog_account_filter_status|catalog_account_filter.created_at|catalog_account_filter.tags|status,catalog_account_filter.catalog_account_filter_id:string|catalog_account_filter.catalog_account_filter_name:string|catalog_account_filter.catalog_account_filter_status:string|catalog_account_filter.created_at:string|catalog_account_filter.tags:array|status:string,"catalog_account_filter.catalog_account_filter_id:equals, not_equals, contains, in|catalog_account_filter.catalog_account_filter_name:equals, not_equals, contains, in|catalog_account_filter.catalog_account_filter_status:equals, not_equals, contains, in|catalog_account_filter.created_at:equals, not_equals, contains, in|catalog_account_filter.tags:equals, not_equals, contains, in|status:equals, not_equals, contains, in",,catalog_account_filter.catalog_account_filter_id,,0,,true,2026-04-17T12:08:17Z
