csp,service,op_name,op_kind,python_call,yaml_action,required_params,optional_params,resource_type,target_resource_id_param,iam_action,param_sources,dependency_chain,dependency_chain_length,is_active,updated_at
aws,accessanalyzer,aws.accessanalyzer.generate_finding_recommendation,write_other,client.generate_finding_recommendation(),generate_finding_recommendation,analyzerArn|id,,analyzer,analyzerArn,accessanalyzer:GenerateFindingRecommendation,analyzerArn:aws.accessanalyzer.list_analyzers|id:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.start_policy_generation,write_other,client.start_policy_generation(),start_policy_generation,policyGenerationDetails,cloudTrailDetails|clientToken,analyzer,policyGenerationDetails,accessanalyzer:StartPolicyGeneration,,,0,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.start_resource_scan,write_other,client.start_resource_scan(),start_resource_scan,analyzerArn|resourceArn,resourceOwnerAccount,analyzer,analyzerArn,accessanalyzer:StartResourceScan,analyzerArn:aws.accessanalyzer.list_analyzers|resourceArn:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.tag_resource,write_other,client.tag_resource(),tag_resource,resourceArn|tags,,analyzer,resourceArn,accessanalyzer:TagResource,resourceArn:aws.accessanalyzer.list_analyzers|tags:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.untag_resource,write_other,client.untag_resource(),untag_resource,resourceArn|tagKeys,,analyzer,resourceArn,accessanalyzer:UntagResource,resourceArn:aws.accessanalyzer.list_analyzers|tagKeys:aws.resourcegroupstaggingapi.get_tag_keys,aws.accessanalyzer.list_analyzers|aws.resourcegroupstaggingapi.get_tag_keys,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.update_analyzer,write_update,client.update_analyzer(),update_analyzer,analyzerName,configuration,analyzer,analyzerName,accessanalyzer:UpdateAnalyzer,analyzerName:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.update_archive_rule,write_update,client.update_archive_rule(),update_archive_rule,analyzerName|ruleName|filter,clientToken,analyzer,analyzerName,accessanalyzer:UpdateArchiveRule,analyzerName:aws.accessanalyzer.list_analyzers|ruleName:aws.accessanalyzer.list_analyzers|filter:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.update_findings,write_update,client.update_findings(),update_findings,analyzerArn|status,ids|resourceArn|clientToken,analyzer,analyzerArn,accessanalyzer:UpdateFindings,analyzerArn:aws.accessanalyzer.list_analyzers|status:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.validate_policy,write_other,client.validate_policy(),validate_policy,policyDocument|policyType,locale|maxResults|nextToken|validatePolicyResourceType,analyzer,policyDocument,accessanalyzer:ValidatePolicy,policyDocument:aws.ec2.describe_vpc_endpoints|policyType:aws.dlm.get_lifecycle_policies,aws.ec2.describe_vpc_endpoints|aws.dlm.get_lifecycle_policies,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.apply_archive_rule,write_other,client.apply_archive_rule(),apply_archive_rule,analyzerArn|ruleName,clientToken,analyzer,analyzerArn,accessanalyzer:ApplyArchiveRule,analyzerArn:aws.accessanalyzer.list_analyzers|ruleName:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.cancel_policy_generation,write_other,client.cancel_policy_generation(),cancel_policy_generation,jobId,,analyzer,jobId,accessanalyzer:CancelPolicyGeneration,jobId:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.check_access_not_granted,write_other,client.check_access_not_granted(),check_access_not_granted,policyDocument|access|policyType,,analyzer,policyDocument,accessanalyzer:CheckAccessNotGranted,policyDocument:aws.ec2.describe_vpc_endpoints|policyType:aws.dlm.get_lifecycle_policies,aws.ec2.describe_vpc_endpoints|aws.dlm.get_lifecycle_policies,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.check_no_new_access,write_other,client.check_no_new_access(),check_no_new_access,newPolicyDocument|existingPolicyDocument|policyType,,analyzer,newPolicyDocument,accessanalyzer:CheckNoNewAccess,policyType:aws.dlm.get_lifecycle_policies,aws.dlm.get_lifecycle_policies,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.check_no_public_access,write_other,client.check_no_public_access(),check_no_public_access,policyDocument|resourceType,,analyzer,policyDocument,accessanalyzer:CheckNoPublicAccess,policyDocument:aws.ec2.describe_vpc_endpoints|resourceType:aws.backup.list_backup_jobs,aws.ec2.describe_vpc_endpoints|aws.backup.list_backup_jobs,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.create_access_preview,write_create,client.create_access_preview(),create_access_preview,analyzerArn|configurations,clientToken,analyzer,analyzerArn,accessanalyzer:CreateAccessPreview,analyzerArn:aws.accessanalyzer.list_analyzers|configurations:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.create_analyzer,write_create,client.create_analyzer(),create_analyzer,analyzerName|type,archiveRules|tags|clientToken|configuration,analyzer,analyzerName,accessanalyzer:CreateAnalyzer,analyzerName:aws.accessanalyzer.list_analyzers|type:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.create_archive_rule,write_create,client.create_archive_rule(),create_archive_rule,analyzerName|ruleName|filter,clientToken,analyzer,analyzerName,accessanalyzer:CreateArchiveRule,analyzerName:aws.accessanalyzer.list_analyzers|ruleName:aws.accessanalyzer.list_analyzers|filter:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.delete_analyzer,write_delete,client.delete_analyzer(),delete_analyzer,analyzerName,clientToken,analyzer,analyzerName,accessanalyzer:DeleteAnalyzer,analyzerName:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.delete_archive_rule,write_delete,client.delete_archive_rule(),delete_archive_rule,analyzerName|ruleName,clientToken,analyzer,analyzerName,accessanalyzer:DeleteArchiveRule,analyzerName:aws.accessanalyzer.list_analyzers|ruleName:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.generate_finding_recommendation,write_other,client.generate_finding_recommendation(),generate_finding_recommendation,analyzerArn|id,,analyzer,analyzerArn,accessanalyzer:GenerateFindingRecommendation,analyzerArn:aws.accessanalyzer.list_analyzers|id:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.start_policy_generation,write_other,client.start_policy_generation(),start_policy_generation,policyGenerationDetails,cloudTrailDetails|clientToken,analyzer,policyGenerationDetails,accessanalyzer:StartPolicyGeneration,,,0,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.start_resource_scan,write_other,client.start_resource_scan(),start_resource_scan,analyzerArn|resourceArn,resourceOwnerAccount,analyzer,analyzerArn,accessanalyzer:StartResourceScan,analyzerArn:aws.accessanalyzer.list_analyzers|resourceArn:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.tag_resource,write_other,client.tag_resource(),tag_resource,resourceArn|tags,,analyzer,resourceArn,accessanalyzer:TagResource,resourceArn:aws.accessanalyzer.list_analyzers|tags:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.untag_resource,write_other,client.untag_resource(),untag_resource,resourceArn|tagKeys,,analyzer,resourceArn,accessanalyzer:UntagResource,resourceArn:aws.accessanalyzer.list_analyzers|tagKeys:aws.resourcegroupstaggingapi.get_tag_keys,aws.accessanalyzer.list_analyzers|aws.resourcegroupstaggingapi.get_tag_keys,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.update_analyzer,write_update,client.update_analyzer(),update_analyzer,analyzerName,configuration,analyzer,analyzerName,accessanalyzer:UpdateAnalyzer,analyzerName:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.update_archive_rule,write_update,client.update_archive_rule(),update_archive_rule,analyzerName|ruleName|filter,clientToken,analyzer,analyzerName,accessanalyzer:UpdateArchiveRule,analyzerName:aws.accessanalyzer.list_analyzers|ruleName:aws.accessanalyzer.list_analyzers|filter:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.update_findings,write_update,client.update_findings(),update_findings,analyzerArn|status,ids|resourceArn|clientToken,analyzer,analyzerArn,accessanalyzer:UpdateFindings,analyzerArn:aws.accessanalyzer.list_analyzers|status:aws.accessanalyzer.list_analyzers,aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,accessanalyzer,aws.accessanalyzer.validate_policy,write_other,client.validate_policy(),validate_policy,policyDocument|policyType,locale|maxResults|nextToken|validatePolicyResourceType,analyzer,policyDocument,accessanalyzer:ValidatePolicy,policyDocument:aws.ec2.describe_vpc_endpoints|policyType:aws.dlm.get_lifecycle_policies,aws.ec2.describe_vpc_endpoints|aws.dlm.get_lifecycle_policies,1,true,2026-04-17T15:34:07Z
aws,account,aws.account.accept_primary_email_update,write_other,client.accept_primary_email_update(),accept_primary_email_update,AccountId|Otp|PrimaryEmail,,get_alternate_contact,AccountId,account:AcceptPrimaryEmailUpdate,AccountId:aws.application-insights.list_problems|PrimaryEmail:aws.codecatalyst.get_user_details,aws.application-insights.list_problems|aws.codecatalyst.get_user_details,1,true,2026-04-17T15:34:07Z
aws,account,aws.account.delete_alternate_contact,write_delete,client.delete_alternate_contact(),delete_alternate_contact,AlternateContactType,AccountId,get_alternate_contact,AccountId,account:DeleteAlternateContact,AlternateContactType:aws.account.get_alternate_contact,aws.account.get_alternate_contact,1,true,2026-04-17T15:34:07Z
aws,account,aws.account.disable_region,write_other,client.disable_region(),disable_region,RegionName,AccountId,get_alternate_contact,RegionName,account:DisableRegion,RegionName:aws.account.get_alternate_contact,aws.account.get_alternate_contact,1,true,2026-04-17T15:34:07Z
aws,account,aws.account.enable_region,write_other,client.enable_region(),enable_region,RegionName,AccountId,get_alternate_contact,RegionName,account:EnableRegion,RegionName:aws.account.get_alternate_contact,aws.account.get_alternate_contact,1,true,2026-04-17T15:34:07Z
aws,account,aws.account.put_account_name,write_create,client.put_account_name(),put_account_name,AccountName,AccountId,get_alternate_contact,AccountName,account:PutAccountName,AccountName:aws.account.get_alternate_contact,aws.account.get_alternate_contact,1,true,2026-04-17T15:34:07Z
aws,account,aws.account.put_alternate_contact,write_create,client.put_alternate_contact(),put_alternate_contact,AlternateContactType|EmailAddress|Name|PhoneNumber|Title,AccountId,get_alternate_contact,Name,account:PutAlternateContact,AlternateContactType:aws.account.get_alternate_contact|EmailAddress:aws.account.get_alternate_contact|Name:aws.account.get_alternate_contact|PhoneNumber:aws.account.get_alternate_contact|Title:aws.account.get_alternate_contact,aws.account.get_alternate_contact,1,true,2026-04-17T15:34:07Z
aws,account,aws.account.put_contact_information,write_create,client.put_contact_information(),put_contact_information,ContactInformation,AccountId,get_alternate_contact,AccountId,account:PutContactInformation,ContactInformation:aws.account.get_contact_information,aws.account.get_contact_information,1,true,2026-04-17T15:34:07Z
aws,account,aws.account.start_primary_email_update,write_other,client.start_primary_email_update(),start_primary_email_update,AccountId|PrimaryEmail,,get_alternate_contact,AccountId,account:StartPrimaryEmailUpdate,AccountId:aws.application-insights.list_problems|PrimaryEmail:aws.codecatalyst.get_user_details,aws.application-insights.list_problems|aws.codecatalyst.get_user_details,1,true,2026-04-17T15:34:07Z
aws,acm,aws.acm.add_tags_to_certificate,write_create,client.add_tags_to_certificate(),add_tags_to_certificate,CertificateArn|Tags,,certificate,CertificateArn,acm:AddTagsToCertificate,CertificateArn:aws.acm.list_certificates|Tags:aws.accessanalyzer.list_analyzers,aws.acm.list_certificates|aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,acm,aws.acm.delete_certificate,write_delete,client.delete_certificate(),delete_certificate,CertificateArn,,certificate,CertificateArn,acm:DeleteCertificate,CertificateArn:aws.acm.list_certificates,aws.acm.list_certificates,1,true,2026-04-17T15:34:07Z
aws,acm,aws.acm.export_certificate,write_other,client.export_certificate(),export_certificate,CertificateArn|Passphrase,,certificate,CertificateArn,acm:ExportCertificate,CertificateArn:aws.acm.list_certificates,aws.acm.list_certificates,1,true,2026-04-17T15:34:07Z
aws,acm,aws.acm.import_certificate,write_other,client.import_certificate(),import_certificate,Certificate|PrivateKey,CertificateArn|CertificateChain|Tags,certificate,PrivateKey,acm:ImportCertificate,Certificate:aws.acm.list_certificates,aws.acm.list_certificates,1,true,2026-04-17T15:34:07Z
aws,acm,aws.acm.put_account_configuration,write_create,client.put_account_configuration(),put_account_configuration,IdempotencyToken,ExpiryEvents,certificate,IdempotencyToken,acm:PutAccountConfiguration,,,0,true,2026-04-17T15:34:07Z
aws,acm,aws.acm.remove_tags_from_certificate,write_delete,client.remove_tags_from_certificate(),remove_tags_from_certificate,CertificateArn|Tags,,certificate,CertificateArn,acm:RemoveTagsFromCertificate,CertificateArn:aws.acm.list_certificates|Tags:aws.accessanalyzer.list_analyzers,aws.acm.list_certificates|aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,acm,aws.acm.renew_certificate,write_other,client.renew_certificate(),renew_certificate,CertificateArn,,certificate,CertificateArn,acm:RenewCertificate,CertificateArn:aws.acm.list_certificates,aws.acm.list_certificates,1,true,2026-04-17T15:34:07Z
aws,acm,aws.acm.request_certificate,write_other,client.request_certificate(),request_certificate,DomainName,ValidationMethod|SubjectAlternativeNames|IdempotencyToken|DomainValidationOptions|Options|CertificateAuthorityArn|Tags|KeyAlgorithm|ManagedBy,certificate,DomainName,acm:RequestCertificate,DomainName:aws.acm.list_certificates,aws.acm.list_certificates,1,true,2026-04-17T15:34:07Z
aws,acm,aws.acm.resend_validation_email,write_other,client.resend_validation_email(),resend_validation_email,CertificateArn|Domain|ValidationDomain,,certificate,CertificateArn,acm:ResendValidationEmail,CertificateArn:aws.acm.list_certificates|Domain:aws.controlcatalog.list_objectives,aws.acm.list_certificates|aws.controlcatalog.list_objectives,1,true,2026-04-17T15:34:07Z
aws,acm,aws.acm.revoke_certificate,write_other,client.revoke_certificate(),revoke_certificate,CertificateArn|RevocationReason,,certificate,CertificateArn,acm:RevokeCertificate,CertificateArn:aws.acm.list_certificates|RevocationReason:aws.acm.list_certificates,aws.acm.list_certificates,1,true,2026-04-17T15:34:07Z
aws,acm,aws.acm.update_certificate_options,write_update,client.update_certificate_options(),update_certificate_options,CertificateArn|Options,,certificate,CertificateArn,acm:UpdateCertificateOptions,CertificateArn:aws.acm.list_certificates|Options:aws.acm.list_certificates,aws.acm.list_certificates,1,true,2026-04-17T15:34:07Z
aws,acm-pca,aws.acm-pca.create_certificate_authority,write_create,client.create_certificate_authority(),create_certificate_authority,CertificateAuthorityConfiguration|CertificateAuthorityType,RevocationConfiguration|IdempotencyToken|KeyStorageSecurityStandard|Tags|UsageMode,certificate_authority,CertificateAuthorityConfiguration,acm-pca:CreateCertificateAuthority,,,0,true,2026-04-17T15:34:07Z
aws,acm-pca,aws.acm-pca.create_certificate_authority_audit_report,write_create,client.create_certificate_authority_audit_report(),create_certificate_authority_audit_report,CertificateAuthorityArn|S3BucketName|AuditReportResponseFormat,,certificate_authority,CertificateAuthorityArn,acm-pca:CreateCertificateAuthorityAuditReport,CertificateAuthorityArn:aws.finspace.list_kx_environments|S3BucketName:aws.cloudtrail.describe_trails,aws.finspace.list_kx_environments|aws.cloudtrail.describe_trails,1,true,2026-04-17T15:34:07Z
aws,acm-pca,aws.acm-pca.create_permission,write_create,client.create_permission(),create_permission,CertificateAuthorityArn|Principal|Actions,SourceAccount,certificate_authority,CertificateAuthorityArn,acm-pca:CreatePermission,CertificateAuthorityArn:aws.finspace.list_kx_environments|Principal:aws.accessanalyzer.list_analyzers|Actions:aws.accessanalyzer.list_analyzers,aws.finspace.list_kx_environments|aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,acm-pca,aws.acm-pca.delete_certificate_authority,write_delete,client.delete_certificate_authority(),delete_certificate_authority,CertificateAuthorityArn,PermanentDeletionTimeInDays,certificate_authority,CertificateAuthorityArn,acm-pca:DeleteCertificateAuthority,CertificateAuthorityArn:aws.finspace.list_kx_environments,aws.finspace.list_kx_environments,1,true,2026-04-17T15:34:07Z
aws,acm-pca,aws.acm-pca.delete_permission,write_delete,client.delete_permission(),delete_permission,CertificateAuthorityArn|Principal,SourceAccount,certificate_authority,CertificateAuthorityArn,acm-pca:DeletePermission,CertificateAuthorityArn:aws.finspace.list_kx_environments|Principal:aws.accessanalyzer.list_analyzers,aws.finspace.list_kx_environments|aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,acm-pca,aws.acm-pca.delete_policy,write_delete,client.delete_policy(),delete_policy,ResourceArn,,certificate_authority,ResourceArn,acm-pca:DeletePolicy,ResourceArn:aws.appconfig.list_extension_associations,aws.appconfig.list_extension_associations,1,true,2026-04-17T15:34:07Z
aws,acm-pca,aws.acm-pca.import_certificate_authority_certificate,write_other,client.import_certificate_authority_certificate(),import_certificate_authority_certificate,CertificateAuthorityArn|Certificate,CertificateChain,certificate_authority,CertificateAuthorityArn,acm-pca:ImportCertificateAuthorityCertificate,CertificateAuthorityArn:aws.finspace.list_kx_environments|Certificate:aws.acm.list_certificates,aws.finspace.list_kx_environments|aws.acm.list_certificates,1,true,2026-04-17T15:34:07Z
aws,acm-pca,aws.acm-pca.issue_certificate,write_other,client.issue_certificate(),issue_certificate,CertificateAuthorityArn|Csr|SigningAlgorithm|Validity,ApiPassthrough|TemplateArn|ValidityNotBefore|IdempotencyToken,certificate_authority,CertificateAuthorityArn,acm-pca:IssueCertificate,CertificateAuthorityArn:aws.finspace.list_kx_environments|Validity:aws.license-manager.list_license_versions,aws.finspace.list_kx_environments|aws.license-manager.list_license_versions,2,true,2026-04-17T15:34:07Z
aws,acm-pca,aws.acm-pca.put_policy,write_create,client.put_policy(),put_policy,ResourceArn|Policy,,certificate_authority,ResourceArn,acm-pca:PutPolicy,ResourceArn:aws.appconfig.list_extension_associations|Policy:aws.aiops.list_investigation_groups,aws.appconfig.list_extension_associations|aws.aiops.list_investigation_groups,1,true,2026-04-17T15:34:07Z
aws,acm-pca,aws.acm-pca.restore_certificate_authority,write_other,client.restore_certificate_authority(),restore_certificate_authority,CertificateAuthorityArn,,certificate_authority,CertificateAuthorityArn,acm-pca:RestoreCertificateAuthority,CertificateAuthorityArn:aws.finspace.list_kx_environments,aws.finspace.list_kx_environments,1,true,2026-04-17T15:34:07Z
aws,acm-pca,aws.acm-pca.revoke_certificate,write_other,client.revoke_certificate(),revoke_certificate,CertificateAuthorityArn|CertificateSerial|RevocationReason,,certificate_authority,CertificateAuthorityArn,acm-pca:RevokeCertificate,CertificateAuthorityArn:aws.finspace.list_kx_environments|RevocationReason:aws.acm.list_certificates,aws.finspace.list_kx_environments|aws.acm.list_certificates,1,true,2026-04-17T15:34:07Z
aws,acm-pca,aws.acm-pca.tag_certificate_authority,write_other,client.tag_certificate_authority(),tag_certificate_authority,CertificateAuthorityArn|Tags,,certificate_authority,CertificateAuthorityArn,acm-pca:TagCertificateAuthority,CertificateAuthorityArn:aws.finspace.list_kx_environments|Tags:aws.accessanalyzer.list_analyzers,aws.finspace.list_kx_environments|aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,acm-pca,aws.acm-pca.untag_certificate_authority,write_other,client.untag_certificate_authority(),untag_certificate_authority,CertificateAuthorityArn|Tags,,certificate_authority,CertificateAuthorityArn,acm-pca:UntagCertificateAuthority,CertificateAuthorityArn:aws.finspace.list_kx_environments|Tags:aws.accessanalyzer.list_analyzers,aws.finspace.list_kx_environments|aws.accessanalyzer.list_analyzers,1,true,2026-04-17T15:34:07Z
aws,acm-pca,aws.acm-pca.update_certificate_authority,write_update,client.update_certificate_authority(),update_certificate_authority,CertificateAuthorityArn,RevocationConfiguration|Status,certificate_authority,CertificateAuthorityArn,acm-pca:UpdateCertificateAuthority,CertificateAuthorityArn:aws.finspace.list_kx_environments,aws.finspace.list_kx_environments,1,true,2026-04-17T15:34:07Z
aws,apigateway,aws.apigateway.create_api_key,write_create,client.create_api_key(),create_api_key,,name|description|enabled|generateDistinctId|value|stageKeys|customerId|tags,certificate,name,apigateway:CreateApiKey,,,0,true,2026-04-17T15:34:07Z
aws,apigateway,aws.apigateway.generate_client_certificate,write_other,client.generate_client_certificate(),generate_client_certificate,,description|tags,certificate,description,apigateway:GenerateClientCertificate,,,0,true,2026-04-17T15:34:07Z
aws,apigateway,aws.apigateway.update_account,write_update,client.update_account(),update_account,,patchOperations,certificate,patchOperations,apigateway:UpdateAccount,,,0,true,2026-04-17T15:34:07Z
aws,apigateway,aws.apigateway.create_authorizer,write_create,client.create_authorizer(),create_authorizer,restApiId|name|type,providerARNs|authType|authorizerUri|authorizerCredentials|identitySource|identityValidationExpression|authorizerResultTtlInSeconds,certificate,restApiId,apigateway:CreateAuthorizer,restApiId:aws.apigateway.get_api_keys|name:aws.apigateway.get_api_keys|type:aws.apigateway.get_authorizers,aws.apigateway.get_api_keys|aws.apigateway.get_authorizers,1,true,2026-04-17T15:34:07Z
aws,apigateway,aws.apigateway.create_base_path_mapping,write_create,client.create_base_path_mapping(),create_base_path_mapping,domainName|restApiId,domainNameId|basePath|stage,certificate,domainName,apigateway:CreateBasePathMapping,domainName:aws.apigateway.get_domain_names|restApiId:aws.apigateway.get_api_keys,aws.apigateway.get_domain_names|aws.apigateway.get_api_keys,1,true,2026-04-17T15:34:07Z
aws,apigateway,aws.apigateway.create_deployment,write_create,client.create_deployment(),create_deployment,restApiId,stageName|stageDescription|description|cacheClusterEnabled|cacheClusterSize|variables|canarySettings|tracingEnabled,certificate,restApiId,apigateway:CreateDeployment,restApiId:aws.apigateway.get_api_keys,aws.apigateway.get_api_keys,1,true,2026-04-17T15:34:07Z
aws,apigateway,aws.apigateway.create_documentation_part,write_create,client.create_documentation_part(),create_documentation_part,restApiId|location|properties,,certificate,restApiId,apigateway:CreateDocumentationPart,restApiId:aws.apigateway.get_api_keys|location:aws.directconnect.describe_connections|properties:aws.license-manager.list_license_asset_groups,aws.apigateway.get_api_keys|aws.directconnect.describe_connections|aws.license-manager.list_license_asset_groups,1,true,2026-04-17T15:34:07Z
