unique_compliance_id,technology,compliance_framework,framework_id,framework_version,requirement_id,requirement_name,requirement_description,section,service,total_checks,automation_type,confidence_score,references,source_file,aws_checks,final_aws_check
canada_pbmm_moderate_multi_cloud_CCCS_AC-2_0002,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-2,CCCS AC-2: Account Management,,CCCS,IAM,15,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_iam_user_accesskey_unused; aws_iam_user_console_access_unused,aws.iam.user.mfa_required; aws.iam.user.mfa_required
canada_pbmm_moderate_multi_cloud_CCCS_AC-5_0005,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-5,CCCS AC-5: Separation of Duties,,CCCS,IAM,9,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_iam_policy_no_administrative_privileges,aws.iam.policy.no_administrative_privileges
canada_pbmm_moderate_multi_cloud_CCCS_AC-6_0006,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-6,CCCS AC-6: Least Privilege,,CCCS,IAM,21,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_iam_policy_no_administrative_privileges; aws_iam_policy_overly_permissive; aws_iam_role_least_privilege,aws.iam.policy.no_administrative_privileges; aws.iam.policy.overly_permissive_configured; aws.iam.role.least_privilege
canada_pbmm_moderate_multi_cloud_CCCS_AC-17_0013,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-17,CCCS AC-17: Remote Access,,CCCS,Multiple,63,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_ec2_ebs_public_snapshot; aws_ec2_instance_no_public_ip; aws_emr_cluster_master_nodes_no_public_ip; aws_lambda_function_restrict_public_access; aws_lambda_function_url_public; aws_rds_instance_no_public_access; aws_rds_snapshots_public_access; aws_redshift_cluster_public_access; aws_s3_account_level_public_access_blocks,aws.ec2.snapshot.not_public_configured; aws.ec2.instance.no_public_ip_assigned_configured; aws.emr.cluster.master_nodes_no_public_ip; aws.lambda.function.restrict_public_access_configured; aws.lambda.function.not_publicly_accessible_configured; aws.rds.instance.public_access_disabled; aws.rds.snapshots.public_access_configured; aws.redshift.cluster.public_access_configured; aws.s3.account.level_public_access_blocks
canada_pbmm_moderate_multi_cloud_CCCS_AU-2_0024,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-2,CCCS AU-2: Event Logging,,CCCS,Multiple,59,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_apigateway_restapi_logging_enabled; aws_cloudtrail_cloudwatch_logging_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_elb_logging_enabled; aws_elbv2_logging_enabled; aws_rds_instance_integration_cloudwatch_logs; aws_redshift_cluster_audit_logging; aws_s3_bucket_server_access_logging_enabled,aws.apigateway.restapi.logging_enabled; aws.cloudtrail.trail.flow_logging_enabled; aws.cloudtrail.trail.flow_logging_enabled; aws.cloudtrail.trail.s3_dataevents_read_enabled; aws.cloudtrail.trail.s3_dataevents_write_enabled; aws.elb.logging.access_logging_enabled; aws.elbv2.logging.access_logging_enabled; aws.rds.instance.integration_cloudwatch_logs; aws.redshift.cluster.audit_logging; aws.s3.bucket.access_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-3_0025,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-3,CCCS AU-3: Content of Audit Records,,CCCS,Multiple,60,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_apigateway_restapi_logging_enabled; aws_cloudtrail_cloudwatch_logging_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_elb_logging_enabled; aws_elbv2_logging_enabled; aws_rds_instance_integration_cloudwatch_logs; aws_redshift_cluster_audit_logging; aws_s3_bucket_server_access_logging_enabled,aws.apigateway.restapi.logging_enabled; aws.cloudtrail.trail.flow_logging_enabled; aws.cloudtrail.trail.flow_logging_enabled; aws.cloudtrail.trail.s3_dataevents_read_enabled; aws.cloudtrail.trail.s3_dataevents_write_enabled; aws.elb.logging.access_logging_enabled; aws.elbv2.logging.access_logging_enabled; aws.rds.instance.integration_cloudwatch_logs; aws.redshift.cluster.audit_logging; aws.s3.bucket.access_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-6_0028,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-6,"CCCS AU-6: Audit Record Review, Analysis, and Reporting",,CCCS,CLOUDWATCH,16,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_cloudwatch_log_analysis_enabled; aws_cloudwatch_log_metric_filter_alarm_configured,aws.cloudwatch.loggroup.log_destination_least_privilege; aws.cloudwatch.log.metric_filter_policy_changes_configured
canada_pbmm_moderate_multi_cloud_CCCS_AU-8_0030,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-8,CCCS AU-8: Time Stamps,,CCCS,Multiple,58,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_apigateway_restapi_logging_enabled; aws_cloudtrail_cloudwatch_logging_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_elb_logging_enabled; aws_elbv2_logging_enabled; aws_rds_instance_integration_cloudwatch_logs; aws_redshift_cluster_audit_logging; aws_s3_bucket_server_access_logging_enabled,aws.apigateway.restapi.logging_enabled; aws.cloudtrail.trail.flow_logging_enabled; aws.cloudtrail.trail.flow_logging_enabled; aws.cloudtrail.trail.s3_dataevents_read_enabled; aws.cloudtrail.trail.s3_dataevents_write_enabled; aws.elb.logging.access_logging_enabled; aws.elbv2.logging.access_logging_enabled; aws.rds.instance.integration_cloudwatch_logs; aws.redshift.cluster.audit_logging; aws.s3.bucket.access_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-9_0031,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-9,CCCS AU-9: Protection of Audit Information,,CCCS,CLOUDTRAIL,10,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_cloudtrail_log_file_validation_enabled,aws.cloudtrail.trail.log_file_validation_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-12_0033,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-12,CCCS AU-12: Audit Record Generation,,CCCS,Multiple,59,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_apigateway_restapi_logging_enabled; aws_cloudtrail_cloudwatch_logging_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_elb_logging_enabled; aws_elbv2_logging_enabled; aws_rds_instance_integration_cloudwatch_logs; aws_redshift_cluster_audit_logging; aws_s3_bucket_server_access_logging_enabled,aws.apigateway.restapi.logging_enabled; aws.cloudtrail.trail.flow_logging_enabled; aws.cloudtrail.trail.flow_logging_enabled; aws.cloudtrail.trail.s3_dataevents_read_enabled; aws.cloudtrail.trail.s3_dataevents_write_enabled; aws.elb.logging.access_logging_enabled; aws.elbv2.logging.access_logging_enabled; aws.rds.instance.integration_cloudwatch_logs; aws.redshift.cluster.audit_logging; aws.s3.bucket.access_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_CA-2_0035,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-2,CCCS CA-2: Control Assessments,,CCCS,Multiple,15,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_guardduty_enabled; aws_securityhub_hub_enabled_in_all_regions,aws.guardduty.detector.enabled; aws.securityhub.hub.securityhub_enabled_in_all_regions
canada_pbmm_moderate_multi_cloud_CCCS_CA-7_0039,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-7,CCCS CA-7: Continuous Monitoring,,CCCS,Multiple,81,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_apigateway_restapi_logging_enabled; aws_cloudtrail_cloudwatch_logging_enabled; aws_cloudtrail_multi_region_enabled; aws_cloudtrail_s3_dataevents_read_enabled; aws_cloudtrail_s3_dataevents_write_enabled; aws_cloudwatch_changes_to_network_acls_alarm_configured; aws_cloudwatch_changes_to_network_gateways_alarm_configured; aws_cloudwatch_changes_to_network_route_tables_alarm_configured; aws_cloudwatch_changes_to_vpcs_alarm_configured; aws_cloudwatch_log_group_retention; aws_guardduty_enabled; aws_rds_instance_enhanced_monitoring_enabled; aws_securityhub_hub_enabled_in_all_regions,aws.apigateway.restapi.logging_enabled; aws.cloudtrail.trail.flow_logging_enabled; aws.cloudtrail.trail.flow_logging_enabled; aws.cloudtrail.trail.s3_dataevents_read_enabled; aws.cloudtrail.trail.s3_dataevents_write_enabled; aws.cloudwatch.alarm.cloudwatch_alarm_actions_configured; aws.cloudwatch.alarm.cloudwatch_alarm_actions_configured; aws.cloudwatch.alarm.cloudwatch_alarm_actions_configured; aws.cloudwatch.alarm.cloudwatch_alarm_actions_configured; aws.cloudwatch.loggroup.retention_days_minimum; aws.guardduty.detector.enabled; aws.rds.instance.enhanced_monitoring_enabled; aws.securityhub.hub.securityhub_enabled_in_all_regions
canada_pbmm_moderate_multi_cloud_CCCS_CA-9_0040,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CA-9,CCCS CA-9: Internal System Connections,,CCCS,Multiple,28,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_apigateway_restapi_client_certificate_enabled; aws_elb_ssl_listeners; aws_opensearch_service_domains_node_to_node_encryption_enabled; aws_s3_bucket_secure_transport_policy,aws.apigateway.certificate.certificate_enabled; aws.elb.loadbalancer.ssl_listener_protocol_configured; aws.opensearch.service.domains_encryption_at_rest_enabled; aws.s3.bucket.secure_transport_policy
canada_pbmm_moderate_multi_cloud_CCCS_CM-2_0042,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS CM-2,CCCS CM-2: Baseline Configuration,,CCCS,Multiple,40,automated,,,CANADA_PBMM_controls_with_checks.csv,aws_ec2_instance_managed_by_ssm; aws_ec2_instance_older_than_specific_days; aws_ec2_networkacl_allow_ingress_any_port; aws_elbv2_deletion_protection; aws_redshift_cluster_automatic_upgrades; aws_ssm_managed_compliant_patching,aws.ec2.instance.managed_by_ssm_configured; aws.ec2.instance.older_than_specific_days; aws.ec2.networkacl.network_no_unrestricted_ingress_configured; aws.elbv2.deletion_protection.deletion_protection_configured; aws.redshift.cluster.minor_version_auto_upgrade_enabled; aws.ssm.managed.ssm_compliant_patching_configured
