csp,source_type,source_type_label,log_field,field_label,field_type,operators,format_hint,field_value,field_value_label,rule_id,rule_title,rule_severity,rule_threat_category,rule_check_type,rule_condition_op,rule_conditions_summary,rule_conditions_json,rule_file
aws,alb,AWS ALB Access Logs,error_code,Error Code,string,"equals, not_equals, in",,401,401,aws.alb.alb_log.http_401_unauthorized,ALB: HTTP 401 Unauthorized,medium,initial_access,log,equals,source_type equals alb AND error_code equals 401,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""error_code"", ""op"": ""equals"", ""value"": ""401""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.http_401_unauthorized.yaml
aws,alb,AWS ALB Access Logs,error_code,Error Code,string,"equals, not_equals, in",,403,403,aws.alb.alb_log.http_403_forbidden,ALB: HTTP 403 Forbidden,low,initial_access,log,equals,source_type equals alb AND error_code equals 403,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""error_code"", ""op"": ""equals"", ""value"": ""403""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.http_403_forbidden.yaml
aws,alb,AWS ALB Access Logs,error_code,Error Code,string,"equals, not_equals, in",,404,404,aws.alb.alb_log.http_404_not_found,ALB: HTTP 404 Not Found,low,discovery,log,equals,source_type equals alb AND error_code equals 404,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""error_code"", ""op"": ""equals"", ""value"": ""404""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.http_404_not_found.yaml
aws,alb,AWS ALB Access Logs,error_code,Error Code,string,"equals, not_equals, in",,5,5,aws.alb.alb_log.repeated_server_errors,ALB: Repeated Server Errors,medium,discovery,log,contains,source_type equals alb AND outcome equals failure AND error_code contains 5,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""outcome"", ""op"": ""equals"", ""value"": ""failure""}, {""field"": ""error_code"", ""op"": ""contains"", ""value"": ""5""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.repeated_server_errors.yaml
aws,alb,AWS ALB Access Logs,error_code,Error Code,string,"equals, not_equals, in",,502,502,aws.alb.alb_log.bad_gateway,ALB: Bad Gateway,low,discovery,log,equals,source_type equals alb AND error_code equals 502,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""error_code"", ""op"": ""equals"", ""value"": ""502""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.bad_gateway.yaml
aws,alb,AWS ALB Access Logs,error_code,Error Code,string,"equals, not_equals, in",,504,504,aws.alb.alb_log.connection_timeout,ALB: Connection Timeout,low,discovery,log,equals,source_type equals alb AND error_code equals 504,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""error_code"", ""op"": ""equals"", ""value"": ""504""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.connection_timeout.yaml
aws,alb,AWS ALB Access Logs,operation,API Operation / Event Name,string,"equals, not_equals, in, contains, starts_with, starts_with_any",,DELETE,DELETE,aws.alb.alb_log.http_delete_method,ALB: HTTP Delete Method,medium,web_attack,log,equals,source_type equals alb AND operation equals DELETE,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""operation"", ""op"": ""equals"", ""value"": ""DELETE""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.http_delete_method.yaml
aws,alb,AWS ALB Access Logs,operation,API Operation / Event Name,string,"equals, not_equals, in, contains, starts_with, starts_with_any",,OPTIONS,OPTIONS,aws.alb.alb_log.http_options_method,ALB: HTTP Options Method,low,discovery,log,equals,source_type equals alb AND operation equals OPTIONS,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""operation"", ""op"": ""equals"", ""value"": ""OPTIONS""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.http_options_method.yaml
aws,alb,AWS ALB Access Logs,operation,API Operation / Event Name,string,"equals, not_equals, in, contains, starts_with, starts_with_any",,PATCH,PATCH,aws.alb.alb_log.http_patch_method,ALB: HTTP Patch Method,low,web_attack,log,equals,source_type equals alb AND operation equals PATCH,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""operation"", ""op"": ""equals"", ""value"": ""PATCH""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.http_patch_method.yaml
aws,alb,AWS ALB Access Logs,outcome,Outcome,enum,"equals, not_equals, in",,failure,failure,aws.alb.alb_log.health_check_failure,ALB: Health Check Failure,low,discovery,log,equals,source_type equals alb AND resource_uid contains /health AND outcome equals failure,"{""all"": [{""field"": ""source_type"", ""op"": ""equals"", ""value"": ""alb""}, {""field"": ""resource_uid"", ""op"": ""contains"", ""value"": ""/health""}, {""field"": ""outcome"", ""op"": ""equals"", ""value"": ""failure""}]}",catalog/rule/aws_rule_ciem/alb/aws.alb.alb_log.health_check_failure.yaml
