cloud_provider,rule_id,service,category,provider_python_client,alicloud_mapped_compliance_functions,alicloud_mapped_compliance_ids,alicloud_mapping_sources,alicloud_enterprise_rule_id
alicloud,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_authn_required,PAI-EAS Endpoint,ai_services,PAI-EAS Endpoint,,,,
alicloud,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_authz_policies_enforced,PAI-EAS Endpoint,ai_services,PAI-EAS Endpoint,alicloud.vpc.endpoint_services_allowed_principals_trust_boundaries,"iso27001_2022_multi_cloud_A.8.20_0076;iso27001_2022_multi_cloud_A.8.20_0076,iso27001_2022_multi_cloud_A.8.21_0077,iso27001_2022_multi_cloud_A.8.22_0078;iso27001_2022_multi_cloud_A.8.21_0077;iso27001_2022_multi_cloud_A.8.22_0078",Coverage,alicloud.ack.network_policy_enforced_with_least_privilege.configured; alicloud.analyticdb.cluster.enhanced_vpc_routing_enabled; alicloud.cloudfirewall.deployed_across_all_vpcs.configured; alicloud.cloudmonitor.vpcs_change_alarm_configured.configured; alicloud.ecs.elastic_ip_exposure_to_shodan.configured; alicloud.ecs.elastic_ip_unassigned_cleanup_required.configured; alicloud.ecs.firewall.rdp_access_internet_blocked; alicloud.ecs.firewall.ssh_access_internet_blocked; alicloud.ecs.instance.cassandra_port_internet_blocked; alicloud.ecs.instance.cifs_port_internet_blocked; alicloud.ecs.instance.elasticsearch_kibana_port_internet_blocked; alicloud.ecs.instance.ftp_port_internet_blocked; alicloud.ecs.instance.iam_profile_attached; alicloud.ecs.instance.imdsv2_mandatory; alicloud.ecs.instance.internet_facing_instance_profile_least_privilege; alicloud.ecs.instance.kafka_port_internet_blocked; alicloud.ecs.instance.kerberos_port_internet_blocked; alicloud.ecs.instance.ldap_port_internet_blocked; alicloud.ecs.instance.memcached_port_internet_blocked; alicloud.ecs.instance.mongodb_port_internet_blocked; alicloud.ecs.instance.mysql_port_internet_blocked; alicloud.ecs.instance.oracle_port_internet_blocked; alicloud.ecs.instance.paravirtual_type_deprecated; alicloud.ecs.instance.postgresql_port_internet_blocked; alicloud.ecs.instance.public_ip_disabled; alicloud.ecs.instance.rdp_port_internet_blocked; alicloud.ecs.instance.redis_port_internet_blocked; alicloud.ecs.instance.single_eni_usage_verified; alicloud.ecs.instance.sqlserver_port_internet_blocked; alicloud.ecs.instance.ssh_port_internet_blocked; alicloud.ecs.instance.telnet_port_public_access_blocked; alicloud.ecs.instance.user_data_secrets_exposure_prevented; alicloud.ecs.launch_template.imdsv2_enforcement; alicloud.ecs.launch_template.public_ip_assignment_disabled; alicloud.ecs.launch_template.secrets_management_enforced; alicloud.ecs.network.dns_query_logging_enabled; alicloud.ecs.network_custom_vpc_required.configured; alicloud.ecs.network_modern_architecture_required.configured; alicloud.ecs.networkacl.ingress_any_port_blocked; alicloud.ecs.networkacl.rdp_port_3389_ingress_restricted; alicloud.ecs.networkacl.ssh_port_22_ingress_restricted; alicloud.ecs.networkacl.unused_resources_identified; alicloud.ecs.securitygroup.all_ports_public_ingress_blocked; alicloud.ecs.securitygroup.any_port_public_ingress_blocked; alicloud.ecs.securitygroup.cassandra_ports_public_ingress_blocked; alicloud.ecs.securitygroup.elasticsearch_kibana_ports_public_ingress_blocked; alicloud.ecs.securitygroup.excessive_ingress_egress_rules_reviewed; alicloud.ecs.securitygroup.ftp_ports_public_ingress_blocked; alicloud.ecs.securitygroup.high_risk_ports_public_ingress_blocked; alicloud.ecs.securitygroup.kafka_port_public_ingress_blocked; alicloud.ecs.securitygroup.launch_wizard_security_group_audit; alicloud.ecs.securitygroup.memcached_port_public_ingress_blocked; alicloud.ecs.securitygroup.mongodb_ports_public_ingress_blocked; alicloud.ecs.securitygroup.mysql_port_public_ingress_blocked; alicloud.ecs.securitygroup.oracle_ports_public_ingress_blocked; alicloud.ecs.securitygroup.postgres_port_public_ingress_blocked; alicloud.ecs.securitygroup.redis_port_public_ingress_blocked; alicloud.ecs.securitygroup.sql_server_ports_public_ingress_blocked; alicloud.ecs.securitygroup.telnet_port_public_ingress_blocked; alicloud.ecs.securitygroup.unused_security_groups_identified; alicloud.ecs.securitygroup.wide_open_public_ipv4_detected; alicloud.ecs.securitygroup_default_deny_all_traffic.configured; alicloud.ecs.securitygroup_ingress_tcp_3389_from_internet_blocked.configured; alicloud.ecs.securitygroup_ingress_tcp_port_22_internet_access_blocked.configured; alicloud.ecs.subnet.flow_logging_enabled_for_traffic_analysis; alicloud.ecs.transitgateway.vpc_attachment_auto_accept_disabled; alicloud.fc.function.vpc_isolation_enabled; alicloud.fc.function.vpc_multi_az_deployment; alicloud.general.account.firewall_restrict_to_selected_networks; alicloud.general.log_metric_filter_and_alert.vpc_network_changes_enabled_90_day_retention; alicloud.general.log_metric_filter_and_alert.vpc_network_route_changes_enabled_90_day_retention; alicloud.general.models.vpc_settings_properly_configured; alicloud.general.notebook_instance.vpc_settings_properly_configured; alicloud.general.registry.public_access_blocked; alicloud.general.training_jobs.vpc_settings_properly_configured; alicloud.general.vpc.subnet_configuration_with_nat_gateway; alicloud.rds.instance.vpc_association_verified; alicloud.vpc.bastion_host_exists_with_mfa_enabled.configured; alicloud.vpc.cross_region_configuration_verified.configured; alicloud.vpc.endpoint.ecs_access_enabled; alicloud.vpc.endpoint.multi_az_enabled_with_failover_configured; alicloud.vpc.endpoint_connections.trust_boundaries_enforced; alicloud.vpc.endpoint_services.allowed_principals_trust_boundaries_enforced; alicloud.vpc.flow_log.retention_90_days_minimum; alicloud.vpc.flow_log_captured_sent_with_90_day_retention.configured; alicloud.vpc.flow_logs.logging_active; alicloud.vpc.http.public_http_access_restricted; alicloud.vpc.peering_routing_tables.least_privilege_enforced; alicloud.vpc.public_ip_exposure_blocked.configured; alicloud.vpc.rdp_internet_access_restricted_to_whitelisted_ips.configured; alicloud.vpc.ssh_internet_access_restricted_to_whitelisted_ips.configured; alicloud.vpc.subnet.different_az_with_routing_control; alicloud.vpc.subnet.private_public_separation_enforced; alicloud.vpc.subnet.public_ip_disabled_by_default; alicloud.vpc.udp_internet_access_restricted_to_whitelisted_ips.configured; alicloud.vpc.vpn_connection.tunnels_up_with_encryption_enabled; alicloud.vpc.watcher_enabled_with_alerting.configured
alicloud,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_private_networking_enforced,PAI-EAS Endpoint,ai_services,PAI-EAS Endpoint,,,,
alicloud,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_rate_limiting_enabled,PAI-EAS Endpoint,ai_services,PAI-EAS Endpoint,alicloud.vpc.endpoint_multi_az_enabled,"iso27001_2022_multi_cloud_A.8.14_0069;iso27001_2022_multi_cloud_A.8.14_0069,iso27001_2022_multi_cloud_A.8.20_0076,iso27001_2022_multi_cloud_A.8.21_0077,iso27001_2022_multi_cloud_A.8.22_0078;iso27001_2022_multi_cloud_A.8.20_0076;iso27001_2022_multi_cloud_A.8.21_0077;iso27001_2022_multi_cloud_A.8.22_0078",Coverage,alicloud.ack.clusters.private_nodes_only; alicloud.ack.clusters.public_access_blocked; alicloud.ack.network_policy_enforced_with_least_privilege.configured; alicloud.analyticdb.cluster.enhanced_vpc_routing_enabled; alicloud.analyticdb.cluster.multi_az_enabled_with_encryption_at_rest_enabled; alicloud.cloudfirewall.deployed_across_all_vpcs.configured; alicloud.cloudfirewall.multi_az_with_auto_scaling.configured; alicloud.cloudmonitor.vpcs_change_alarm_configured.configured; alicloud.dms.instance.multi_az_deployment; alicloud.ecs.ebs_volume.backup_plan_enforced; alicloud.ecs.elastic_ip_exposure_to_shodan.configured; alicloud.ecs.elastic_ip_unassigned_cleanup_required.configured; alicloud.ecs.firewall.rdp_access_internet_blocked; alicloud.ecs.firewall.ssh_access_internet_blocked; alicloud.ecs.instance.cassandra_port_internet_blocked; alicloud.ecs.instance.cifs_port_internet_blocked; alicloud.ecs.instance.csek_encryption_at_rest_enabled; alicloud.ecs.instance.elasticsearch_kibana_port_internet_blocked; alicloud.ecs.instance.ftp_port_internet_blocked; alicloud.ecs.instance.iam_profile_attached; alicloud.ecs.instance.imdsv2_mandatory; alicloud.ecs.instance.internet_facing_instance_profile_least_privilege; alicloud.ecs.instance.kafka_port_internet_blocked; alicloud.ecs.instance.kerberos_port_internet_blocked; alicloud.ecs.instance.ldap_port_internet_blocked; alicloud.ecs.instance.memcached_port_internet_blocked; alicloud.ecs.instance.mongodb_port_internet_blocked; alicloud.ecs.instance.mysql_port_internet_blocked; alicloud.ecs.instance.oracle_port_internet_blocked; alicloud.ecs.instance.paravirtual_type_deprecated; alicloud.ecs.instance.postgresql_port_internet_blocked; alicloud.ecs.instance.public_ip_disabled; alicloud.ecs.instance.rdp_port_internet_blocked; alicloud.ecs.instance.redis_port_internet_blocked; alicloud.ecs.instance.shielded_vm_security_features_enabled; alicloud.ecs.instance.single_eni_usage_verified; alicloud.ecs.instance.sqlserver_port_internet_blocked; alicloud.ecs.instance.ssh_port_internet_blocked; alicloud.ecs.instance.telnet_port_public_access_blocked; alicloud.ecs.instance.user_data_secrets_exposure_prevented; alicloud.ecs.launch_template.imdsv2_enforcement; alicloud.ecs.launch_template.public_ip_assignment_disabled; alicloud.ecs.launch_template.secrets_management_enforced; alicloud.ecs.network.dns_query_logging_enabled; alicloud.ecs.network_custom_vpc_required.configured; alicloud.ecs.network_modern_architecture_required.configured; alicloud.ecs.networkacl.ingress_any_port_blocked; alicloud.ecs.networkacl.rdp_port_3389_ingress_restricted; alicloud.ecs.networkacl.ssh_port_22_ingress_restricted; alicloud.ecs.networkacl.unused_resources_identified; alicloud.ecs.securitygroup.all_ports_public_ingress_blocked; alicloud.ecs.securitygroup.any_port_public_ingress_blocked; alicloud.ecs.securitygroup.cassandra_ports_public_ingress_blocked; alicloud.ecs.securitygroup.elasticsearch_kibana_ports_public_ingress_blocked; alicloud.ecs.securitygroup.excessive_ingress_egress_rules_reviewed; alicloud.ecs.securitygroup.ftp_ports_public_ingress_blocked; alicloud.ecs.securitygroup.high_risk_ports_public_ingress_blocked; alicloud.ecs.securitygroup.kafka_port_public_ingress_blocked; alicloud.ecs.securitygroup.launch_wizard_security_group_audit; alicloud.ecs.securitygroup.memcached_port_public_ingress_blocked; alicloud.ecs.securitygroup.mongodb_ports_public_ingress_blocked; alicloud.ecs.securitygroup.mysql_port_public_ingress_blocked; alicloud.ecs.securitygroup.oracle_ports_public_ingress_blocked; alicloud.ecs.securitygroup.postgres_port_public_ingress_blocked; alicloud.ecs.securitygroup.redis_port_public_ingress_blocked; alicloud.ecs.securitygroup.sql_server_ports_public_ingress_blocked; alicloud.ecs.securitygroup.telnet_port_public_ingress_blocked; alicloud.ecs.securitygroup.unused_security_groups_identified; alicloud.ecs.securitygroup.wide_open_public_ipv4_detected; alicloud.ecs.securitygroup_default_deny_all_traffic.configured; alicloud.ecs.securitygroup_ingress_tcp_3389_from_internet_blocked.configured; alicloud.ecs.securitygroup_ingress_tcp_port_22_internet_access_blocked.configured; alicloud.ecs.subnet.flow_logging_enabled_for_traffic_analysis; alicloud.ecs.transitgateway.vpc_attachment_auto_accept_disabled; alicloud.ess.group.capacity_rebalance_enforced; alicloud.ess.group.multi_az_deployment; alicloud.fc.function.vpc_isolation_enabled; alicloud.fc.function.vpc_multi_az_deployment; alicloud.general.account.firewall_restrict_to_selected_networks; alicloud.general.broker.active_active_deployment_mode; alicloud.general.broker.cluster_deployment_mode_with_redundancy; alicloud.general.cluster.multi_az_deployment; alicloud.general.connection_redundancy_enforced.configured; alicloud.general.distributions.origin_failover_configured_with_redundancy; alicloud.general.domains.fault_tolerant_data_nodes_with_encryption_at_rest_enabled; alicloud.general.domains.fault_tolerant_master_nodes_with_encryption_at_rest_enabled; alicloud.general.endpoint_config.prod_variant_instances_with_logging_enabled; alicloud.general.global_endpoint.event_replication_enforced; alicloud.general.instance.ensure_using_managed_disks_with_encryption_at_rest_enabled; alicloud.general.instance.trusted_launch_enabled_with_integrity_monitoring; alicloud.general.log_metric_filter_and_alert.vpc_network_changes_enabled_90_day_retention; alicloud.general.log_metric_filter_and_alert.vpc_network_route_changes_enabled_90_day_retention; alicloud.general.models.vpc_settings_properly_configured; alicloud.general.multi_az_deployment.configured; alicloud.general.notebook_instance.vpc_settings_properly_configured; alicloud.general.redis_cluster.automatic_failover_enforced; alicloud.general.redis_cluster.multi_az_deployment; alicloud.general.registry.public_access_blocked; alicloud.general.training_jobs.vpc_settings_properly_configured; alicloud.general.virtual_interface_redundancy_enforced.configured; alicloud.general.vpc.subnet_configuration_with_nat_gateway; alicloud.general.windows_file_system.multi_az_deployment; alicloud.oss.account.ensure_private_endpoints_with_public_access_blocked; alicloud.oss.bucket.cross_region_replication_with_encryption_enabled; alicloud.oss.secure_transfer_required_enforced.configured; alicloud.ots.table.backup_plan_enforced; alicloud.rds.cluster.multi_az_with_backup_enabled; alicloud.rds.instance.multi_az_deployment_enabled; alicloud.rds.instance.vpc_association_verified; alicloud.slb.multi_az_deployment.configured; alicloud.vpc.bastion_host_exists_with_mfa_enabled.configured; alicloud.vpc.cross_region_configuration_verified.configured; alicloud.vpc.endpoint.ecs_access_enabled; alicloud.vpc.endpoint.multi_az_enabled_with_failover_configured; alicloud.vpc.endpoint_connections.trust_boundaries_enforced; alicloud.vpc.endpoint_services.allowed_principals_trust_boundaries_enforced; alicloud.vpc.flow_log.retention_90_days_minimum; alicloud.vpc.flow_log_captured_sent_with_90_day_retention.configured; alicloud.vpc.flow_logs.logging_active; alicloud.vpc.http.public_http_access_restricted; alicloud.vpc.peering_routing_tables.least_privilege_enforced; alicloud.vpc.public_ip_exposure_blocked.configured; alicloud.vpc.rdp_internet_access_restricted_to_whitelisted_ips.configured; alicloud.vpc.ssh_internet_access_restricted_to_whitelisted_ips.configured; alicloud.vpc.subnet.different_az_with_routing_control; alicloud.vpc.subnet.private_public_separation_enforced; alicloud.vpc.subnet.public_ip_disabled_by_default; alicloud.vpc.udp_internet_access_restricted_to_whitelisted_ips.configured; alicloud.vpc.vpn_connection.tunnels_up_with_encryption_enabled; alicloud.vpc.watcher_enabled_with_alerting.configured
alicloud,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_waf_attached,PAI-EAS Endpoint,ai_services,PAI-EAS Endpoint,,,Coverage,
alicloud,alicloud.PAI-EAS (Elastic Algorithm Service).ai_services_security_prompt_gateway_authn_required,PAI-EAS (Elastic Algorithm Service),ai_services,PAI-EAS (Elastic Algorithm Service),,,,
alicloud,alicloud.PAI-EAS (Elastic Algorithm Service).ai_services_security_prompt_gateway_private_networking_enforced,PAI-EAS (Elastic Algorithm Service),ai_services,PAI-EAS (Elastic Algorithm Service),,,,
alicloud,alicloud.PAI-EAS (Elastic Algorithm Service).ai_services_security_prompt_gateway_token_scopes_least_privilege,PAI-EAS (Elastic Algorithm Service),ai_services,PAI-EAS (Elastic Algorithm Service),,,,
alicloud,alicloud.PAI - Feature Store.ai_services_security_vector_index_authn_required,PAI - Feature Store,ai_services,PAI - Feature Store,,,,
alicloud,alicloud.PAI - Feature Store.ai_services_security_vector_index_rbac_tenant_isolation_enforced,PAI - Feature Store,ai_services,PAI - Feature Store,,,,
