csp,service,field_path,item_var_path,field_type,is_id,producing_op,op_kind,is_independent,root_op,chain_ops,chain_length,hop_distance,chain_ops_with_fields,operators,operators_no_value,python_call,http_path
oci,redis,redis_cluster.cluster_mode,item.redis_cluster.cluster_mode,string,No,oci.redis.list_clusters,read_list,Yes,oci.redis.list_clusters,oci.redis.list_clusters,1,0,oci.redis.list_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"contains, equals, in, not_equals",,RedisClient().list_clusters(compartment_id=compartment_id).data,/20220315/clusters
oci,redis,redis_cluster.compartment_id,item.redis_cluster.compartment_id,string,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"equals, exists, not_equals",exists,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.defined_tags,item.redis_cluster.defined_tags,object,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"exists, not_empty","exists, not_empty",RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.discovery_endpoint_ip_address,item.redis_cluster.discovery_endpoint_ip_address,string,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"contains, equals, in, not_equals",,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.discovery_fqdn,item.redis_cluster.discovery_fqdn,string,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"contains, equals, in, not_equals",,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.display_name,item.redis_cluster.display_name,string,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"contains, equals, in, not_equals",,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.freeform_tags,item.redis_cluster.freeform_tags,object,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"exists, not_empty","exists, not_empty",RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.id,item.redis_cluster.id,string,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"contains, equals, in, not_equals",,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.lifecycle_details,item.redis_cluster.lifecycle_details,object,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"contains, equals, in, not_equals",,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.lifecycle_state,item.redis_cluster.lifecycle_state,string,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"contains, equals, in, not_equals",,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.node_collection,item.redis_cluster.node_collection,string,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"contains, equals, in, not_equals",,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.node_count,item.redis_cluster.node_count,string,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"contains, equals, in, not_equals",,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.node_memory_in_gbs,item.redis_cluster.node_memory_in_gbs,string,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"contains, equals, in, not_equals",,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.nsg_ids,item.redis_cluster.nsg_ids,array,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"contains, equals, in, not_empty, not_equals",not_empty,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.oci_cache_config_set_id,item.redis_cluster.oci_cache_config_set_id,object,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"equals, exists, not_equals",exists,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.primary_endpoint_ip_address,item.redis_cluster.primary_endpoint_ip_address,string,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"contains, equals, in, not_equals",,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.primary_fqdn,item.redis_cluster.primary_fqdn,string,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"contains, equals, in, not_equals",,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.replicas_endpoint_ip_address,item.redis_cluster.replicas_endpoint_ip_address,string,No,oci.redis.get_redis_cluster,read_get,No,oci.redis.get_redis_cluster,oci.redis.get_redis_cluster,1,0,oci.redis.get_redis_cluster[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +7],"contains, equals, in, not_equals",,"RedisClient().get_redis_cluster(compartment_id=compartment_id, redis_cluster_id=redis_cluster_id).data",/20220315/redisClusters/{RedisClusterId}
oci,redis,redis_cluster.replicas_fqdn,item.redis_cluster.replicas_fqdn,string,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"contains, equals, in, not_equals",,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.security_attributes,item.redis_cluster.security_attributes,string,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"contains, equals, in, not_equals",,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.shard_count,item.redis_cluster.shard_count,string,No,oci.redis.get_redis_cluster,read_get,No,oci.redis.get_redis_cluster,oci.redis.get_redis_cluster,1,0,oci.redis.get_redis_cluster[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +7],"contains, equals, in, not_equals",,"RedisClient().get_redis_cluster(compartment_id=compartment_id, redis_cluster_id=redis_cluster_id).data",/20220315/redisClusters/{RedisClusterId}
oci,redis,redis_cluster.software_version,item.redis_cluster.software_version,string,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"contains, equals, in, not_equals",,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
oci,redis,redis_cluster.subnet_id,item.redis_cluster.subnet_id,string,No,oci.redis.list_redis_clusters,read_list,Yes,oci.redis.list_redis_clusters,oci.redis.list_redis_clusters,1,0,oci.redis.list_redis_clusters[ocid|compartment_id|name|status|time_created|freeform_tags|defined_tags|node_count|... +4],"equals, exists, not_equals",exists,RedisClient().list_redis_clusters(compartment_id=compartment_id).data,/20220315/redisClusters
