service,rule_id,check_name,current_var,current_op,current_value,intended_var,intended_op,intended_value,status
ai_anomaly_detection,oci.ai_anomaly_detection.detector.anomaly_alerts_enabled,anomaly_alerts_enabled,item.defined_tags,not_empty,,,,,MANUAL
ai_anomaly_detection,oci.ai_anomaly_detection.detector.anomaly_destinations_encrypted,anomaly_destinations_encrypted,item.kms_key_id,exists,,item.kms_key_id,exists,,CORRECT
ai_anomaly_detection,oci.ai_anomaly_detection.detector.anomaly_detectors_enabled,anomaly_detectors_enabled,item.defined_tags,not_empty,,item.status,equals,ACTIVE,NEEDS_NEW_FIELD
ai_anomaly_detection,oci.ai_anomaly_detection.detector.anomaly_training_data_sources_approved_enabled,anomaly_training_data_sources_approved_enabled,item.defined_tags,not_empty,,item.status,equals,ACTIVE,NEEDS_NEW_FIELD
ai_language,oci.ai_language.project.model_invocation_logging_enabled,model_invocation_logging_enabled,item.project.defined_tags,not_empty,,,,,MANUAL
ai_language,oci.ai_language.project.model_invocation_logs_encryption_enabled,model_invocation_logs_encryption_enabled,item.project.defined_tags,not_empty,,item.project.kms_key_id,exists,,NEEDS_NEW_FIELD
ai_language,oci.ai_language.project.service_public_access_blocked,service_public_access_blocked,item.project.defined_tags,not_empty,,item.project.network_endpoint_details,exists,,NEEDS_NEW_FIELD
analytics,oci.analytics.analytics_instance.anomaly_destinations_encrypted,anomaly_destinations_encrypted,item.analytics_instance.kms_key_id,exists,,item.analytics_instance.kms_key_id,exists,,CORRECT
analytics,oci.analytics.analytics_instance.anomaly_detectors_enabled,anomaly_detectors_enabled,item.analytics_instance.defined_tags,not_empty,,item.analytics_instance.status,equals,ACTIVE,FIXABLE
analytics,oci.analytics.analytics_instance.api_security_monitoring_access_log_fields_restricted,api_security_monitoring_access_log_fields_restricted,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.api_security_monitoring_access_log_sink_configured_restricted,api_security_monitoring_access_log_sink_configured_restricted,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.api_security_monitoring_access_logging_enabled,api_security_monitoring_access_logging_enabled,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.api_security_monitoring_execution_logging_level_enabled,api_security_monitoring_execution_logging_level_enabled,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.api_security_monitoring_logs_retention_days_minimum_enabled,api_security_monitoring_logs_retention_days_minimum_enabled,item.analytics_instance.defined_tags,not_empty,,,,,NEEDS_NEW_OP
analytics,oci.analytics.analytics_instance.audit_logs_centralized_and_encrypted,audit_logs_centralized_and_encrypted,item.analytics_instance.kms_key_id,exists,,item.analytics_instance.kms_key_id,exists,,CORRECT
analytics,oci.analytics.analytics_instance.audit_retention_days_minimum_enabled,audit_retention_days_minimum_enabled,item.analytics_instance.defined_tags,not_empty,,,,,NEEDS_NEW_OP
analytics,oci.analytics.analytics_instance.custom_identifier_source_trusted,custom_identifier_source_trusted,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.custom_identifier_storage_encrypted,custom_identifier_storage_encrypted,item.analytics_instance.kms_key_id,exists,,item.analytics_instance.kms_key_id,exists,,CORRECT
analytics,oci.analytics.analytics_instance.dashboard_export_controls_enabled,dashboard_export_controls_enabled,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.dashboard_public_embeds_disabled,dashboard_public_embeds_disabled,item.analytics_instance.network_endpoint_details,exists,,item.analytics_instance.network_endpoint_details,exists,,CORRECT
analytics,oci.analytics.analytics_instance.dashboard_sharing_restricted_to_org,dashboard_sharing_restricted_to_org,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.dashboard_sso_required,dashboard_sso_required,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.dataset_access_policies_least_privilege_required,dataset_access_policies_least_privilege_required,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.dataset_cmk_encryption,dataset_cmk_encryption,item.analytics_instance.kms_key_id,exists,,item.analytics_instance.kms_key_id,exists,,CORRECT
analytics,oci.analytics.analytics_instance.dataset_encrypted_at_rest_cmek,dataset_encrypted_at_rest_cmek,item.analytics_instance.kms_key_id,exists,,item.analytics_instance.kms_key_id,exists,,CORRECT
analytics,oci.analytics.analytics_instance.dataset_public_access,dataset_public_access,item.analytics_instance.network_endpoint_details,exists,,item.analytics_instance.network_endpoint_details,exists,,CORRECT
analytics,oci.analytics.analytics_instance.dataset_public_sharing_disabled,dataset_public_sharing_disabled,item.analytics_instance.network_endpoint_details,exists,,item.analytics_instance.network_endpoint_details,exists,,CORRECT
analytics,oci.analytics.analytics_instance.dataset_row_level_security_enabled,dataset_row_level_security_enabled,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.event_subscription_cross_account_sharing_restricted,event_subscription_cross_account_sharing_restricted,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.event_subscription_destination_encrypted,event_subscription_destination_encrypted,item.analytics_instance.kms_key_id,exists,,item.analytics_instance.kms_key_id,exists,,CORRECT
analytics,oci.analytics.analytics_instance.event_subscription_destination_least_privilege_required,event_subscription_destination_least_privilege_required,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.group_external_sharing_restricted,group_external_sharing_restricted,item.analytics_instance.defined_tags,not_empty,,,,,NEEDS_NEW_OP
analytics,oci.analytics.analytics_instance.group_roles_minimal,group_roles_minimal,item.analytics_instance.defined_tags,not_empty,,,,,NEEDS_NEW_OP
analytics,oci.analytics.analytics_instance.instance_network_endpoint_access_restricted,instance_network_endpoint_access_restricted,item.analytics_instance.network_endpoint_details,exists,,item.analytics_instance.network_endpoint_details,exists,,CORRECT
analytics,oci.analytics.analytics_instance.monitoring_admin_activity_logging_enabled,monitoring_admin_activity_logging_enabled,item.analytics_instance.defined_tags,not_empty,,,,,NEEDS_NEW_OP
analytics,oci.analytics.analytics_instance.monitoring_logs_enabled,monitoring_logs_enabled,item.analytics_instance.defined_tags,not_empty,,,,,NEEDS_NEW_OP
analytics,oci.analytics.analytics_instance.monitoring_logs_retention_days_minimum_enabled,monitoring_logs_retention_days_minimum_enabled,item.analytics_instance.defined_tags,not_empty,,,,,NEEDS_NEW_OP
analytics,oci.analytics.analytics_instance.monitoring_outputs_encrypted_and_private,monitoring_outputs_encrypted_and_private,item.analytics_instance.kms_key_id,exists,,item.analytics_instance.kms_key_id,exists,,CORRECT
analytics,oci.analytics.analytics_instance.monitoring_private_networking_enforced,monitoring_private_networking_enforced,item.analytics_instance.network_endpoint_details,exists,,item.analytics_instance.network_endpoint_details,exists,,CORRECT
analytics,oci.analytics.analytics_instance.monitoring_query_access_logging_enabled,monitoring_query_access_logging_enabled,item.analytics_instance.defined_tags,not_empty,,,,,NEEDS_NEW_OP
analytics,oci.analytics.analytics_instance.monitoring_roles_least_privilege_required,monitoring_roles_least_privilege_required,item.analytics_instance.defined_tags,not_empty,,,,,NEEDS_NEW_OP
analytics,oci.analytics.analytics_instance.query_definition_access_rbac_least_privilege_required,query_definition_access_rbac_least_privilege_required,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.query_definition_storage_encrypted,query_definition_storage_encrypted,item.analytics_instance.kms_key_id,exists,,item.analytics_instance.kms_key_id,exists,,CORRECT
analytics,oci.analytics.analytics_instance.service_domains_access_control_enabled,service_domains_access_control_enabled,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.service_domains_audit_logging_enabled,service_domains_audit_logging_enabled,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.service_domains_cloudwatch_logging_enabled,service_domains_cloudwatch_logging_enabled,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.service_domains_encryption_enabled,service_domains_encryption_enabled,item.analytics_instance.kms_key_id,exists,,item.analytics_instance.kms_key_id,exists,,CORRECT
analytics,oci.analytics.analytics_instance.service_domains_fault_tolerant_data_nodes,service_domains_fault_tolerant_data_nodes,item.analytics_instance.defined_tags,not_empty,,item.analytics_instance.is_high_availability,equals,true,NEEDS_NEW_FIELD
analytics,oci.analytics.analytics_instance.service_domains_fault_tolerant_master_nodes,service_domains_fault_tolerant_master_nodes,item.analytics_instance.defined_tags,not_empty,,item.analytics_instance.is_high_availability,equals,true,NEEDS_NEW_FIELD
analytics,oci.analytics.analytics_instance.service_domains_internal_user_database_enabled,service_domains_internal_user_database_enabled,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.service_domains_monitoring_logging_enabled,service_domains_monitoring_logging_enabled,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.service_domains_node_to_encryption_enabled,service_domains_node_to_encryption_enabled,item.analytics_instance.kms_key_id,exists,,item.analytics_instance.kms_key_id,exists,,CORRECT
analytics,oci.analytics.analytics_instance.service_domains_public_access_blocked,service_domains_public_access_blocked,item.analytics_instance.network_endpoint_details,exists,,item.analytics_instance.network_endpoint_details,exists,,CORRECT
analytics,oci.analytics.analytics_instance.snapshot_cmk_policy_least_privilege_enabled,snapshot_cmk_policy_least_privilege_enabled,item.analytics_instance.kms_key_id,exists,,,,,MANUAL
analytics,oci.analytics.analytics_instance.snapshot_encrypted_at_rest_cmek,snapshot_encrypted_at_rest_cmek,item.analytics_instance.kms_key_id,exists,,item.analytics_instance.kms_key_id,exists,,CORRECT
analytics,oci.analytics.analytics_instance.snapshot_not_publicly_shared_blocked,snapshot_not_publicly_shared_blocked,item.analytics_instance.network_endpoint_details,exists,,item.analytics_instance.network_endpoint_details,exists,,CORRECT
analytics,oci.analytics.analytics_instance.subnet_group_private_subnets_only_enforced,subnet_group_private_subnets_only_enforced,item.analytics_instance.network_endpoint_details,exists,,item.analytics_instance.network_endpoint_details,exists,,CORRECT
analytics,oci.analytics.analytics_instance.table_cmk_encryption,table_cmk_encryption,item.analytics_instance.kms_key_id,exists,,item.analytics_instance.kms_key_id,exists,,CORRECT
analytics,oci.analytics.analytics_instance.traffic_analysis_alert_destinations_enabled,traffic_analysis_alert_destinations_enabled,item.analytics_instance.defined_tags,not_empty,,item.analytics_instance.destinations,not_empty,,NEEDS_NEW_FIELD
analytics,oci.analytics.analytics_instance.traffic_analysis_ids_ips_enabled,traffic_analysis_ids_ips_enabled,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.workgroup_allowed_data_sources_allowlist,workgroup_allowed_data_sources_allowlist,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.workgroup_encryption,workgroup_encryption,item.analytics_instance.kms_key_id,exists,,item.analytics_instance.kms_key_id,exists,,CORRECT
analytics,oci.analytics.analytics_instance.workgroup_logging_enabled,workgroup_logging_enabled,item.analytics_instance.defined_tags,not_empty,,,,,MANUAL
analytics,oci.analytics.analytics_instance.workgroup_network_access_private_restricted,workgroup_network_access_private_restricted,item.analytics_instance.network_endpoint_details,exists,,item.analytics_instance.network_endpoint_details,exists,,CORRECT
analytics,oci.analytics.analytics_instance.workgroup_query_result_encryption_enabled,workgroup_query_result_encryption_enabled,item.analytics_instance.kms_key_id,exists,,item.analytics_instance.kms_key_id,exists,,CORRECT
apigateway,oci.apigateway.api.api_endpoint_waf_attached,api_endpoint_waf_attached,item.defined_tags,not_empty,,,,,MANUAL
apigateway,oci.apigateway.api.api_key_rotation_policy_defined_required,api_key_rotation_policy_defined_required,item.time_created,exists,,,,,MANUAL
apigateway,oci.apigateway.api.api_key_scopes_least_privilege_required,api_key_scopes_least_privilege_required,item.defined_tags,not_empty,,,,,NEEDS_NEW_OP
apigateway,oci.apigateway.api.api_security_rate_limiting_quota_limit_configured,api_security_rate_limiting_quota_limit_configured,item.defined_tags,not_empty,,,,,MANUAL
apigateway,oci.apigateway.api.api_security_rate_limiting_stage_burst_limit_configured,api_security_rate_limiting_stage_burst_limit_configured,item.defined_tags,not_empty,,,,,MANUAL
apigateway,oci.apigateway.api.api_security_rate_limiting_stage_limit_configured,api_security_rate_limiting_stage_limit_configured,item.defined_tags,not_empty,,,,,MANUAL
apigateway,oci.apigateway.api.api_security_rate_limiting_stage_throttle_unbounded,api_security_rate_limiting_stage_throttle_unbounded,item.defined_tags,not_empty,,,,,MANUAL
apigateway,oci.apigateway.api.api_security_validation_request_body_size_limit_configured,api_security_validation_request_body_size_limit_configured,item.defined_tags,not_empty,,,,,MANUAL
apigateway,oci.apigateway.api.dev_endpoint_encrypted,dev_endpoint_encrypted,item.kms_key_id,exists,,item.kms_key_id,exists,,CORRECT
apigateway,oci.apigateway.api.stage_usage_plan_for_api_keys_required,stage_usage_plan_for_api_keys_required,item.defined_tags,not_empty,,,,,MANUAL
apigateway,oci.apigateway.certificate.certificate_enabled,certificate_enabled,item.defined_tags,not_empty,,item.status,equals,ACTIVE,NEEDS_NEW_FIELD
apigateway,oci.apigateway.gateway.api_access_logging_enabled,api_access_logging_enabled,item.audit_config,exists,,,,,MANUAL
apigateway,oci.apigateway.gateway.api_endpoint_authn_required,api_endpoint_authn_required,item.defined_tags,not_empty,,,,,MANUAL
apigateway,oci.apigateway.gateway.api_endpoint_authz_policies_enforced,api_endpoint_authz_policies_enforced,item.defined_tags,not_empty,,,,,MANUAL
apigateway,oci.apigateway.gateway.api_endpoint_private_networking_enforced,api_endpoint_private_networking_enforced,item,exists,,item.network_endpoint_details,exists,,NEEDS_NEW_FIELD
apigateway,oci.apigateway.gateway.api_key_expiration_required,api_key_expiration_required,item.defined_tags,not_empty,,,,,MANUAL
apigateway,oci.apigateway.gateway.api_security_rate_limiting_usage_plan_keys,api_security_rate_limiting_usage_plan_keys,item.defined_tags,not_empty,,,,,MANUAL
apigateway,oci.apigateway.gateway.api_security_validation_content_type_whitelist_enforced,api_security_validation_content_type_whitelist_enforced,item.defined_tags,not_empty,,,,,MANUAL
apigateway,oci.apigateway.gateway.api_security_validation_parameters_enabled,api_security_validation_parameters_enabled,item.defined_tags,not_empty,,item.status,equals,ACTIVE,NEEDS_NEW_FIELD
apigateway,oci.apigateway.gateway.api_security_validation_request_schema_enabled,api_security_validation_request_schema_enabled,item.defined_tags,not_empty,,item.status,equals,ACTIVE,NEEDS_NEW_FIELD
apigateway,oci.apigateway.gateway.api_security_validation_required_headers_enforced,api_security_validation_required_headers_enforced,item.defined_tags,not_empty,,,,,MANUAL
apigateway,oci.apigateway.gateway.api_security_validation_response_schema_enabled,api_security_validation_response_schema_enabled,item.defined_tags,not_empty,,item.status,equals,ACTIVE,NEEDS_NEW_FIELD
apigateway,oci.apigateway.gateway.authorizer_cache_ttl_configured,authorizer_cache_ttl_configured,item.defined_tags,not_empty,,,,,MANUAL
apigateway,oci.apigateway.gateway.authorizer_tls_min_1_2_enforced,authorizer_tls_min_1_2_enforced,item.defined_tags,not_empty,,,,,MANUAL
apigateway,oci.apigateway.gateway.authorizer_token_audience_restriction_enforced,authorizer_token_audience_restriction_enforced,item.defined_tags,not_empty,,,,,MANUAL
apigateway,oci.apigateway.gateway.dev_endpoint_no_public_access_blocked,dev_endpoint_no_public_access_blocked,item.public_access_type,not_equals,ObjectRead,item.network_endpoint_details,exists,,NEEDS_NEW_FIELD
apigateway,oci.apigateway.gateway.dev_endpoint_role_least_privilege_required,dev_endpoint_role_least_privilege_required,item.defined_tags,not_empty,,,,,NEEDS_NEW_OP
apigateway,oci.apigateway.gateway.field_level_logging_enabled,field_level_logging_enabled,item.audit_config,exists,,,,,MANUAL
apigateway,oci.apigateway.gateway.gateway_api_https_required,gateway_api_https_required,item.gateway_id,equals,True,,,,MANUAL
apigateway,oci.apigateway.gateway.gateway_authorization_enabled,gateway_authorization_enabled,item.gateway_id,equals,True,item.status,equals,ACTIVE,NEEDS_NEW_FIELD
apigateway,oci.apigateway.gateway.gateway_client_certificate_enabled,gateway_client_certificate_enabled,item.gateway_id,equals,True,item.status,equals,ACTIVE,NEEDS_NEW_FIELD
apigateway,oci.apigateway.gateway.gateway_restapi_client_certificate_enabled,gateway_restapi_client_certificate_enabled,item.gateway_id,equals,True,item.status,equals,ACTIVE,NEEDS_NEW_FIELD
apigateway,oci.apigateway.gateway.gateway_restapi_logging_enabled,gateway_restapi_logging_enabled,item.gateway_id,exists,,,,,MANUAL
apigateway,oci.apigateway.gateway.gateway_restapi_tracing_enabled,gateway_restapi_tracing_enabled,item.gateway_id,equals,True,item.status,equals,ACTIVE,NEEDS_NEW_FIELD
apigateway,oci.apigateway.gateway.gateway_restapi_waf_acl_attached,gateway_restapi_waf_acl_attached,item.gateway_id,equals,True,,,,MANUAL
apigateway,oci.apigateway.gateway.restapi_cache_encrypted,restapi_cache_encrypted,item.kms_key_id,exists,,item.kms_key_id,exists,,CORRECT
