csp,rule_id,python_client,check_client,implementable,severity,is_duplicate,canonical_rule_id
aws,aws.accessanalyzer.resource.access_analyzer_enabled,boto3.accessanalyzer,boto3.accessanalyzer,SCAN_ABLE,medium,False,
aws,aws.accessanalyzer.resource.access_analyzer_enabled_without_findings,boto3.accessanalyzer,boto3.accessanalyzer,SCAN_ABLE,medium,False,
aws,aws.account.contact.current_details_configured,boto3.account,boto3.account,SCAN_ABLE,medium,False,
aws,aws.account.contact.details_separate_security_billing_operations_configured,boto3.account,boto3.account,SCAN_ABLE,medium,False,
aws,aws.account.resource.security_contact_complete,boto3.account,boto3.account,SCAN_ABLE,medium,False,
aws,aws.account.resource.security_contact_configured,boto3.account,boto3.account,SCAN_ABLE,medium,False,
aws,aws.account.security.contact_information_configured,boto3.account,boto3.account,SCAN_ABLE,medium,False,
aws,aws.acm.certificate.expiration_monitored,boto3.acm,boto3.acm,SCAN_ABLE,medium,False,
aws,aws.acm.certificate.key_length_minimum,boto3.acm,boto3.acm,SCAN_ABLE,medium,False,
aws,aws.acm.certificate.mtls_required_for_internal_services_if_supported,boto3.acm,boto3.acm,SCAN_ABLE,high,False,
aws,aws.acm.certificate.tls_min_1_2_enforced,boto3.acm,boto3.acm,SCAN_ABLE,high,False,
aws,aws.acm.certificate.trusted_issuer_verified,boto3.acm,boto3.acm,SCAN_ABLE,medium,False,
aws,aws.acm.certificate.valid,boto3.acm,boto3.acm,SCAN_ABLE,medium,False,
aws,aws.acm.certificates.certificate_expiration_monitored,boto3.acm,boto3.acm,SCAN_ABLE,medium,False,
aws,aws.acm.privateca.ca_access_rbac_least_privilege,boto3.acm,boto3.acm,SCAN_ABLE,high,False,
aws,aws.acm.privateca.ca_certificate_crl_or_ocsp_configured,boto3.acm,boto3.acm,SCAN_ABLE,medium,False,
aws,aws.acm.privateca.ca_certificate_path_length_constraints_configured,boto3.acm,boto3.acm,SCAN_ABLE,medium,False,
aws,aws.acm.privateca.ca_certificate_trusted_issuer_verified,boto3.acm,boto3.acm,SCAN_ABLE,medium,False,
aws,aws.acm.privateca.ca_certificate_valid,boto3.acm,boto3.acm,SCAN_ABLE,medium,False,
aws,aws.acm.privateca.ca_key_in_hsm_enabled_if_supported,boto3.acm,boto3.acm,SCAN_ABLE,medium,False,
aws,aws.acm.privateca.key_length_minimum,boto3.acm,boto3.acm,SCAN_ABLE,medium,False,
aws,aws.acm-pca.certificateauthority.cloudwatch_audit_logging,boto3.acm-pca,boto3.acm-pca,SCAN_ABLE,high,False,
aws,aws.acm-pca.certificateauthority.enabled_and_active,boto3.acm-pca,boto3.acm-pca,SCAN_ABLE,high,False,
aws,aws.acm-pca.certificateauthority.revocation_configured,boto3.acm-pca,boto3.acm-pca,SCAN_ABLE,high,False,
aws,aws.apigateway.apikey.key_expiration_required,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.authorizer.api_token_audience_restricted,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.authorizer.cache_ttl_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.authorizer.tls_min_1_2_enforced,boto3.apigateway,boto3.apigateway,SCAN_ABLE,high,False,
aws,aws.apigateway.certificate.certificate_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.requestvalidator.api_parameters_validation_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.requestvalidator.api_request_schema_validation_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE,high,False,
aws,aws.apigateway.resource.api_gateway_https_required,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.resource.api_resource_attached_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.resource.authorization_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.resource.restapi_cache_encrypted,boto3.apigateway,boto3.apigateway,SCAN_ABLE,high,False,
aws,aws.apigateway.resource.restapi_logging_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.restapi.authn_required,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.restapi.authz_policies_enforced,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.restapi.logging_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE,low,False,
aws,aws.apigateway.restapi.private_networking_enforced,boto3.apigateway,boto3.apigateway,SCAN_ABLE,high,False,
aws,aws.apigateway.restapi.public_access_restricted,boto3.apigateway,boto3.apigateway,SCAN_ABLE,high,False,
aws,aws.apigateway.restapi.tracing_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.restapi.waf_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.stage.api_access_log_fields_identity_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.stage.api_access_log_sink_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.stage.api_access_logging_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE,high,False,
aws,aws.apigateway.stage.logging_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE,high,False,
aws,aws.apigateway.stage.throttling_enabled,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.stage.usage_plan_for_api_keys_required,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.throttle.api_quota_limit_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.throttle.api_stage_burst_limit_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.throttle.api_stage_overrides_bounded,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.throttle.api_stage_rate_limit_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.throttle.api_usage_plan_for_keys_required,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.usageplan.api_keys_required,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.usageplan.api_quota_limit_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.usageplan.api_quota_limits_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.usageplan.api_rate_limits_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
aws,aws.apigateway.usageplan.api_stage_burst_limit_configured,boto3.apigateway,boto3.apigateway,SCAN_ABLE,medium,False,
