csv_rule_id,yaml_rule_id,match_type,service,status
alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_authn_required,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_authn_required,no_match,PAI-EAS Endpoint,⚠️ Needs Review
alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_authz_policies_enforced,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_authz_policies_enforced,no_match,PAI-EAS Endpoint,⚠️ Needs Review
alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_private_networking_enforced,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_private_networking_enforced,no_match,PAI-EAS Endpoint,⚠️ Needs Review
alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_rate_limiting_enabled,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_rate_limiting_enabled,no_match,PAI-EAS Endpoint,⚠️ Needs Review
alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_waf_attached,alicloud.PAI-EAS Endpoint.ai_services_security_ai_endpoint_waf_attached,no_match,PAI-EAS Endpoint,⚠️ Needs Review
alicloud.PAI-EAS (Elastic Algorithm Service).ai_services_security_prompt_gateway_authn_required,alicloud.PAI-EAS (Elastic Algorithm Service).ai_services_security_prompt_gateway_authn_required,no_match,PAI-EAS (Elastic Algorithm Service),⚠️ Needs Review
alicloud.PAI-EAS (Elastic Algorithm Service).ai_services_security_prompt_gateway_private_networking_enforced,alicloud.PAI-EAS (Elastic Algorithm Service).ai_services_security_prompt_gateway_private_networking_enforced,no_match,PAI-EAS (Elastic Algorithm Service),⚠️ Needs Review
alicloud.PAI-EAS (Elastic Algorithm Service).ai_services_security_prompt_gateway_token_scopes_least_privilege,alicloud.PAI-EAS (Elastic Algorithm Service).ai_services_security_prompt_gateway_token_scopes_least_privilege,no_match,PAI-EAS (Elastic Algorithm Service),⚠️ Needs Review
alicloud.PAI - Feature Store.ai_services_security_vector_index_authn_required,alicloud.PAI - Feature Store.ai_services_security_vector_index_authn_required,no_match,PAI - Feature Store,⚠️ Needs Review
alicloud.PAI - Feature Store.ai_services_security_vector_index_rbac_tenant_isolation_enforced,alicloud.PAI - Feature Store.ai_services_security_vector_index_rbac_tenant_isolation_enforced,no_match,PAI - Feature Store,⚠️ Needs Review
alicloud.PAI - Feature Store.ai_services_security_vector_index_private_networking_enforced,alicloud.PAI - Feature Store.ai_services_security_vector_index_private_networking_enforced,no_match,PAI - Feature Store,⚠️ Needs Review
alicloud.PAI - Feature Store.ai_services_security_vector_index_encrypted_at_rest_cmek,alicloud.PAI - Feature Store.ai_services_security_vector_index_encrypted_at_rest_cmek,no_match,PAI - Feature Store,⚠️ Needs Review
alicloud.PAI - Training.ai_services_security_training_pipeline_private_networking_enforced,alicloud.PAI - Training.ai_services_security_training_pipeline_private_networking_enforced,no_match,PAI - Training,⚠️ Needs Review
alicloud.PAI - Training.ai_services_security_training_pipeline_secrets_from_vault_only,alicloud.PAI - Training.ai_services_security_training_pipeline_secrets_from_vault_only,no_match,PAI - Training,⚠️ Needs Review
alicloud.ECS/E-HPC (as compute backends).ai_services_security_training_pipeline_private_networking_enforced,alicloud.ECS/E-HPC (as compute backends).ai_services_security_training_pipeline_private_networking_enforced,no_match,ECS/E-HPC (as compute backends),⚠️ Needs Review
alicloud.ECS/E-HPC (as compute backends).ai_services_security_training_pipeline_secrets_from_vault_only,alicloud.ECS/E-HPC (as compute backends).ai_services_security_training_pipeline_secrets_from_vault_only,no_match,ECS/E-HPC (as compute backends),⚠️ Needs Review
alicloud.DataWorks (Data Integration & Scheduling).ai_services_security_data_pipeline_access_controls_least_privilege,alicloud.DataWorks (Data Integration & Scheduling).ai_services_security_data_pipeline_access_controls_least_privilege,no_match,DataWorks (Data Integration & Scheduling),⚠️ Needs Review
alicloud.DataWorks (Data Integration & Scheduling).ai_services_security_data_pipeline_private_networking_enforced,alicloud.DataWorks (Data Integration & Scheduling).ai_services_security_data_pipeline_private_networking_enforced,no_match,DataWorks (Data Integration & Scheduling),⚠️ Needs Review
alicloud.PAI - Model Management.ai_services_security_model_registry_access_rbac_least_privilege,alicloud.PAI - Model Management.ai_services_security_model_registry_access_rbac_least_privilege,no_match,PAI - Model Management,⚠️ Needs Review
alicloud.PAI - Model Registry.ai_services_supply_chain_model_artifact_signed_and_verified,alicloud.PAI - Model Registry.ai_services_supply_chain_model_artifact_signed_and_verified,no_match,PAI - Model Registry,⚠️ Needs Review
alicloud.PAI - Model Registry.ai_services_supply_chain_model_artifact_sbom_present,alicloud.PAI - Model Registry.ai_services_supply_chain_model_artifact_sbom_present,no_match,PAI - Model Registry,⚠️ Needs Review
alicloud.PAI - Model Registry.ai_services_supply_chain_model_artifact_image_scanned_no_critical,alicloud.PAI - Model Registry.ai_services_supply_chain_model_artifact_image_scanned_no_critical,no_match,PAI - Model Registry,⚠️ Needs Review
alicloud.PAI - Model Registry.ai_services_security_model_artifact_encrypted_at_rest_cmek,alicloud.PAI - Model Registry.ai_services_security_model_artifact_encrypted_at_rest_cmek,no_match,PAI - Model Registry,⚠️ Needs Review
alicloud.PAI-DSW Workspace.ai_services_security_secrets_vault_kms_encryption_and_rotation_enabled,alicloud.PAI-DSW Workspace.ai_services_security_secrets_vault_kms_encryption_and_rotation_enabled,no_match,PAI-DSW Workspace,⚠️ Needs Review
alicloud.PAI-DSW Workspace.ai_services_security_secrets_vault_no_plaintext_secrets_in_config,alicloud.PAI-DSW Workspace.ai_services_security_secrets_vault_no_plaintext_secrets_in_config,no_match,PAI-DSW Workspace,⚠️ Needs Review
alicloud.PAI-DSW Workspace.ai_services_security_secrets_vault_access_rbac_least_privilege,alicloud.PAI-DSW Workspace.ai_services_security_secrets_vault_access_rbac_least_privilege,no_match,PAI-DSW Workspace,⚠️ Needs Review
alicloud.PAI - Feature Store.ai_services_security_feature_store_rbac_least_privilege,alicloud.PAI - Feature Store.ai_services_security_feature_store_rbac_least_privilege,no_match,PAI - Feature Store,⚠️ Needs Review
alicloud.PAI - Feature Store.ai_services_security_feature_store_private_networking_enforced,alicloud.PAI - Feature Store.ai_services_security_feature_store_private_networking_enforced,no_match,PAI - Feature Store,⚠️ Needs Review
alicloud.PAI - Pipelines.ai_services_security_agent_orchestrator_tool_use_allowlist_enforced,alicloud.PAI - Pipelines.ai_services_security_agent_orchestrator_tool_use_allowlist_enforced,no_match,PAI - Pipelines,⚠️ Needs Review
alicloud.PAI - Pipelines.ai_services_security_agent_orchestrator_secrets_isolation_enabled,alicloud.PAI - Pipelines.ai_services_security_agent_orchestrator_secrets_isolation_enabled,no_match,PAI - Pipelines,⚠️ Needs Review
alicloud.PAI - Pipelines.ai_services_security_agent_orchestrator_data_exfiltration_policies_enforced,alicloud.PAI - Pipelines.ai_services_security_agent_orchestrator_data_exfiltration_policies_enforced,no_match,PAI - Pipelines,⚠️ Needs Review
alicloud.PAI Dataset.ai_services_security_ai_dataset_encrypted_at_rest_cmek,alicloud.PAI Dataset.ai_services_security_ai_dataset_encrypted_at_rest_cmek,no_match,PAI Dataset,⚠️ Needs Review
alicloud.PAI Dataset.ai_services_security_ai_dataset_public_access_blocked,alicloud.PAI Dataset.ai_services_security_ai_dataset_public_access_blocked,no_match,PAI Dataset,⚠️ Needs Review
alicloud.OSS (datasets).ai_services_security_ai_dataset_encrypted_at_rest_cmek,alicloud.OSS (datasets).ai_services_security_ai_dataset_encrypted_at_rest_cmek,no_match,OSS (datasets),⚠️ Needs Review
alicloud.OSS (datasets).ai_services_security_ai_dataset_public_access_blocked,alicloud.OSS (datasets).ai_services_security_ai_dataset_public_access_blocked,no_match,OSS (datasets),⚠️ Needs Review
alicloud.NAS/CPFS.ai_services_security_ai_dataset_encrypted_at_rest_cmek,alicloud.NAS/CPFS.ai_services_security_ai_dataset_encrypted_at_rest_cmek,no_match,NAS/CPFS,⚠️ Needs Review
alicloud.NAS/CPFS.ai_services_security_ai_dataset_public_access_blocked,alicloud.NAS/CPFS.ai_services_security_ai_dataset_public_access_blocked,no_match,NAS/CPFS,⚠️ Needs Review
alicloud.CloudMonitor (CMS).api_security_monitoring_api_access_logging_enabled,alicloud.CloudMonitor (CMS).api_security_monitoring_api_access_logging_enabled,no_match,CloudMonitor (CMS),⚠️ Needs Review
alicloud.CloudMonitor (CMS).api_security_monitoring_api_access_log_sink_configured,alicloud.CloudMonitor (CMS).api_security_monitoring_api_access_log_sink_configured,no_match,CloudMonitor (CMS),⚠️ Needs Review
alicloud.CloudMonitor (CMS).api_security_monitoring_api_access_log_fields_identity_present,alicloud.CloudMonitor (CMS).api_security_monitoring_api_access_log_fields_identity_present,no_match,CloudMonitor (CMS),⚠️ Needs Review
alicloud.CloudMonitor (CMS).api_security_monitoring_api_execution_logging_level_minimum_error,alicloud.CloudMonitor (CMS).api_security_monitoring_api_execution_logging_level_minimum_error,no_match,CloudMonitor (CMS),⚠️ Needs Review
alicloud.CloudMonitor (CMS).api_security_monitoring_api_logs_retention_days_minimum,alicloud.CloudMonitor (CMS).api_security_monitoring_api_logs_retention_days_minimum,no_match,CloudMonitor (CMS),⚠️ Needs Review
alicloud.ARMS.api_security_monitoring_api_access_logging_enabled,alicloud.ARMS.api_security_monitoring_api_access_logging_enabled,no_match,ARMS,⚠️ Needs Review
alicloud.ARMS.api_security_monitoring_api_access_log_sink_configured,alicloud.ARMS.api_security_monitoring_api_access_log_sink_configured,no_match,ARMS,⚠️ Needs Review
alicloud.ARMS.api_security_monitoring_api_access_log_fields_identity_present,alicloud.ARMS.api_security_monitoring_api_access_log_fields_identity_present,no_match,ARMS,⚠️ Needs Review
alicloud.ARMS.api_security_monitoring_api_execution_logging_level_minimum_error,alicloud.ARMS.api_security_monitoring_api_execution_logging_level_minimum_error,no_match,ARMS,⚠️ Needs Review
alicloud.ARMS.api_security_monitoring_api_logs_retention_days_minimum,alicloud.ARMS.api_security_monitoring_api_logs_retention_days_minimum,no_match,ARMS,⚠️ Needs Review
alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_stage_burst_limit_configured,alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_stage_burst_limit_configured,no_match,API Gateway (throttling/quotas),⚠️ Needs Review
alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_stage_rate_limit_configured,alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_stage_rate_limit_configured,no_match,API Gateway (throttling/quotas),⚠️ Needs Review
alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_usage_plan_required_for_api_keys,alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_usage_plan_required_for_api_keys,no_match,API Gateway (throttling/quotas),⚠️ Needs Review
alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_quota_limit_configured,alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_quota_limit_configured,no_match,API Gateway (throttling/quotas),⚠️ Needs Review
alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_stage_throttle_overrides_not_unbounded,alicloud.API Gateway (throttling/quotas).api_security_rate_limiting_api_stage_throttle_overrides_not_unbounded,no_match,API Gateway (throttling/quotas),⚠️ Needs Review
alicloud.API Gateway (request/response schema validation).api_security_validation_api_request_schema_validation_enabled,alicloud.API Gateway (request/response schema validation).api_security_validation_api_request_schema_validation_enabled,no_match,API Gateway (request/response schema validation),⚠️ Needs Review
alicloud.API Gateway (request/response schema validation).api_security_validation_api_response_schema_validation_enabled,alicloud.API Gateway (request/response schema validation).api_security_validation_api_response_schema_validation_enabled,no_match,API Gateway (request/response schema validation),⚠️ Needs Review
alicloud.API Gateway (request/response schema validation).api_security_validation_api_parameters_validation_enabled,alicloud.API Gateway (request/response schema validation).api_security_validation_api_parameters_validation_enabled,no_match,API Gateway (request/response schema validation),⚠️ Needs Review
alicloud.API Gateway (request/response schema validation).api_security_validation_api_content_type_whitelist_enforced,alicloud.API Gateway (request/response schema validation).api_security_validation_api_content_type_whitelist_enforced,no_match,API Gateway (request/response schema validation),⚠️ Needs Review
alicloud.API Gateway (request/response schema validation).api_security_validation_api_request_body_size_limit_configured,alicloud.API Gateway (request/response schema validation).api_security_validation_api_request_body_size_limit_configured,no_match,API Gateway (request/response schema validation),⚠️ Needs Review
alicloud.API Gateway (request/response schema validation).api_security_validation_api_required_security_headers_enforced,alicloud.API Gateway (request/response schema validation).api_security_validation_api_required_security_headers_enforced,no_match,API Gateway (request/response schema validation),⚠️ Needs Review
alicloud.HBR Backup Plan.resilience_recovery_backup_coverage_policy_assignment_complete,alicloud.HBR Backup Plan.resilience_recovery_backup_coverage_policy_assignment_complete,no_match,HBR Backup Plan,⚠️ Needs Review
alicloud.HBR Backup Plan.resilience_recovery_backup_coverage_unprotected_assets_alerting_enabled,alicloud.HBR Backup Plan.resilience_recovery_backup_coverage_unprotected_assets_alerting_enabled,no_match,HBR Backup Plan,⚠️ Needs Review
alicloud.HBR Backup Plan.resilience_recovery_backup_health_job_success_rate_minimum,alicloud.HBR Backup Plan.resilience_recovery_backup_health_job_success_rate_minimum,no_match,HBR Backup Plan,⚠️ Needs Review
alicloud.HBR Backup Plan.resilience_recovery_backup_health_last_backup_recency_within_days,alicloud.HBR Backup Plan.resilience_recovery_backup_health_last_backup_recency_within_days,no_match,HBR Backup Plan,⚠️ Needs Review
alicloud.HBR Backup Plan.resilience_recovery_backup_health_failed_jobs_alerting_enabled,alicloud.HBR Backup Plan.resilience_recovery_backup_health_failed_jobs_alerting_enabled,no_match,HBR Backup Plan,⚠️ Needs Review
alicloud.HBR Backup Plan.resilience_recovery_backup_inventory_resource_discovery_synced,alicloud.HBR Backup Plan.resilience_recovery_backup_inventory_resource_discovery_synced,no_match,HBR Backup Plan,⚠️ Needs Review
alicloud.Hybrid Backup Recovery (HBR) Job.backup_security_monitoring_alert_rules_for_job_failures_configured,alicloud.Hybrid Backup Recovery (HBR) Job.backup_security_monitoring_alert_rules_for_job_failures_configured,no_match,Hybrid Backup Recovery (HBR) Job,⚠️ Needs Review
alicloud.Hybrid Backup Recovery (HBR) Job.backup_security_monitoring_alert_rules_for_sla_breach_configured,alicloud.Hybrid Backup Recovery (HBR) Job.backup_security_monitoring_alert_rules_for_sla_breach_configured,no_match,Hybrid Backup Recovery (HBR) Job,⚠️ Needs Review
alicloud.Hybrid Backup Recovery (HBR) Job.backup_security_monitoring_alert_destinations_configured,alicloud.Hybrid Backup Recovery (HBR) Job.backup_security_monitoring_alert_destinations_configured,no_match,Hybrid Backup Recovery (HBR) Job,⚠️ Needs Review
alicloud.Hybrid Backup Recovery (HBR) Job.backup_security_monitoring_metrics_export_enabled,alicloud.Hybrid Backup Recovery (HBR) Job.backup_security_monitoring_metrics_export_enabled,no_match,Hybrid Backup Recovery (HBR) Job,⚠️ Needs Review
alicloud.HBR Backup Plan.backup_security_access_backup_vault_rbac_least_privilege,alicloud.HBR Backup Plan.backup_security_access_backup_vault_rbac_least_privilege,no_match,HBR Backup Plan,⚠️ Needs Review
alicloud.HBR Backup Plan.backup_security_access_no_public_access_to_backup_vault,alicloud.HBR Backup Plan.backup_security_access_no_public_access_to_backup_vault,no_match,HBR Backup Plan,⚠️ Needs Review
alicloud.HBR Backup Plan.backup_security_access_backup_admins_mfa_required,alicloud.HBR Backup Plan.backup_security_access_backup_admins_mfa_required,no_match,HBR Backup Plan,⚠️ Needs Review
alicloud.HBR Backup Plan.backup_security_access_backup_keys_access_least_privilege,alicloud.HBR Backup Plan.backup_security_access_backup_keys_access_least_privilege,no_match,HBR Backup Plan,⚠️ Needs Review
alicloud.HBR Vault.backup_security_encryption_encryption_at_rest_enabled,alicloud.HBR Vault.backup_security_encryption_encryption_at_rest_enabled,no_match,HBR Vault,⚠️ Needs Review
alicloud.HBR Vault.backup_security_encryption_encryption_in_transit_tls_min_1_2,alicloud.HBR Vault.backup_security_encryption_encryption_in_transit_tls_min_1_2,no_match,HBR Vault,⚠️ Needs Review
alicloud.HBR Vault.backup_security_encryption_cmk_cmek_key_configured,alicloud.HBR Vault.backup_security_encryption_cmk_cmek_key_configured,no_match,HBR Vault,⚠️ Needs Review
alicloud.HBR Vault.backup_security_encryption_key_policy_least_privilege,alicloud.HBR Vault.backup_security_encryption_key_policy_least_privilege,no_match,HBR Vault,⚠️ Needs Review
alicloud.HBR Vault.backup_security_encryption_backup_storage_immutability_enabled,alicloud.HBR Vault.backup_security_encryption_backup_storage_immutability_enabled,no_match,HBR Vault,⚠️ Needs Review
alicloud.Elastic Compute Service (ECS).compute_security_vm_ssh_password_auth_disabled,alicloud.Elastic Compute Service (ECS).compute_security_vm_ssh_password_auth_disabled,no_match,Elastic Compute Service (ECS),⚠️ Needs Review
alicloud.Elastic Compute Service (ECS).compute_security_vm_ssh_key_based_auth_required,alicloud.Elastic Compute Service (ECS).compute_security_vm_ssh_key_based_auth_required,no_match,Elastic Compute Service (ECS),⚠️ Needs Review
alicloud.Elastic Compute Service (ECS).compute_security_vm_imds_hardened,alicloud.Elastic Compute Service (ECS).compute_security_vm_imds_hardened,no_match,Elastic Compute Service (ECS),⚠️ Needs Review
alicloud.Elastic Compute Service (ECS).compute_security_vm_no_public_ip_assigned,alicloud.Elastic Compute Service (ECS).compute_security_vm_no_public_ip_assigned,no_match,Elastic Compute Service (ECS),⚠️ Needs Review
alicloud.Elastic Compute Service (ECS).compute_security_vm_security_group_inbound_restricted,alicloud.Elastic Compute Service (ECS).compute_security_vm_security_group_inbound_restricted,no_match,Elastic Compute Service (ECS),⚠️ Needs Review
alicloud.Elastic Compute Service (ECS).compute_security_vm_root_volume_encrypted_cmek,alicloud.Elastic Compute Service (ECS).compute_security_vm_root_volume_encrypted_cmek,no_match,Elastic Compute Service (ECS),⚠️ Needs Review
alicloud.Elastic Compute Service (ECS).compute_security_vm_data_volumes_encrypted_cmek,alicloud.Elastic Compute Service (ECS).compute_security_vm_data_volumes_encrypted_cmek,no_match,Elastic Compute Service (ECS),⚠️ Needs Review
alicloud.Elastic Compute Service (ECS).compute_security_vm_secure_boot_enabled,alicloud.Elastic Compute Service (ECS).compute_security_vm_secure_boot_enabled,no_match,Elastic Compute Service (ECS),⚠️ Needs Review
alicloud.Elastic Compute Service (ECS).compute_security_vm_vtpm_enabled,alicloud.Elastic Compute Service (ECS).compute_security_vm_vtpm_enabled,no_match,Elastic Compute Service (ECS),⚠️ Needs Review
alicloud.Elastic Compute Service (ECS).compute_security_vm_serial_console_access_restricted,alicloud.Elastic Compute Service (ECS).compute_security_vm_serial_console_access_restricted,no_match,Elastic Compute Service (ECS),⚠️ Needs Review
alicloud.Elastic Compute Service (ECS).compute_security_vm_user_data_no_secrets,alicloud.Elastic Compute Service (ECS).compute_security_vm_user_data_no_secrets,no_match,Elastic Compute Service (ECS),⚠️ Needs Review
alicloud.ECS Disk (ESSD/SSD/HDD).compute_security_disk_encryption_at_rest_enabled,alicloud.ECS Disk (ESSD/SSD/HDD).compute_security_disk_encryption_at_rest_enabled,no_match,ECS Disk (ESSD/SSD/HDD),⚠️ Needs Review
alicloud.ECS Disk (ESSD/SSD/HDD).compute_security_disk_cmk_cmek_configured,alicloud.ECS Disk (ESSD/SSD/HDD).compute_security_disk_cmk_cmek_configured,no_match,ECS Disk (ESSD/SSD/HDD),⚠️ Needs Review
alicloud.ECS Disk (ESSD/SSD/HDD).compute_security_disk_snapshots_encrypted,alicloud.ECS Disk (ESSD/SSD/HDD).compute_security_disk_snapshots_encrypted,no_match,ECS Disk (ESSD/SSD/HDD),⚠️ Needs Review
alicloud.ECS Disk (ESSD/SSD/HDD).compute_security_disk_snapshots_not_public,alicloud.ECS Disk (ESSD/SSD/HDD).compute_security_disk_snapshots_not_public,no_match,ECS Disk (ESSD/SSD/HDD),⚠️ Needs Review
alicloud.ECS Custom Image.compute_security_image_approved_image_allowlist_enforced,alicloud.ECS Custom Image.compute_security_image_approved_image_allowlist_enforced,no_match,ECS Custom Image,⚠️ Needs Review
alicloud.ECS Custom Image.compute_security_image_image_signed_and_verified,alicloud.ECS Custom Image.compute_security_image_image_signed_and_verified,no_match,ECS Custom Image,⚠️ Needs Review
