unique_compliance_id,technology,compliance_framework,framework_id,framework_version,requirement_id,requirement_name,requirement_description,section,service,total_checks,alicloud_checks,alicloud_uniform_format
canada_pbmm_moderate_multi_cloud_CCCS_AC-1_0001,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-1,CCCS AC-1: Policy and Procedures,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AC-2_0002,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-2,CCCS AC-2: Account Management,,CCCS,IAM,15,alicloud_ram_user_accesskey_unused; alicloud_ram_user_console_access_unused,alicloud.ram.user.accesskey_unused_90_days; alicloud.ram.user.console_access_unused_90_days
canada_pbmm_moderate_multi_cloud_CCCS_AC-3_0003,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-3,CCCS AC-3: Access Enforcement,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AC-4_0004,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-4,CCCS AC-4: Information Flow Enforcement,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AC-5_0005,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-5,CCCS AC-5: Separation of Duties,,CCCS,IAM,9,alicloud_ram_policy_no_administrative_privileges,alicloud.ram.policy.no_administrative_privileges_enforced
canada_pbmm_moderate_multi_cloud_CCCS_AC-6_0006,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-6,CCCS AC-6: Least Privilege,,CCCS,IAM,21,alicloud_ram_policy_no_administrative_privileges; alicloud_ram_policy_overly_permissive; alicloud_ram_role_least_privilege,alicloud.ram.policy.no_administrative_privileges_enforced; alicloud.ram.policy.least_privilege_enforced; alicloud.ram.role.least_privilege_enforced
canada_pbmm_moderate_multi_cloud_CCCS_AC-7_0007,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-7,CCCS AC-7: Unsuccessful Logon Attempts,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AC-8_0008,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-8,CCCS AC-8: System Use Notification,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AC-10_0009,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-10,CCCS AC-10: Concurrent Session Control,,CCCS,,0,,
canada_pbmm_moderate_multi_cloud_CCCS_AC-11_0010,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-11,CCCS AC-11: Device Lock,,CCCS,,0,,
