unique_compliance_id,framework,framework_version,control_id,section,title,description,automation_type,severity,source_file,aws_checks,aws_ciem_checks,azure_checks,azure_ciem_checks,gcp_checks,gcp_ciem_checks,oracle_checks,oracle_ciem_checks,ibm_checks,ibm_ciem_checks,alicloud_checks,alicloud_ciem_checks,k8s_checks,k8s_ciem_checks,has_any_mapped_rule,automated_without_rule
canada_pbmm_moderate_CCCS_AC_1,CANADA_PBMM,Moderate,CCCS AC-1,,CCCS AC-1: Policy and Procedures,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AC_10,CANADA_PBMM,Moderate,CCCS AC-10,,CCCS AC-10: Concurrent Session Control,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AC_11,CANADA_PBMM,Moderate,CCCS AC-11,,CCCS AC-11: Device Lock,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AC_12,CANADA_PBMM,Moderate,CCCS AC-12,,CCCS AC-12: Session Termination,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AC_14,CANADA_PBMM,Moderate,CCCS AC-14,,CCCS AC-14: Permitted Actions Without Identification or Authentication,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AC_17,CANADA_PBMM,Moderate,CCCS AC-17,,CCCS AC-17: Remote Access,,automated,CRITICAL,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,aws.ec2.ebs.public_snapshot_configured+aws.ec2.instance.no_public_ip_configured+aws.emr.cluster.master_nodes_no_public_ip_configured+aws.lambda.function.not_publicly_accessible_configured+aws.lambda.function.url_public_configured+aws.rds.instance.no_public_access_configured+aws.rds.snapshots.public_access_configured+aws.redshift.cluster.public_access_configured+aws.s3.bucket.public_access_configured+aws.s3.bucket.policy_public_write_access_configured,,azure.compute.disk.snapshots_not_public+azure.compute.virtual_machine.vm_no_public_ip_assigned+azure.hdinsight.cluster.master_nodes_no_public_ip+azure.function.app.function_url_authentication+azure.functions.app.url_public+azure.sql.database.no_public_access+azure.sql.database.snapshots_public_access+azure.synapse.cluster.public_access+azure.storage.account.network.access.public.disabled+azure.storage.account.public.network.access.disabled+azure.storage.account.data_protection_bucket_policy_no_public_principals,,gcp.compute.disk.disk_snapshots_not_public+gcp.compute.instance.instance_no_public_ip_unless_required+gcp.dataproc.cluster.cluster_private_networking_enforced+gcp.data_access.public_object_access+gcp.sql.instance.instance_public_access_disabled+gcp.sql.database_instance.db_public_access_disabled+gcp.bigquery.audit.public_query+gcp.storage.bucket.bucket_block_public_access_enabled+gcp.cloudfunctions.function.not_publicly_accessible_enforced,,oci.compute.ebs.public_snapshot+oci.compute.instance.instance_no_public_ip+oci.bds.bds_instance.cluster_master_nodes_no_public_ip+oci.functions.application.function_public_access_blocked+oci.functions.application.function_restrict_public_access+oci.functions.application.function_url_public+oci.database.instance.no_public_access+oci.database.autonomous_database.snapshots_public_access+oci.database.autonomous_database.dw_cluster_public_access+oci.object_storage.bucket.bucket_public_access+oci.object_storage.bucket.storage_bucket_policy_public_write_access,,ibm.vpc.instance.no_public_ip_address+ibm.object_storage.bucket.no_public_access+ibm.databases.deployment.private_endpoint_only+ibm.databases.deployment.ip_allowlist_configured+ibm.containers.cluster.public_endpoint_disabled+ibm.cos.activity.bucket_created_public+ibm.vsi.block_storage.public_snapshot_enabled+ibm.functions.function.not_publicly_accessible_enforced,,alicloud.ecs.ebs.public_snapshot+alicloud.ecs.instance.no_public_ip_assigned+alicloud.emr.cluster.master_nodes_public_ip_disabled+alicloud.fc.compute.function_not_publicly_accessible+alicloud.fc.compute.function_url_public+alicloud.apsaradb.rds_instance.instance_public_access_disabled+alicloud.analyticdb.cluster.public_access+alicloud.actiontrail.oss_bucket_public_access_blocked.configured+alicloud.general.bucket.public_access_detected,,,,yes,no
canada_pbmm_moderate_CCCS_AC_18,CANADA_PBMM,Moderate,CCCS AC-18,,CCCS AC-18: Wireless Access,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AC_19,CANADA_PBMM,Moderate,CCCS AC-19,,CCCS AC-19: Access Control for Mobile Devices,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AC_2,CANADA_PBMM,Moderate,CCCS AC-2,,CCCS AC-2: Account Management,,automated,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,aws.iam.user.accesskey_unused_configured+aws.iam.user.console_access_unused_configured,,azure.aad.user.access_user_in90_days_disabled+azure.entra.user.unused_credentials_configured,,gcp.iam.service_account.service_account_no_user_managed_long_lived_keys+gcp.cloudidentity.user.user_console_password_present_only_if_required,,oci.identity.user.user_accesskey_unused+oci.identity.user.user_console_access_unused,,ibm.iam.user.unused_credentials_configured,,alicloud.ram.user.unused_credentials_configured+alicloud.ram.user.console_access_unused_disabled,,,,yes,no
canada_pbmm_moderate_CCCS_AC_20,CANADA_PBMM,Moderate,CCCS AC-20,,CCCS AC-20: Use of External Systems,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,aws.iam.role.trust_external_id_or_audience_required+aws.iam.resource.access_analyzer_external_all_regions_configured,,azure.authorization.role_assignment.external_tenants_configured+azure.iam.role.least_privilege_enforced,,gcp.iam.policy_binding.external_principals_configured,,oci.identity.policy.statements.external_entities,,ibm.iam.authorization_policy.external_principals_configured,,alicloud.ram.policy.external_entities_configured,,k8s.rbac.rolebinding.external_subjects_configured,,no,no
canada_pbmm_moderate_CCCS_AC_21,CANADA_PBMM,Moderate,CCCS AC-21,,CCCS AC-21: Information Sharing,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AC_22,CANADA_PBMM,Moderate,CCCS AC-22,,CCCS AC-22: Publicly Accessible Content,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AC_3,CANADA_PBMM,Moderate,CCCS AC-3,,CCCS AC-3: Access Enforcement,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AC_4,CANADA_PBMM,Moderate,CCCS AC-4,,CCCS AC-4: Information Flow Enforcement,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AC_5,CANADA_PBMM,Moderate,CCCS AC-5,,CCCS AC-5: Separation of Duties,,automated,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,aws.iam.aws.attached_policy_no_administrative_privileges_configured+aws.iam.customer.attached_policy_no_administrative_privileges_configured+aws.iam.inline.policy_no_administrative_privileges_configured,,,,gcp.iam.policy.rbac_policy_no_action_star_on_resource_star+gcp.iam.role.role_no_inline_policies,,oci.identity.user.aws_attached_policy_no_administrative_privileges+oci.identity.user.customer_attached_policy_no_administrative_privileges+oci.identity.user.inline_policy_no_administrative_privileges,,ibm.iam_policy_management.policy.no_wildcard_actions+ibm.iam.sa.no_administrative_privileges_enforced,,alicloud.ram.policy.overly_permissive_configured,,,,yes,no
canada_pbmm_moderate_CCCS_AC_6,CANADA_PBMM,Moderate,CCCS AC-6,,CCCS AC-6: Least Privilege,,automated,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,aws.iam.policy.no_administrative_privileges_configured+aws.iam.role.least_privilege+aws.iam.policy.overly_permissive_configured,,azure.aad.directory_tenant.access_tenant_password_policy_compliant+azure.ad.role.least_privilege,,gcp.iam.policy.rbac_policy_no_action_star_on_resource_star+gcp.iam.service_account.instance_profile_role_policies_least_privilege,,oci.identity.user.oracle_attached_policy_no_administrative_privileges+oci.identity.user.role_least_privilege_required+oci.identity.user.policy_overly_permissive,,ibm.iam.activity.policy_created+ibm.iam.activity.policy_change+ibm.iam_policy_management.policy.no_wildcard_actions+ibm.iam.role.least_privilege_enforced,,alicloud.ecs.ram_role.instance_profile_role_policies_least_privilege+alicloud.ram.policy.overly_permissive_configured,,,,yes,no
canada_pbmm_moderate_CCCS_AC_7,CANADA_PBMM,Moderate,CCCS AC-7,,CCCS AC-7: Unsuccessful Logon Attempts,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AC_8,CANADA_PBMM,Moderate,CCCS AC-8,,CCCS AC-8: System Use Notification,,manual,HIGH,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
canada_pbmm_moderate_CCCS_AT_1,CANADA_PBMM,Moderate,CCCS AT-1,,CCCS AT-1: Policy and Procedures,,manual,LOW,canada_pbmm/CANADA_PBMM_controls_with_checks.csv,,,,,,,,,,,,,,,no,no
