rule_id,current_var,proposed_var,changed
alicloud.accessanalyzer.enabled.configured,logging_enabled equals + permissions not_contains,status equals Active,YES
alicloud.accessanalyzer.enabled.without_findings,logging_enabled equals true,status equals Active,YES
alicloud.ack.addon.addon_no_privileged_permissions,permissions not_contains *,permissions not_contains *,no
alicloud.ack.admission_webhook.admission_host_namespace_usage_denied,id exists ,permissions not_contains *,YES
alicloud.ack.admission_webhook.admission_image_registry_allowlist_enforced,id exists ,permissions not_contains *,YES
alicloud.ack.admission_webhook.admission_image_signature_verification_enabled,id exists ,status equals Active,YES
alicloud.ack.admission_webhook.admission_pod_security_admission_restricted_default,permissions not_contains *,permissions not_contains *,no
alicloud.ack.admission_webhook.admission_privilege_escalation_denied,id exists ,permissions not_contains *,YES
alicloud.ack.backup.encryption_enabled,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,no
alicloud.ack.certificates.expiration_check,id exists ,status equals Active,YES
alicloud.ack.certificates.not_expired_and_valid,id exists ,status equals Active,YES
alicloud.ack.cluster.approved_container_registries_enforced,id exists ,permissions not_contains *,YES
alicloud.ack.cluster.audit_logging_remote_enforced,logging_enabled equals true,logging_enabled equals true,no
alicloud.ack.cluster.basic_auth_disabled_enforced,id exists ,permissions not_contains *,YES
alicloud.ack.cluster.cloud_monitoring_enabled,logging_enabled equals true,status equals Active,YES
alicloud.ack.cluster.control_plane_private_access_ip_allowlist_enforced,id exists ,internet_facing not_equals true,YES
alicloud.ack.cluster.dashboard_access_restricted,permissions not_contains *,permissions not_contains *,no
alicloud.ack.cluster.endpoint_private_access_enforced,id exists ,internet_facing not_equals true,YES
alicloud.ack.cluster.kms_cmk_encryption_for_secrets_enabled,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,no
alicloud.ack.cluster.kms_cmk_encryption_in_secrets_enabled,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,no
alicloud.ack.cluster.logging_service_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.ack.cluster.network_plugin_terway_compliance_enforced,id exists ,status equals Active,YES
alicloud.ack.cluster.network_policy_enforced,id exists ,security_group_rules not_contains 0.0.0.0/0,YES
alicloud.ack.cluster.nodes_private_ip_required,id exists ,public_ip_address not_exists ,YES
alicloud.ack.cluster.not_publicly_accessible,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,no
alicloud.ack.cluster.pod_security_policy_compliance_enforced,id exists ,permissions not_contains *,YES
alicloud.ack.cluster.private_access_enforced,id exists ,internet_facing not_equals true,YES
alicloud.ack.cluster.private_nodes_only,id exists ,internet_facing not_equals true,YES
alicloud.ack.cluster.public_access_blocked,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,no
alicloud.ack.cluster.rbac_authorization_enforced,id exists ,permissions not_contains *,YES
alicloud.ack.cluster.rbac_permissions_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.ack.cluster.secret_encryption_kms_enforced,encrypted equals true,encrypted equals true,no
alicloud.ack.cluster.uses_latest_supported_version,id exists ,status equals Active,YES
alicloud.ack.cluster.weekly_health_checks_enabled,logging_enabled equals true,status equals Active,YES
alicloud.ack.configuration_management.parameter_access_rbac_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.ack.configuration_management.parameter_kms_key_configured,encrypted equals true,encrypted equals true,no
alicloud.ack.configuration_management.parameter_secure_string_type_for_sensitive,encrypted equals true,encrypted equals true,no
alicloud.ack.control_plane.admission_psa_enforce_mode,id exists ,permissions not_contains *,YES
alicloud.ack.control_plane.anonymous_auth_disabled,id exists ,permissions not_contains *,YES
alicloud.ack.control_plane.apiserver_anonymous_auth_disabled,id exists ,permissions not_contains *,YES
alicloud.ack.control_plane.apiserver_audit_logging_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.ack.control_plane.apiserver_authorization_mode_rbac,id exists ,permissions not_contains *,YES
alicloud.ack.control_plane.apiserver_etcd_connection_encrypted,encrypted equals true,encrypted equals true,no
alicloud.ack.control_plane.apiserver_insecure_port_disabled,id exists ,security_group_rules not_contains 0.0.0.0/0,YES
alicloud.ack.control_plane.apiserver_tls_min_1_2_enforced,encrypted equals + ssl_enabled equals + min_tls_version gte,encrypted equals + ssl_enabled equals + min_tls_version gte,no
alicloud.ack.control_plane.root_ca_file_configured,id exists ,status equals Active,YES
alicloud.ack.control_plane.secure_port_enabled,encrypted equals true,encrypted equals true,no
alicloud.ack.control_plane.secure_port_tls_enabled,encrypted equals true,encrypted equals true,no
alicloud.ack.control_plane.token_signing_enabled,id exists ,status equals Active,YES
alicloud.ack.control_plane.use_service_account_credentials_enabled,id exists ,status equals Active,YES
alicloud.ack.disk.data_disk_cmek_encryption_enforced,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,no
alicloud.ack.ebs.data_disk_cmek_encryption_check,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,no
alicloud.ack.enabled.for_ec2,logging_enabled equals true,status equals Active,YES
alicloud.ack.endpoints.not_publicly_accessible,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,no
alicloud.ack.endpoints.private_access_only,id exists ,internet_facing not_equals true,YES
alicloud.ack.etcd.at_rest_enabled,encrypted equals true,encrypted equals true,no
alicloud.ack.etcd.auth_enabled,id exists ,permissions not_contains *,YES
alicloud.ack.etcd.cert_auth_enabled,id exists ,ssl_enabled equals true,YES
alicloud.ack.etcd.client_tls_enabled,encrypted equals true,encrypted equals true,no
alicloud.ack.etcd.encryption_at_rest_enabled,encrypted equals true,encrypted equals true,no
alicloud.ack.etcd.peer_tls_enabled,encrypted equals true,encrypted equals true,no
alicloud.ack.instance.access_policy_network_restriction_enforced,id exists ,internet_facing not_equals true,YES
alicloud.ack.kube.apiserver_client_ca_file_check,id exists ,status equals Active,YES
alicloud.ack.kube_apiserver.client_ca_file_properly_configured,id exists ,status equals Active,YES
alicloud.ack.kubernetes.pod_create_access_least_privilege,permissions not_contains *,permissions not_contains *,no
alicloud.ack.load_balancer.https_tls_encryption_in_transit_enforced,encrypted equals + ssl_enabled equals,encrypted equals + ssl_enabled equals,no
alicloud.ack.log.service_integration_check,id exists ,logging_enabled equals true,YES
alicloud.ack.log_service.integration_enabled,logging_enabled equals true,logging_enabled equals true,no
alicloud.ack.managed_services.cluster_service_kube_system_services_not_public,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,no
alicloud.ack.namespace.namespace_default_service_account_automount_disabled,id exists ,permissions not_contains *,YES
alicloud.ack.namespace.namespace_network_policies_present,id exists ,security_group_rules not_contains 0.0.0.0/0,YES
alicloud.ack.network_policy.networkpolicy_default_deny_egress_per_namespace,id exists ,security_group_rules not_contains 0.0.0.0/0,YES
alicloud.ack.network_policy.networkpolicy_default_deny_ingress_per_namespace,permissions not_contains *,security_group_rules not_contains 0.0.0.0/0,YES
alicloud.ack.network_policy.policy_enabled,id exists ,security_group_rules not_contains 0.0.0.0/0,YES
alicloud.ack.network_policy_enforced_with_least_privilege.configured,permissions not_contains *,permissions not_contains *,no
alicloud.ack.node.auth_disabled,id exists ,permissions not_contains *,YES
alicloud.ack.node.kubelet_anonymous_auth_disabled,id exists ,permissions not_contains *,YES
alicloud.ack.node.kubelet_authz_webhook_or_rbac_enabled,id exists ,permissions not_contains *,YES
alicloud.ack.node.kubelet_read_only_port_disabled,id exists ,security_group_rules not_contains 0.0.0.0/0,YES
alicloud.ack.node.kubelet_tls_min_1_2_enforced,ssl_enabled equals + min_tls_version gte,ssl_enabled equals + min_tls_version gte,no
alicloud.ack.node.only_port_disabled,id exists ,security_group_rules not_contains 0.0.0.0/0,YES
alicloud.ack.node.security_patches_current,id exists ,status equals Active,YES
alicloud.ack.node_pool.disk_encryption_enabled,encrypted equals true,encrypted equals true,no
alicloud.ack.node_pool.nodes_no_public_ip,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,no
alicloud.ack.plan.configured,id exists ,backup_enabled equals true,YES
alicloud.ack.plan.min_retention,backup_enabled equals true,backup_enabled equals true,no
alicloud.ack.plans.exist,id exists ,backup_enabled equals true,YES
alicloud.ack.pod.seccomp_profile_runtime_default_enforced,permissions not_contains *,permissions not_contains *,no
alicloud.ack.pod.security_context_configured,id exists ,permissions not_contains *,YES
alicloud.ack.pod.service_account_token_mounting_disabled,id exists ,permissions not_contains *,YES
alicloud.ack.pod_security_policy.net_raw_capability_dropped,id exists ,permissions not_contains *,YES
alicloud.ack.psp.net_raw_capability_disabled,id exists ,permissions not_contains *,YES
alicloud.ack.psp.root_user_access_prevented,permissions not_contains *,permissions not_contains *,no
alicloud.ack.ram.role_acr_read_only_access_check,permissions not_contains *,permissions not_contains *,no
alicloud.ack.ram_role.acr_read_only_access_enforced,permissions not_contains *,permissions not_contains *,no
