csp,service,op_name,op_kind,is_independent,python_call,yaml_action,required_params,optional_params,param_count,output_fields,output_fields_types,compliance_categories,resource_type,target_resource_id_param,iam_action,ciem_rule_count,ciem_rule_yaml,is_active,updated_at
alicloud,ack,alicloud.ack.AttachInstances,write_apply,Yes,client.AttachInstances(),AttachInstances,,,0,instance_id|instance_name|instanc_status|creation_time|region_id|zone_id|tags,instance_id:string|instance_name:string|instanc_status:string|creation_time:string|region_id:string|zone_id:string|tags:string,,,,ack:AttachInstances,0,,true,2026-04-17T14:43:54Z
alicloud,ack,alicloud.ack.CancelClusterUpgrade,other,Yes,client.CancelClusterUpgrade(),CancelClusterUpgrade,,,0,instance_id|instance_name|cluster_upgrade_status|creation_time|region_id|zone_id|tags,instance_id:string|instance_name:string|cluster_upgrade_status:string|creation_time:string|region_id:string|zone_id:string|tags:string,,,,ack:CancelClusterUpgrade,0,,true,2026-04-17T14:43:54Z
alicloud,ack,alicloud.ack.CancelComponentUpgrade,other,Yes,client.CancelComponentUpgrade(),CancelComponentUpgrade,,,0,instance_id|instance_name|component_upgrade_status|creation_time|region_id|zone_id|tags,instance_id:string|instance_name:string|component_upgrade_status:string|creation_time:string|region_id:string|zone_id:string|tags:string,,,,ack:CancelComponentUpgrade,0,,true,2026-04-17T14:43:54Z
alicloud,ack,alicloud.ack.CancelWorkflow,other,Yes,client.CancelWorkflow(),CancelWorkflow,,,0,instance_id|instance_name|workflow_status|creation_time|region_id|zone_id|tags,instance_id:string|instance_name:string|workflow_status:string|creation_time:string|region_id:string|zone_id:string|tags:string,,,,ack:CancelWorkflow,0,,true,2026-04-17T14:43:54Z
alicloud,ack,alicloud.ack.CreateCluster,write_create,Yes,client.CreateCluster(),CreateCluster,,,0,instance_id|instance_name|cluster_status|creation_time|region_id|zone_id|tags,instance_id:string|instance_name:string|cluster_status:string|creation_time:string|region_id:string|zone_id:string|tags:string,,,,ack:CreateCluster,0,,true,2026-04-17T14:43:54Z
alicloud,actiontrail,alicloud.actiontrail.CreateDeliveryHistoryJob,write_create,Yes,client.CreateDeliveryHistoryJob(),CreateDeliveryHistoryJob,,,0,instance_id|instance_name|delivery_history_job_status|creation_time|region_id|zone_id|tags,instance_id:string|instance_name:string|delivery_history_job_status:string|creation_time:string|region_id:string|zone_id:string|tags:string,,,,actiontrail:CreateDeliveryHistoryJob,0,,true,2026-04-17T14:43:54Z
alicloud,actiontrail,alicloud.actiontrail.CreateTrail,write_create,Yes,client.CreateTrail(),CreateTrail,,,0,instance_id|instance_name|trail_status|creation_time|region_id|zone_id|tags,instance_id:string|instance_name:string|trail_status:string|creation_time:string|region_id:string|zone_id:string|tags:string,,,,actiontrail:CreateTrail,0,,true,2026-04-17T14:43:54Z
alicloud,actiontrail,alicloud.actiontrail.LookupEvents,other,Yes,client.LookupEvents(),LookupEvents,,,0,instance_id|instance_name|lookup_event_status|creation_time|region_id|zone_id|tags,instance_id:string|instance_name:string|lookup_event_status:string|creation_time:string|region_id:string|zone_id:string|tags:string,,,,actiontrail:LookupEvents,0,,true,2026-04-17T14:43:54Z
alicloud,actiontrail,alicloud.actiontrail.DeleteDeliveryHistoryJob,write_delete,No,client.DeleteDeliveryHistoryJob(),DeleteDeliveryHistoryJob,delivery_history_job_id,,1,instance_id|instance_name|delivery_history_job_status|creation_time|region_id|zone_id|tags,instance_id:string|instance_name:string|delivery_history_job_status:string|creation_time:string|region_id:string|zone_id:string|tags:string,,,delivery_history_job_id,actiontrail:DeleteDeliveryHistoryJob,0,,true,2026-04-17T14:43:54Z
alicloud,actiontrail,alicloud.actiontrail.DeleteTrail,write_delete,No,client.DeleteTrail(),DeleteTrail,trail_id,,1,instance_id|instance_name|trail_status|creation_time|region_id|zone_id|tags,instance_id:string|instance_name:string|trail_status:string|creation_time:string|region_id:string|zone_id:string|tags:string,,,trail_id,actiontrail:DeleteTrail,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.AttachDataset,write_update,Yes,client.AttachDataset(),AttachDataset,,,0,,,,,,airec:AttachDataset,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.AttachIndexVersion,write_update,Yes,client.AttachIndexVersion(),AttachIndexVersion,,,0,,,,,,airec:AttachIndexVersion,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.CloneExperiment,write_update,Yes,client.CloneExperiment(),CloneExperiment,,,0,,,,,,airec:CloneExperiment,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.CloneSample,write_update,Yes,client.CloneSample(),CloneSample,,,0,,,,,,airec:CloneSample,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.ColdStartRank,write_update,Yes,client.ColdStartRank(),ColdStartRank,,,0,,,,,,airec:ColdStartRank,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.CreateCustomAnalysisTask,write_create,Yes,client.CreateCustomAnalysisTask(),CreateCustomAnalysisTask,,,0,,,,,,airec:CreateCustomAnalysisTask,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.CreateCustomSample,write_create,Yes,client.CreateCustomSample(),CreateCustomSample,,,0,,,,,,airec:CreateCustomSample,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.CreateDataDiagnoseTask,write_create,Yes,client.CreateDataDiagnoseTask(),CreateDataDiagnoseTask,,,0,,,,,,airec:CreateDataDiagnoseTask,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.CreateExtraDataSource,write_create,Yes,client.CreateExtraDataSource(),CreateExtraDataSource,,,0,,,,,,airec:CreateExtraDataSource,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.CreateFilteringAlgorithm,write_create,Yes,client.CreateFilteringAlgorithm(),CreateFilteringAlgorithm,,,0,,,,,,airec:CreateFilteringAlgorithm,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.CreateFlowControlTask,write_create,Yes,client.CreateFlowControlTask(),CreateFlowControlTask,,,0,,,,,,airec:CreateFlowControlTask,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.CreateInstance,write_create,Yes,client.CreateInstance(),CreateInstance,,,0,,,,,,airec:CreateInstance,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.CreateRankingModel,write_create,Yes,client.CreateRankingModel(),CreateRankingModel,,,0,,,,,,airec:CreateRankingModel,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.CreateRankingModelTemplate,write_create,Yes,client.CreateRankingModelTemplate(),CreateRankingModelTemplate,,,0,,,,,,airec:CreateRankingModelTemplate,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.CreateRankingSystem,write_create,Yes,client.CreateRankingSystem(),CreateRankingSystem,,,0,,,,,,airec:CreateRankingSystem,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.CreateRule,write_create,Yes,client.CreateRule(),CreateRule,,,0,,,,,,airec:CreateRule,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.CreateSampleFormatConfig,write_create,Yes,client.CreateSampleFormatConfig(),CreateSampleFormatConfig,,,0,,,,,,airec:CreateSampleFormatConfig,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.CreateScene,write_create,Yes,client.CreateScene(),CreateScene,,,0,,,,,,airec:CreateScene,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.CreateUmengToken,write_create,Yes,client.CreateUmengToken(),CreateUmengToken,,,0,,,,,,airec:CreateUmengToken,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.DecribeRankingModel,write_update,Yes,client.DecribeRankingModel(),DecribeRankingModel,,,0,,,,,,airec:DecribeRankingModel,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.DeleteDataSet,write_delete,Yes,client.DeleteDataSet(),DeleteDataSet,,,0,,,,,,airec:DeleteDataSet,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.DeleteExperiment,write_delete,Yes,client.DeleteExperiment(),DeleteExperiment,,,0,,,,,,airec:DeleteExperiment,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.DeleteExtraDataSource,write_delete,Yes,client.DeleteExtraDataSource(),DeleteExtraDataSource,,,0,,,,,,airec:DeleteExtraDataSource,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.DeleteFilteringAlgorithm,write_delete,Yes,client.DeleteFilteringAlgorithm(),DeleteFilteringAlgorithm,,,0,,,,,,airec:DeleteFilteringAlgorithm,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.DeleteFlowControlTask,write_delete,Yes,client.DeleteFlowControlTask(),DeleteFlowControlTask,,,0,,,,,,airec:DeleteFlowControlTask,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.DeleteRankingModel,write_delete,Yes,client.DeleteRankingModel(),DeleteRankingModel,,,0,,,,,,airec:DeleteRankingModel,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.DeleteRankingModelTemplate,write_delete,Yes,client.DeleteRankingModelTemplate(),DeleteRankingModelTemplate,,,0,,,,,,airec:DeleteRankingModelTemplate,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.DeleteRankingModelVersion,write_delete,Yes,client.DeleteRankingModelVersion(),DeleteRankingModelVersion,,,0,,,,,,airec:DeleteRankingModelVersion,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.DeleteRankingSystem,write_delete,Yes,client.DeleteRankingSystem(),DeleteRankingSystem,,,0,,,,,,airec:DeleteRankingSystem,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.DeleteSample,write_delete,Yes,client.DeleteSample(),DeleteSample,,,0,,,,,,airec:DeleteSample,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.DeleteScene,write_delete,Yes,client.DeleteScene(),DeleteScene,,,0,,,,,,airec:DeleteScene,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.DeployRankingSystem,write_update,Yes,client.DeployRankingSystem(),DeployRankingSystem,,,0,,,,,,airec:DeployRankingSystem,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.DowngradeInstance,write_update,Yes,client.DowngradeInstance(),DowngradeInstance,,,0,,,,,,airec:DowngradeInstance,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.EnableExperiment,write_update,Yes,client.EnableExperiment(),EnableExperiment,,,0,,,,,,airec:EnableExperiment,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.GenerateSample,write_update,Yes,client.GenerateSample(),GenerateSample,,,0,,,,,,airec:GenerateSample,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.InitComputingResource,write_update,Yes,client.InitComputingResource(),InitComputingResource,,,0,,,,,,airec:InitComputingResource,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.ModifyDataSource,write_update,Yes,client.ModifyDataSource(),ModifyDataSource,,,0,,,,,,airec:ModifyDataSource,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.ModifyFeatureTable,write_update,Yes,client.ModifyFeatureTable(),ModifyFeatureTable,,,0,,,,,,airec:ModifyFeatureTable,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.ModifyFilteringAlgorithmMeta,write_update,Yes,client.ModifyFilteringAlgorithmMeta(),ModifyFilteringAlgorithmMeta,,,0,,,,,,airec:ModifyFilteringAlgorithmMeta,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.ModifyFlowControlTask,write_update,Yes,client.ModifyFlowControlTask(),ModifyFlowControlTask,,,0,,,,,,airec:ModifyFlowControlTask,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.ModifyInstance,write_update,Yes,client.ModifyInstance(),ModifyInstance,,,0,,,,,,airec:ModifyInstance,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.ModifyItems,write_update,Yes,client.ModifyItems(),ModifyItems,,,0,,,,,,airec:ModifyItems,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.ModifyOfflineStorages,write_update,Yes,client.ModifyOfflineStorages(),ModifyOfflineStorages,,,0,,,,,,airec:ModifyOfflineStorages,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.ModifyRankingModel,write_update,Yes,client.ModifyRankingModel(),ModifyRankingModel,,,0,,,,,,airec:ModifyRankingModel,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.ModifyRankingModelTemplate,write_update,Yes,client.ModifyRankingModelTemplate(),ModifyRankingModelTemplate,,,0,,,,,,airec:ModifyRankingModelTemplate,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.ModifyRankingSystem,write_update,Yes,client.ModifyRankingSystem(),ModifyRankingSystem,,,0,,,,,,airec:ModifyRankingSystem,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.ModifyRule,write_update,Yes,client.ModifyRule(),ModifyRule,,,0,,,,,,airec:ModifyRule,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.ModifySample,write_update,Yes,client.ModifySample(),ModifySample,,,0,,,,,,airec:ModifySample,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.ModifyScene,write_update,Yes,client.ModifyScene(),ModifyScene,,,0,,,,,,airec:ModifyScene,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.OfflineFilteringAlgorithm,write_update,Yes,client.OfflineFilteringAlgorithm(),OfflineFilteringAlgorithm,,,0,,,,,,airec:OfflineFilteringAlgorithm,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.PublishFlowControlTask,write_update,Yes,client.PublishFlowControlTask(),PublishFlowControlTask,,,0,,,,,,airec:PublishFlowControlTask,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.PublishRule,write_update,Yes,client.PublishRule(),PublishRule,,,0,,,,,,airec:PublishRule,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.PushColdStartDocument,write_update,Yes,client.PushColdStartDocument(),PushColdStartDocument,,,0,,,,,,airec:PushColdStartDocument,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.PushDocument,write_update,Yes,client.PushDocument(),PushDocument,,,0,,,,,,airec:PushDocument,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.PushIntervention,write_update,Yes,client.PushIntervention(),PushIntervention,,,0,,,,,,airec:PushIntervention,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.RebuildIndex,write_update,Yes,client.RebuildIndex(),RebuildIndex,,,0,,,,,,airec:RebuildIndex,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.Recommend,write_update,Yes,client.Recommend(),Recommend,,,0,,,,,,airec:Recommend,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.RefreshFeatureTable,write_update,Yes,client.RefreshFeatureTable(),RefreshFeatureTable,,,0,,,,,,airec:RefreshFeatureTable,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.RollbackRankingSystem,write_update,Yes,client.RollbackRankingSystem(),RollbackRankingSystem,,,0,,,,,,airec:RollbackRankingSystem,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.RunInstance,write_update,Yes,client.RunInstance(),RunInstance,,,0,,,,,,airec:RunInstance,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.RunRankingModelTemplate,write_update,Yes,client.RunRankingModelTemplate(),RunRankingModelTemplate,,,0,,,,,,airec:RunRankingModelTemplate,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.RunSampleFormatConfig,write_update,Yes,client.RunSampleFormatConfig(),RunSampleFormatConfig,,,0,,,,,,airec:RunSampleFormatConfig,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.StopDataSet,write_update,Yes,client.StopDataSet(),StopDataSet,,,0,,,,,,airec:StopDataSet,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.StopFlowControlTask,write_update,Yes,client.StopFlowControlTask(),StopFlowControlTask,,,0,,,,,,airec:StopFlowControlTask,0,,true,2026-04-17T14:43:54Z
alicloud,airec,alicloud.airec.UnLockIndexVersion,write_update,Yes,client.UnLockIndexVersion(),UnLockIndexVersion,,,0,,,,,,airec:UnLockIndexVersion,0,,true,2026-04-17T14:43:54Z
