rule_id,for_each,current_var,proposed_var,expert_var,change_reason
alicloud.accessanalyzer.enabled.configured,alicloud.accessanalyzer.enabled,logging_enabled equals + permissions not_contains,status equals Active,status equals Active,
alicloud.accessanalyzer.enabled.without_findings,alicloud.accessanalyzer.enabled,logging_enabled equals true,status equals Active,status equals Active,
alicloud.ack.addon.addon_no_privileged_permissions,alicloud.ack.DescribeAddons,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.admission_webhook.admission_host_namespace_usage_denied,alicloud.ack.admission_webhook,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.admission_webhook.admission_image_registry_allowlist_enforced,alicloud.ack.admission_webhook,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.admission_webhook.admission_image_signature_verification_enabled,alicloud.ack.admission_webhook,id exists,status equals Active,status equals Active,
alicloud.ack.admission_webhook.admission_pod_security_admission_restricted_default,alicloud.ack.admission_webhook,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.admission_webhook.admission_privilege_escalation_denied,alicloud.ack.admission_webhook,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.backup.encryption_enabled,alicloud.general.backup_enabled,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,encrypted equals + backup_enabled equals,
alicloud.ack.certificates.expiration_check,alicloud.ack.certificates,id exists,status equals Active,status equals Active,
alicloud.ack.certificates.not_expired_and_valid,alicloud.ack.certificates,id exists,status equals Active,status equals Active,
alicloud.ack.cluster.approved_container_registries_enforced,alicloud.ack.DescribeClusterAddonsUpgradeStatus,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.cluster.audit_logging_remote_enforced,alicloud.ack.DescribeClusterAddonsUpgradeStatus,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.ack.cluster.basic_auth_disabled_enforced,alicloud.ack.DescribeClusterAddonsUpgradeStatus,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.cluster.cloud_monitoring_enabled,alicloud.ack.DescribeClusterAddonsUpgradeStatus,logging_enabled equals true,status equals Active,logging_enabled equals true,Monitoring/alerting/logging rule — use logging_enabled not status
alicloud.ack.cluster.control_plane_private_access_ip_allowlist_enforced,alicloud.ack.DescribeClusterAddonsUpgradeStatus,id exists,internet_facing not_equals true,internet_facing not_equals true,
alicloud.ack.cluster.dashboard_access_restricted,alicloud.ack.DescribeClusterAddonsUpgradeStatus,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.cluster.endpoint_private_access_enforced,alicloud.ack.DescribeClusterAddonsUpgradeStatus,id exists,internet_facing not_equals true,internet_facing not_equals true,
alicloud.ack.cluster.kms_cmk_encryption_for_secrets_enabled,alicloud.ack.DescribeClusterAddonsUpgradeStatus,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,
alicloud.ack.cluster.kms_cmk_encryption_in_secrets_enabled,alicloud.ack.DescribeClusterAddonsUpgradeStatus,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,
alicloud.ack.cluster.logging_service_enabled,alicloud.ack.DescribeClusterAddonsUpgradeStatus,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.ack.cluster.network_plugin_terway_compliance_enforced,alicloud.ack.DescribeClusterAddonsUpgradeStatus,id exists,status equals Active,status equals Active,
alicloud.ack.cluster.network_policy_enforced,alicloud.ack.DescribeClusterAddonsUpgradeStatus,id exists,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,
alicloud.ack.cluster.nodes_private_ip_required,alicloud.ack.DescribeClusterAddonsUpgradeStatus,id exists,public_ip_address not_exists,public_ip_address not_exists,
alicloud.ack.cluster.not_publicly_accessible,alicloud.ack.DescribeClusterAddonsUpgradeStatus,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,
alicloud.ack.cluster.pod_security_policy_compliance_enforced,alicloud.ack.DescribeClusterAddonsUpgradeStatus,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.cluster.private_access_enforced,alicloud.ack.DescribeClusterAddonsUpgradeStatus,id exists,internet_facing not_equals true,internet_facing not_equals true,
alicloud.ack.cluster.private_nodes_only,alicloud.ack.DescribeClusterAddonsUpgradeStatus,id exists,internet_facing not_equals true,internet_facing not_equals true,
alicloud.ack.cluster.public_access_blocked,alicloud.ack.DescribeClusterAddonsUpgradeStatus,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,
alicloud.ack.cluster.rbac_authorization_enforced,alicloud.ack.DescribeClusterAddonsUpgradeStatus,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.cluster.rbac_permissions_least_privilege,alicloud.ack.DescribeClusterAddonsUpgradeStatus,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.cluster.secret_encryption_kms_enforced,alicloud.ack.DescribeClusterAddonsUpgradeStatus,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.ack.cluster.uses_latest_supported_version,alicloud.ack.DescribeClusterAddonsUpgradeStatus,id exists,status equals Active,status equals Active,
alicloud.ack.cluster.weekly_health_checks_enabled,alicloud.ack.DescribeClusterAddonsUpgradeStatus,logging_enabled equals true,status equals Active,logging_enabled equals true,Monitoring/alerting/logging rule — use logging_enabled not status
alicloud.ack.configuration_management.parameter_access_rbac_least_privilege,alicloud.ack.configuration_management,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.configuration_management.parameter_kms_key_configured,alicloud.ack.configuration_management,encrypted equals true,encrypted equals true,encrypted equals + kms_key_id exists,KMS/CMK rule — use encrypted+kms_key_id not encrypted
alicloud.ack.configuration_management.parameter_secure_string_type_for_sensitive,alicloud.ack.configuration_management,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.ack.control_plane.admission_psa_enforce_mode,alicloud.ack.control_plane,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.control_plane.anonymous_auth_disabled,alicloud.ack.control_plane,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.control_plane.apiserver_anonymous_auth_disabled,alicloud.ack.control_plane,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.control_plane.apiserver_audit_logging_enabled,alicloud.ack.control_plane,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.ack.control_plane.apiserver_authorization_mode_rbac,alicloud.ack.control_plane,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.control_plane.apiserver_etcd_connection_encrypted,alicloud.ack.control_plane,encrypted equals true,encrypted equals true,ssl_enabled equals true,TLS/SSL connection rule — use ssl_enabled not encrypted
alicloud.ack.control_plane.apiserver_insecure_port_disabled,alicloud.ack.control_plane,id exists,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,
alicloud.ack.control_plane.apiserver_tls_min_1_2_enforced,alicloud.ack.control_plane,encrypted equals + ssl_enabled equals + min_tls_version gte,encrypted equals + ssl_enabled equals + min_tls_version gte,encrypted equals + ssl_enabled equals + min_tls_version gte,
alicloud.ack.control_plane.root_ca_file_configured,alicloud.ack.control_plane,id exists,status equals Active,status equals Active,
alicloud.ack.control_plane.secure_port_enabled,alicloud.ack.control_plane,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.ack.control_plane.secure_port_tls_enabled,alicloud.ack.control_plane,encrypted equals true,encrypted equals true,ssl_enabled equals true,TLS/SSL connection rule — use ssl_enabled not encrypted
alicloud.ack.control_plane.token_signing_enabled,alicloud.ack.control_plane,id exists,status equals Active,permissions not_contains *,Auth/credential rotation rule — use permissions not status
alicloud.ack.control_plane.use_service_account_credentials_enabled,alicloud.ack.control_plane,id exists,status equals Active,permissions not_contains *,Auth/credential rotation rule — use permissions not status
alicloud.ack.disk.data_disk_cmek_encryption_enforced,alicloud.ack.disk,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,
alicloud.ack.ebs.data_disk_cmek_encryption_check,alicloud.ack.ebs,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,encrypted equals + kms_key_id exists,
alicloud.ack.enabled.for_ec2,alicloud.ack.enabled,logging_enabled equals true,status equals Active,status equals Active,
alicloud.ack.endpoints.not_publicly_accessible,alicloud.ack.endpoints,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,
alicloud.ack.endpoints.private_access_only,alicloud.ack.endpoints,id exists,internet_facing not_equals true,internet_facing not_equals true,
alicloud.ack.etcd.at_rest_enabled,alicloud.ack.etcd,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.ack.etcd.auth_enabled,alicloud.ack.etcd,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.etcd.cert_auth_enabled,alicloud.ack.etcd,id exists,ssl_enabled equals true,ssl_enabled equals true,
alicloud.ack.etcd.client_tls_enabled,alicloud.ack.etcd,encrypted equals true,encrypted equals true,ssl_enabled equals true,TLS/SSL connection rule — use ssl_enabled not encrypted
alicloud.ack.etcd.encryption_at_rest_enabled,alicloud.ack.etcd,encrypted equals true,encrypted equals true,encrypted equals true,
alicloud.ack.etcd.peer_tls_enabled,alicloud.ack.etcd,encrypted equals true,encrypted equals true,ssl_enabled equals true,TLS/SSL connection rule — use ssl_enabled not encrypted
alicloud.ack.instance.access_policy_network_restriction_enforced,alicloud.apigateway.DescribeInstances,id exists,internet_facing not_equals true,internet_facing not_equals true,
alicloud.ack.kube.apiserver_client_ca_file_check,alicloud.ack.DescribeClusterUserKubeconfig,id exists,status equals Active,status equals Active,
alicloud.ack.kube_apiserver.client_ca_file_properly_configured,alicloud.ack.kube_apiserver,id exists,status equals Active,status equals Active,
alicloud.ack.kubernetes.pod_create_access_least_privilege,alicloud.ack.kubernetes,permissions not_contains *,permissions not_contains *,permissions not_contains *,
alicloud.ack.load_balancer.https_tls_encryption_in_transit_enforced,alicloud.ack.load_balancer,encrypted equals + ssl_enabled equals,encrypted equals + ssl_enabled equals,ssl_enabled equals true,TLS/SSL rule with redundant encrypted field — use ssl_enabled only
alicloud.ack.log.service_integration_check,alicloud.ack.DescribeClusterLogs,id exists,logging_enabled equals true,logging_enabled equals true,
alicloud.ack.log_service.integration_enabled,alicloud.ack.log_service,logging_enabled equals true,logging_enabled equals true,logging_enabled equals true,
alicloud.ack.managed_services.cluster_service_kube_system_services_not_public,alicloud.ack.managed_services,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,public_ip_address not_exists + internet_facing not_equals,
alicloud.ack.namespace.namespace_default_service_account_automount_disabled,alicloud.artifacts.ListNamespace,id exists,permissions not_contains *,permissions not_contains *,
alicloud.ack.namespace.namespace_network_policies_present,alicloud.artifacts.ListNamespace,id exists,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,
alicloud.ack.network_policy.networkpolicy_default_deny_egress_per_namespace,alicloud.ack.network_policy,id exists,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,
alicloud.ack.network_policy.networkpolicy_default_deny_ingress_per_namespace,alicloud.ack.network_policy,permissions not_contains *,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,
alicloud.ack.network_policy.policy_enabled,alicloud.ack.network_policy,id exists,security_group_rules not_contains 0.0.0.0/0,security_group_rules not_contains 0.0.0.0/0,
alicloud.ack.network_policy_enforced_with_least_privilege.configured,alicloud.ack.network_policy_enforced_with_least_privilege,permissions not_contains *,permissions not_contains *,permissions not_contains *,
