rule_id,service,resource_type,rule_tokens,for_each,rank,candidate_field,item_var_path,field_type,score,suggested_op,suggested_value,new_for_each,confidence,fix_method
gcp.aiplatform.endpoint.ai_services_authn_required,aiplatform,endpoint,ai services authn required,gcp.aiplatform.projects.locations.endpoints.list,1,enablePrivateServiceConnect,item.enablePrivateServiceConnect,boolean,3.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.ai_services_authn_required,aiplatform,endpoint,ai services authn required,gcp.aiplatform.projects.locations.endpoints.list,2,genAiAdvancedFeaturesConfig,item.genAiAdvancedFeaturesConfig,string,3.25,exists,null,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.ai_services_authn_required,aiplatform,endpoint,ai services authn required,gcp.aiplatform.projects.locations.endpoints.list,3,endpoints[].genAiAdvancedFeaturesConfig,item.endpoints[].genAiAdvancedFeaturesConfig,string,2.9,exists,null,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.aiplatform.endpoint.ai_services_authz_policies_enforced,aiplatform,endpoint,ai services authz policies enforced,gcp.aiplatform.projects.locations.endpoints.list,1,enablePrivateServiceConnect,item.enablePrivateServiceConnect,boolean,3.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.ai_services_authz_policies_enforced,aiplatform,endpoint,ai services authz policies enforced,gcp.aiplatform.projects.locations.endpoints.list,2,genAiAdvancedFeaturesConfig,item.genAiAdvancedFeaturesConfig,string,3.25,exists,null,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.ai_services_authz_policies_enforced,aiplatform,endpoint,ai services authz policies enforced,gcp.aiplatform.projects.locations.endpoints.list,3,endpoints[].genAiAdvancedFeaturesConfig,item.endpoints[].genAiAdvancedFeaturesConfig,string,2.9,exists,null,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.aiplatform.endpoint.ai_services_prompt_gateway_authn_required,aiplatform,endpoint,ai services prompt gateway authn required,gcp.aiplatform.projects.locations.endpoints.list,1,enablePrivateServiceConnect,item.enablePrivateServiceConnect,boolean,3.25,equals,true,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.ai_services_prompt_gateway_authn_required,aiplatform,endpoint,ai services prompt gateway authn required,gcp.aiplatform.projects.locations.endpoints.list,2,genAiAdvancedFeaturesConfig,item.genAiAdvancedFeaturesConfig,string,3.25,exists,null,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
gcp.aiplatform.endpoint.ai_services_prompt_gateway_authn_required,aiplatform,endpoint,ai services prompt gateway authn required,gcp.aiplatform.projects.locations.endpoints.list,3,endpoints[].genAiAdvancedFeaturesConfig,item.endpoints[].genAiAdvancedFeaturesConfig,string,2.9,exists,null,gcp.aiplatform.projects.locations.endpoints.list,LOW,token_match
gcp.aiplatform.endpoint.ai_services_prompt_gateway_token_scopes_least_privilege,aiplatform,endpoint,ai services prompt gateway token scopes least privilege,gcp.aiplatform.projects.locations.endpoints.list,1,genAiAdvancedFeaturesConfig,item.genAiAdvancedFeaturesConfig,string,3.25,exists,null,gcp.aiplatform.projects.locations.endpoints.list,MEDIUM,token_match
