csp,service,rule_id
aws,accessanalyzer,aws.accessanalyzer.resource.access_analyzer_enabled
aws,accessanalyzer,aws.accessanalyzer.resource.access_analyzer_enabled_without_findings
aws,account,aws.account.contact.current_details_configured
aws,account,aws.account.contact.details_separate_security_billing_operations_configured
aws,account,aws.account.resource.security_contact_complete
aws,account,aws.account.resource.security_contact_configured
aws,account,aws.account.security.contact_information_configured
aws,acm,aws.acm.certificate.expiration_monitored
aws,acm,aws.acm.certificate.key_length_minimum
aws,acm,aws.acm.certificate.mtls_required_for_internal_services_if_supported
aws,acm,aws.acm.certificate.tls_min_1_2_enforced
aws,acm,aws.acm.certificate.trusted_issuer_verified
aws,acm,aws.acm.certificate.valid
aws,acm,aws.acm.certificates.certificate_expiration_monitored
aws,acm,aws.acm.privateca.ca_access_rbac_least_privilege
aws,acm,aws.acm.privateca.ca_certificate_crl_or_ocsp_configured
aws,acm,aws.acm.privateca.ca_certificate_path_length_constraints_configured
aws,acm,aws.acm.privateca.ca_certificate_trusted_issuer_verified
aws,acm,aws.acm.privateca.ca_certificate_valid
aws,acm,aws.acm.privateca.ca_key_in_hsm_enabled_if_supported
aws,acm,aws.acm.privateca.key_length_minimum
aws,acm-pca,aws.acm-pca.certificateauthority.cloudwatch_audit_logging
aws,acm-pca,aws.acm-pca.certificateauthority.enabled_and_active
aws,acm-pca,aws.acm-pca.certificateauthority.revocation_configured
aws,acm_pca,aws.acm_pca.root.ca_disabled
aws,acmpca,aws.acmpca.certificate.authority_tagged
aws,amplify,aws.amplify.app.build_spec_configured
aws,amplify,aws.amplify.app.description
aws,amplify,aws.amplify.app.no_environment_variables
aws,amplify,aws.amplify.app.platform_check
aws,amplify,aws.amplify.app.tagged
aws,amplify,aws.amplify.app_branch.auto_deletion_enabled
aws,amplify,aws.amplify.branch.auto_build_enabled
aws,amplify,aws.amplify.branch.build_spec_configured
aws,amplify,aws.amplify.branch.description
aws,amplify,aws.amplify.branch.framework_configured
aws,amplify,aws.amplify.branch.performance_mode_enabled
aws,amplify,aws.amplify.branch.pull_request_preview_enabled
aws,amplify,aws.amplify.branch.tagged
aws,apigateway,aws.apigateway.apikey.key_expiration_required
aws,apigateway,aws.apigateway.associated.with_waf
aws,apigateway,aws.apigateway.authorizer.api_token_audience_restricted
aws,apigateway,aws.apigateway.authorizer.cache_ttl_configured
aws,apigateway,aws.apigateway.authorizer.tls_min_1_2_enforced
aws,apigateway,aws.apigateway.cache.enabled_and_encrypted
aws,apigateway,aws.apigateway.certificate.certificate_enabled
aws,apigateway,aws.apigateway.endpoint.type_check
aws,apigateway,aws.apigateway.execution.logging_enabled
aws,apigateway,aws.apigateway.requestvalidator.api_parameters_validation_enabled
aws,apigateway,aws.apigateway.requestvalidator.api_request_schema_validation_enabled
aws,apigateway,aws.apigateway.resource.api_gateway_https_required
aws,apigateway,aws.apigateway.resource.api_resource_attached_enabled
aws,apigateway,aws.apigateway.resource.authorization_enabled
aws,apigateway,aws.apigateway.resource.restapi_cache_encrypted
aws,apigateway,aws.apigateway.resource.restapi_logging_enabled
aws,apigateway,aws.apigateway.rest.api_tagged
aws,apigateway,aws.apigateway.restapi.authn_required
aws,apigateway,aws.apigateway.restapi.authz_policies_enforced
aws,apigateway,aws.apigateway.restapi.logging_enabled
aws,apigateway,aws.apigateway.restapi.private_networking_enforced
aws,apigateway,aws.apigateway.restapi.public_access_restricted
aws,apigateway,aws.apigateway.restapi.tracing_enabled
aws,apigateway,aws.apigateway.restapi.waf_enabled
aws,apigateway,aws.apigateway.ssl.enabled
aws,apigateway,aws.apigateway.stage.api_access_log_fields_identity_configured
aws,apigateway,aws.apigateway.stage.api_access_log_sink_configured
aws,apigateway,aws.apigateway.stage.api_access_logging_enabled
aws,apigateway,aws.apigateway.stage.logging_enabled
aws,apigateway,aws.apigateway.stage.tagged
aws,apigateway,aws.apigateway.stage.throttling_enabled
aws,apigateway,aws.apigateway.stage.usage_plan_for_api_keys_required
aws,apigateway,aws.apigateway.throttle.api_quota_limit_configured
aws,apigateway,aws.apigateway.throttle.api_stage_burst_limit_configured
aws,apigateway,aws.apigateway.throttle.api_stage_overrides_bounded
aws,apigateway,aws.apigateway.throttle.api_stage_rate_limit_configured
aws,apigateway,aws.apigateway.throttle.api_usage_plan_for_keys_required
aws,apigateway,aws.apigateway.usageplan.api_keys_required
aws,apigateway,aws.apigateway.usageplan.api_quota_limit_configured
aws,apigateway,aws.apigateway.usageplan.api_quota_limits_configured
aws,apigateway,aws.apigateway.usageplan.api_rate_limits_configured
aws,apigateway,aws.apigateway.usageplan.api_stage_burst_limit_configured
aws,apigateway,aws.apigateway.usageplan.api_stage_rate_limit_configured
aws,apigateway,aws.apigateway.usageplan.api_stage_throttle_overrides_bounded
aws,apigateway,aws.apigateway.v2api.authn_required
aws,apigateway,aws.apigateway.v2api.authz_policies_enforced
aws,apigateway,aws.apigateway.v2api.private_networking_enforced
aws,apigateway,aws.apigateway.v2api.waf_enabled
aws,apigateway,aws.apigateway.xray.enabled
aws,apigatewayv2,aws.apigatewayv2.access.logs_enabled
aws,apigatewayv2,aws.apigatewayv2.api.access_logging_enabled
aws,apigatewayv2,aws.apigatewayv2.authorization.type_configured
aws,apigatewayv2,aws.apigatewayv2.integration.private_https_enabled
aws,apigatewayv2,aws.apigatewayv2.resource.api_access_logging_enabled
aws,apigatewayv2,aws.apigatewayv2.stage.api_access_log_fields_identity_configured
aws,apigatewayv2,aws.apigatewayv2.stage.api_access_log_sink_configured
aws,apigatewayv2,aws.apigatewayv2.stage.api_access_logging_enabled
aws,apigatewayv2,aws.apigatewayv2.stage.api_burst_limit_configured
aws,apigatewayv2,aws.apigatewayv2.stage.api_execution_logging_level_minimum_error_configured
aws,apigatewayv2,aws.apigatewayv2.stage.api_logs_retention_days_minimum
