rule_name,assertion_category
access-keys-rotated,credential_hygiene
account-part-of-organizations,configuration_compliance
acm-certificate-expiration-check,encryption_in_transit
acm-certificate-rsa-check,encryption_in_transit
acm-certificate-transparent-logging-enabled,encryption_in_transit
acm-pca-root-ca-disabled,key_rotation_mgmt
acmpca-certificate-authority-tagged,tagging
active-mq-supported-version,configuration_compliance
alb-desync-mode-check,waf_firewall
alb-http-drop-invalid-header-enabled,waf_firewall
alb-http-to-https-redirection-check,encryption_in_transit
alb-internal-scheme-check,private_networking
alb-listener-tagged,tagging
alb-tagged,tagging
alb-waf-enabled,waf_firewall
amplify-app-branch-auto-deletion-enabled,configuration_compliance
amplify-app-build-spec-configured,configuration_compliance
amplify-app-description,configuration_compliance
amplify-app-no-environment-variables,secrets_management
amplify-app-platform-check,configuration_compliance
amplify-app-tagged,tagging
amplify-branch-auto-build-enabled,configuration_compliance
amplify-branch-build-spec-configured,configuration_compliance
amplify-branch-description,configuration_compliance
amplify-branch-framework-configured,configuration_compliance
amplify-branch-performance-mode-enabled,configuration_compliance
amplify-branch-pull-request-preview-enabled,configuration_compliance
amplify-branch-tagged,tagging
api-gw-associated-with-waf,waf_firewall
api-gw-cache-enabled-and-encrypted,configuration_compliance
api-gw-endpoint-type-check,configuration_compliance
api-gw-execution-logging-enabled,logging_enabled
api-gw-rest-api-tagged,tagging
api-gw-ssl-enabled,encryption_in_transit
api-gw-stage-tagged,tagging
api-gw-xray-enabled,monitoring_alerting
api-gwv2-access-logs-enabled,logging_enabled
api-gwv2-authorization-type-configured,iam_auth_identity
api-gwv2-stage-default-route-detailed-metrics-enabled,monitoring_alerting
apigateway-domain-name-tls-check,encryption_in_transit
apigateway-stage-access-logs-enabled,logging_enabled
apigatewayv2-integration-private-https-enabled,encryption_in_transit
apigatewayv2-stage-description,configuration_compliance
appconfig-application-description,configuration_compliance
appconfig-application-tagged,tagging
appconfig-configuration-profile-tagged,tagging
appconfig-configuration-profile-validators-not-empty,configuration_compliance
appconfig-deployment-strategy-description,configuration_compliance
appconfig-deployment-strategy-minimum-final-bake-time,configuration_compliance
appconfig-deployment-strategy-replicate-to-ssm,configuration_compliance
appconfig-deployment-strategy-tagged,tagging
appconfig-environment-description,configuration_compliance
appconfig-environment-tagged,tagging
appconfig-extension-association-tagged,tagging
appconfig-freeform-profile-config-storage,configuration_compliance
appconfig-hosted-configuration-version-description,configuration_compliance
appflow-flow-tagged,tagging
appflow-flow-trigger-type-check,configuration_compliance
appintegrations-application-approved-origins-check,configuration_compliance
appintegrations-application-tagged,tagging
appintegrations-event-integration-description,configuration_compliance
appintegrations-event-integration-tagged,tagging
appmesh-gateway-route-tagged,tagging
appmesh-mesh-deny-tcp-forwarding,configuration_compliance
appmesh-mesh-ip-pref-check,configuration_compliance
appmesh-mesh-tagged,tagging
appmesh-route-tagged,tagging
appmesh-virtual-gateway-backend-defaults-tls,encryption_in_transit
appmesh-virtual-gateway-listeners-health-check-enabled,monitoring_alerting
appmesh-virtual-gateway-logging-file-path-exists,logging_enabled
appmesh-virtual-gateway-tagged,tagging
appmesh-virtual-node-backend-defaults-tls-on,encryption_in_transit
appmesh-virtual-node-cloud-map-ip-pref-check,configuration_compliance
appmesh-virtual-node-dns-ip-pref-check,configuration_compliance
appmesh-virtual-node-listeners-health-check-enabled,monitoring_alerting
appmesh-virtual-node-listeners-outlier-detect-enabled,monitoring_alerting
appmesh-virtual-node-logging-file-path-exists,logging_enabled
appmesh-virtual-node-service-backends-tls-enforced,encryption_in_transit
appmesh-virtual-node-tagged,tagging
appmesh-virtual-router-tagged,tagging
appmesh-virtual-service-tagged,tagging
approved-amis-by-id,configuration_compliance
approved-amis-by-tag,configuration_compliance
apprunner-service-in-vpc,private_networking
