unique_compliance_id,technology,compliance_framework,framework_id,framework_version,requirement_id,requirement_name,requirement_description,section,service,total_checks,automation_type,confidence_score,references,source_file,gcp_checks,updated_gcp_checks,mapped_rule_id
canada_pbmm_moderate_multi_cloud_CCCS_AC-2_0002,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-2,CCCS AC-2: Account Management,,CCCS,IAM,15,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_iam_user_accesskey_unused; gcp_iam_user_console_access_unused,gcp.iam.user.accesskey_unused; gcp.iam.user.console_access_unused,gcp.iam.user.accesskey_unused; gcp.iam.user.console_access_unused
canada_pbmm_moderate_multi_cloud_CCCS_AC-5_0005,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-5,CCCS AC-5: Separation of Duties,,CCCS,IAM,9,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_iam_policy_no_administrative_privileges,gcp.iam.policy.no_administrative_privileges,gcp.iam.policy.no_administrative_privileges
canada_pbmm_moderate_multi_cloud_CCCS_AC-6_0006,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-6,CCCS AC-6: Least Privilege,,CCCS,IAM,21,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_iam_policy_no_administrative_privileges; gcp_iam_policy_overly_permissive; gcp_iam_role_least_privilege,gcp.iam.policy.no_administrative_privileges; gcp.iam.policy.overly_permissive; gcp.iam.role.least_privilege,gcp.iam.policy.no_administrative_privileges; gcp.iam.policy.overly_permissive; gcp.iam.role.least_privilege
canada_pbmm_moderate_multi_cloud_CCCS_AC-17_0013,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AC-17,CCCS AC-17: Remote Access,,CCCS,Multiple,63,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_bigquery_cluster_public_access; gcp_compute_disk_public_snapshot; gcp_compute_instance_public_ip; gcp_dataproc_cluster_master_nodes_no_public_ip; gcp_functions_function_not_publicly_accessible; gcp_functions_function_url_public; gcp_sql_instance_no_public_access; gcp_sql_snapshots_public_access; gcp_storage_bucket_policy_public_write_access; gcp_storage_bucket_public_access,gcp.bigquery.cluster.public_access; gcp.compute.disk.public_snapshot; gcp.compute.instance.public_ip; gcp.dataproc.cluster.master_nodes_no_public_ip; gcp.functions.function.not_publicly_accessible; gcp.functions.function.url_public; gcp.sql.instance.no_public_access; gcp.sql.snapshots.public_access; gcp.storage.bucket.policy_public_write_access; gcp.storage.bucket.public_access,gcp.compute.disk.public_snapshot; gcp.compute.instance.public_ip; gcp.dataproc.cluster.master_nodes_no_public_ip; gcp.storage.bucket.policy_public_write_access; gcp.storage.bucket.public_access
canada_pbmm_moderate_multi_cloud_CCCS_AU-2_0024,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-2,CCCS AU-2: Event Logging,,CCCS,Multiple,59,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_api_gateway_restapi_logging_enabled; gcp_bigquery_cluster_audit_logging; gcp_load_balancing_logging_enabled; gcp_logging_enabled; gcp_logging_multi_region_enabled; gcp_logging_storage_read_events_enabled; gcp_logging_storage_write_events_enabled; gcp_sql_instance_logging_enabled; gcp_storage_bucket_server_access_logging_enabled,gcp.apigateway.restapi.logging_enabled; gcp.bigquery.cluster.audit_logging; gcp.compute.logging.enabled; gcp_logging_enabled; gcp.logging.multi.region_enabled; gcp.logging.storage.read_events_enabled; gcp.logging.storage.write_events_enabled; gcp.sql.instance.logging_enabled; gcp.storage.bucket.server_access_logging_enabled,gcp.apigateway.api.gateway_restapi_logging_enabled; gcp.logging.sink.multi_region_enabled; gcp.logging.bucket.read_events_enabled; gcp.logging.bucket.write_events_enabled; gcp.storage.bucket.server_access_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-3_0025,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-3,CCCS AU-3: Content of Audit Records,,CCCS,Multiple,60,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_api_gateway_restapi_logging_enabled; gcp_bigquery_cluster_audit_logging; gcp_load_balancing_logging_enabled; gcp_logging_enabled; gcp_logging_multi_region_enabled; gcp_logging_storage_read_events_enabled; gcp_logging_storage_write_events_enabled; gcp_sql_instance_logging_enabled; gcp_storage_bucket_server_access_logging_enabled,gcp.apigateway.restapi.logging_enabled; gcp.bigquery.cluster.audit_logging; gcp.compute.logging.enabled; gcp_logging_enabled; gcp.logging.multi.region_enabled; gcp.logging.storage.read_events_enabled; gcp.logging.storage.write_events_enabled; gcp.sql.instance.logging_enabled; gcp.storage.bucket.server_access_logging_enabled,gcp.apigateway.api.gateway_restapi_logging_enabled; gcp.logging.sink.multi_region_enabled; gcp.logging.bucket.read_events_enabled; gcp.logging.bucket.write_events_enabled; gcp.storage.bucket.server_access_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-6_0028,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-6,"CCCS AU-6: Audit Record Review, Analysis, and Reporting",,CCCS,CLOUDWATCH,16,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_logging_log_analysis_enabled; gcp_logging_log_metric_filter_alarm_configured,gcp.logging.log.analysis_enabled; gcp.logging.log.metric_filter_alarm_configured,gcp.logging.sink.log_analysis_enabled; gcp.logging.log.metric_filter_alerts_vpc_changes
canada_pbmm_moderate_multi_cloud_CCCS_AU-8_0030,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-8,CCCS AU-8: Time Stamps,,CCCS,Multiple,58,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_api_gateway_restapi_logging_enabled; gcp_bigquery_cluster_audit_logging; gcp_load_balancing_logging_enabled; gcp_logging_enabled; gcp_logging_multi_region_enabled; gcp_logging_storage_read_events_enabled; gcp_logging_storage_write_events_enabled; gcp_sql_instance_logging_enabled; gcp_storage_bucket_server_access_logging_enabled,gcp.apigateway.restapi.logging_enabled; gcp.bigquery.cluster.audit_logging; gcp.compute.logging.enabled; gcp_logging_enabled; gcp.logging.multi.region_enabled; gcp.logging.storage.read_events_enabled; gcp.logging.storage.write_events_enabled; gcp.sql.instance.logging_enabled; gcp.storage.bucket.server_access_logging_enabled,gcp.apigateway.api.gateway_restapi_logging_enabled; gcp.logging.sink.multi_region_enabled; gcp.logging.bucket.read_events_enabled; gcp.logging.bucket.write_events_enabled; gcp.storage.bucket.server_access_logging_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-9_0031,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-9,CCCS AU-9: Protection of Audit Information,,CCCS,CLOUDTRAIL,10,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_logging_log_file_validation_enabled,gcp.logging.log.file_validation_enabled,gcp.logging.sink.log_file_validation_enabled
canada_pbmm_moderate_multi_cloud_CCCS_AU-12_0033,MULTI_CLOUD,CANADA_PBMM,canada_pbmm_moderate,Moderate,CCCS AU-12,CCCS AU-12: Audit Record Generation,,CCCS,Multiple,59,automated,,,CANADA_PBMM_controls_with_checks.csv,gcp_api_gateway_restapi_logging_enabled; gcp_bigquery_cluster_audit_logging; gcp_load_balancing_logging_enabled; gcp_logging_enabled; gcp_logging_multi_region_enabled; gcp_logging_storage_read_events_enabled; gcp_logging_storage_write_events_enabled; gcp_sql_instance_logging_enabled; gcp_storage_bucket_server_access_logging_enabled,gcp.apigateway.restapi.logging_enabled; gcp.bigquery.cluster.audit_logging; gcp.compute.logging.enabled; gcp_logging_enabled; gcp.logging.multi.region_enabled; gcp.logging.storage.read_events_enabled; gcp.logging.storage.write_events_enabled; gcp.sql.instance.logging_enabled; gcp.storage.bucket.server_access_logging_enabled,gcp.apigateway.api.gateway_restapi_logging_enabled; gcp.logging.sink.multi_region_enabled; gcp.logging.bucket.read_events_enabled; gcp.logging.bucket.write_events_enabled; gcp.storage.bucket.server_access_logging_enabled
